LONG_ID,ELDERLY,WORKING_AGE,YOUTH
01001 2000,4451,25579,16664
01003 2000,21703,80998,46335
01005 2000,3873,17019,9934
01007 2000,2413,12573,7289
01009 2000,6558,30261,17733
01011 2000,1543,6791,4117
01013 2000,3506,11495,7756
01015 2000,15872,66392,36911
01017 2000,5928,20666,12419
01019 2000,3818,14303,7300
01021 2000,5097,23318,13912
01023 2000,2332,9049,5644
01025 2000,3764,15477,10706
01027 2000,2359,8141,4631
01029 2000,1933,8378,4679
01031 2000,6171,25480,14682
01033 2000,8493,32025,17824
01035 2000,2223,7852,4889
01037 2000,1761,7219,3981
01039 2000,6740,21042,12072
01041 2000,2338,7615,4515
01043 2000,11342,45242,25842
01045 2000,5807,28809,18199
01047 2000,6428,25143,18209
01049 2000,8882,37907,22042
01051 2000,7071,40207,22966
01053 2000,5236,22788,12806
01055 2000,16560,59510,34000
01057 2000,2976,10595,6037
01059 2000,4637,18089,10480
01061 2000,4203,14755,8243
01063 2000,1470,5254,4020
01065 2000,2316,9249,7028
01067 2000,2668,9272,5389
01069 2000,12162,51474,31188
01071 2000,7210,32344,17759
01073 2000,90285,389531,225512
01075 2000,2528,9184,5118
01077 2000,13241,51767,28175
01079 2000,4195,20753,12056
01081 2000,9337,71535,41415
01083 2000,7271,40479,22275
01085 2000,1646,7323,5508
01087 2000,3367,13220,9083
01089 2000,30015,167547,97938
01091 2000,3287,12218,8558
01093 2000,4934,18437,9719
01095 2000,11717,47978,28039
01097 2000,47919,229982,151276
01099 2000,3363,13366,9422
01101 2000,26307,131861,80814
01103 2000,13708,66429,38244
01105 2000,1762,6061,4941
01107 2000,3293,11344,7733
01109 2000,3727,17248,10553
01111 2000,3564,12525,7771
01113 2000,6541,28701,18029
01115 2000,7578,39234,22182
01117 2000,12179,90050,51782
01119 2000,2056,7914,5894
01121 2000,10655,47346,27411
01123 2000,6872,23582,13583
01125 2000,18565,99617,57285
01127 2000,10453,41767,23013
01129 2000,2246,10115,7044
01131 2000,1810,6905,5535
01133 2000,3533,14803,8052
02013 2000,71,2106,636
02016 2000,125,4309,1288
02020 2000,14242,162978,103096
02050 2000,831,8310,8470
02060 2000,48,786,513
02068 2000,58,1350,583
02070 2000,282,2638,2478
02090 2000,3845,51393,34324
02100 2000,250,1489,781
