"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"1999"	"1999"	"Unintentional"	"1"	20	42963	46.6
	"Autauga County, AL"	"01001"	"2000"	"2000"	"Unintentional"	"1"	18	43671	Unreliable
	"Autauga County, AL"	"01001"	"2001"	"2001"	"Unintentional"	"1"	20	44889	44.6
	"Autauga County, AL"	"01001"	"2001"	"2001"	"Suicide"	"2"	11	44889	Unreliable
	"Autauga County, AL"	"01001"	"2002"	"2002"	"Unintentional"	"1"	21	45909	45.7
	"Autauga County, AL"	"01001"	"2003"	"2003"	"Unintentional"	"1"	29	46800	62.0
	"Autauga County, AL"	"01001"	"2004"	"2004"	"Unintentional"	"1"	23	48366	47.6
	"Autauga County, AL"	"01001"	"2005"	"2005"	"Unintentional"	"1"	28	49676	56.4
	"Autauga County, AL"	"01001"	"2006"	"2006"	"Unintentional"	"1"	33	51328	64.3
	"Autauga County, AL"	"01001"	"2007"	"2007"	"Unintentional"	"1"	27	52405	51.5
	"Autauga County, AL"	"01001"	"2008"	"2008"	"Unintentional"	"1"	26	53277	48.8
	"Autauga County, AL"	"01001"	"2009"	"2009"	"Unintentional"	"1"	25	54135	46.2
	"Autauga County, AL"	"01001"	"2010"	"2010"	"Unintentional"	"1"	24	54571	44.0
	"Autauga County, AL"	"01001"	"2010"	"2010"	"Suicide"	"2"	12	54571	Unreliable
	"Autauga County, AL"	"01001"	"2011"	"2011"	"Unintentional"	"1"	39	55267	70.6
	"Autauga County, AL"	"01001"	"2011"	"2011"	"Suicide"	"2"	12	55267	Unreliable
	"Autauga County, AL"	"01001"	"2012"	"2012"	"Unintentional"	"1"	22	55514	39.6
	"Autauga County, AL"	"01001"	"2012"	"2012"	"Suicide"	"2"	12	55514	Unreliable
	"Autauga County, AL"	"01001"	"2013"	"2013"	"Unintentional"	"1"	32	55246	57.9
	"Autauga County, AL"	"01001"	"2013"	"2013"	"Suicide"	"2"	11	55246	Unreliable
