"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	"Unintentional"	"1"	95	259348	36.6
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	"Suicide"	"2"	33	259348	12.7
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	"Homicide"	"3"	17	259348	Unreliable
	"Anchorage Borough, AK"	"02020"	"1999"	"1999"	"Undetermined "	"4"	11	259348	Unreliable
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	"Unintentional"	"1"	88	260283	33.8
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	"Suicide"	"2"	33	260283	12.7
	"Anchorage Borough, AK"	"02020"	"2000"	"2000"	"Homicide"	"3"	18	260283	Unreliable
	"Anchorage Borough, AK"	"02020"	"2001"	"2001"	"Unintentional"	"1"	114	264274	43.1
	"Anchorage Borough, AK"	"02020"	"2001"	"2001"	"Suicide"	"2"	31	264274	11.7
	"Anchorage Borough, AK"	"02020"	"2001"	"2001"	"Homicide"	"3"	14	264274	Unreliable
	"Anchorage Borough, AK"	"02020"	"2002"	"2002"	"Unintentional"	"1"	119	268229	44.4
	"Anchorage Borough, AK"	"02020"	"2002"	"2002"	"Suicide"	"2"	41	268229	15.3
	"Anchorage Borough, AK"	"02020"	"2002"	"2002"	"Homicide"	"3"	20	268229	7.5
	"Anchorage Borough, AK"	"02020"	"2003"	"2003"	"Unintentional"	"1"	115	270568	42.5
	"Anchorage Borough, AK"	"02020"	"2003"	"2003"	"Suicide"	"2"	51	270568	18.8
	"Anchorage Borough, AK"	"02020"	"2003"	"2003"	"Homicide"	"3"	20	270568	7.4
	"Anchorage Borough, AK"	"02020"	"2004"	"2004"	"Unintentional"	"1"	101	274484	36.8
	"Anchorage Borough, AK"	"02020"	"2004"	"2004"	"Suicide"	"2"	53	274484	19.3
	"Anchorage Borough, AK"	"02020"	"2004"	"2004"	"Homicide"	"3"	18	274484	Unreliable
	"Anchorage Borough, AK"	"02020"	"2005"	"2005"	"Unintentional"	"1"	87	276494	31.5
	"Anchorage Borough, AK"	"02020"	"2005"	"2005"	"Suicide"	"2"	45	276494	16.3
	"Anchorage Borough, AK"	"02020"	"2005"	"2005"	"Homicide"	"3"	19	276494	Unreliable
	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	"Unintentional"	"1"	93	280085	33.2
	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	"Suicide"	"2"	39	280085	13.9
	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	"Homicide"	"3"	23	280085	8.2
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	"Unintentional"	"1"	117	278792	42.0
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	"Suicide"	"2"	52	278792	18.7
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	"Homicide"	"3"	25	278792	9.0
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	"Unintentional"	"1"	123	281554	43.7
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	"Suicide"	"2"	44	281554	15.6
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	"Undetermined "	"4"	14	281554	Unreliable
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	"Unintentional"	"1"	118	287677	41.0
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	"Suicide"	"2"	43	287677	14.9
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	"Homicide"	"3"	13	287677	Unreliable
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	"Unintentional"	"1"	135	291826	46.3
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	"Suicide"	"2"	57	291826	19.5
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	"Homicide"	"3"	18	291826	Unreliable
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	"Unintentional"	"1"	139	295570	47.0
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	"Suicide"	"2"	42	295570	14.2
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	"Homicide"	"3"	16	295570	Unreliable
