"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Apache County, AZ"	"04001"	"1999"	"1999"	"Unintentional"	"1"	70	69801	100.3
	"Apache County, AZ"	"04001"	"1999"	"1999"	"Suicide"	"2"	16	69801	Unreliable
	"Apache County, AZ"	"04001"	"1999"	"1999"	"Homicide"	"3"	10	69801	Unreliable
	"Apache County, AZ"	"04001"	"2000"	"2000"	"Unintentional"	"1"	82	69423	118.1
	"Apache County, AZ"	"04001"	"2000"	"2000"	"Suicide"	"2"	14	69423	Unreliable
	"Apache County, AZ"	"04001"	"2001"	"2001"	"Unintentional"	"1"	84	67863	123.8
	"Apache County, AZ"	"04001"	"2001"	"2001"	"Suicide"	"2"	11	67863	Unreliable
	"Apache County, AZ"	"04001"	"2001"	"2001"	"Homicide"	"3"	10	67863	Unreliable
	"Apache County, AZ"	"04001"	"2002"	"2002"	"Unintentional"	"1"	79	67319	117.4
	"Apache County, AZ"	"04001"	"2002"	"2002"	"Suicide"	"2"	13	67319	Unreliable
	"Apache County, AZ"	"04001"	"2002"	"2002"	"Homicide"	"3"	18	67319	Unreliable
	"Apache County, AZ"	"04001"	"2003"	"2003"	"Unintentional"	"1"	85	68072	124.9
	"Apache County, AZ"	"04001"	"2003"	"2003"	"Suicide"	"2"	18	68072	Unreliable
	"Apache County, AZ"	"04001"	"2004"	"2004"	"Unintentional"	"1"	80	68161	117.4
	"Apache County, AZ"	"04001"	"2004"	"2004"	"Suicide"	"2"	18	68161	Unreliable
	"Apache County, AZ"	"04001"	"2005"	"2005"	"Unintentional"	"1"	89	68521	129.9
	"Apache County, AZ"	"04001"	"2005"	"2005"	"Suicide"	"2"	14	68521	Unreliable
	"Apache County, AZ"	"04001"	"2005"	"2005"	"Homicide"	"3"	10	68521	Unreliable
	"Apache County, AZ"	"04001"	"2006"	"2006"	"Unintentional"	"1"	86	69390	123.9
	"Apache County, AZ"	"04001"	"2006"	"2006"	"Suicide"	"2"	16	69390	Unreliable
	"Apache County, AZ"	"04001"	"2006"	"2006"	"Homicide"	"3"	12	69390	Unreliable
	"Apache County, AZ"	"04001"	"2007"	"2007"	"Unintentional"	"1"	104	69602	149.4
	"Apache County, AZ"	"04001"	"2007"	"2007"	"Suicide"	"2"	10	69602	Unreliable
	"Apache County, AZ"	"04001"	"2008"	"2008"	"Unintentional"	"1"	85	69883	121.6
	"Apache County, AZ"	"04001"	"2008"	"2008"	"Suicide"	"2"	22	69883	31.5
	"Apache County, AZ"	"04001"	"2008"	"2008"	"Homicide"	"3"	10	69883	Unreliable
	"Apache County, AZ"	"04001"	"2009"	"2009"	"Unintentional"	"1"	83	71008	116.9
	"Apache County, AZ"	"04001"	"2009"	"2009"	"Suicide"	"2"	16	71008	Unreliable
	"Apache County, AZ"	"04001"	"2010"	"2010"	"Unintentional"	"1"	79	71518	110.5
	"Apache County, AZ"	"04001"	"2010"	"2010"	"Suicide"	"2"	33	71518	46.1
	"Apache County, AZ"	"04001"	"2010"	"2010"	"Homicide"	"3"	10	71518	Unreliable
	"Apache County, AZ"	"04001"	"2011"	"2011"	"Unintentional"	"1"	96	72401	132.6
	"Apache County, AZ"	"04001"	"2011"	"2011"	"Suicide"	"2"	27	72401	37.3
	"Apache County, AZ"	"04001"	"2012"	"2012"	"Unintentional"	"1"	86	73195	117.5
	"Apache County, AZ"	"04001"	"2012"	"2012"	"Suicide"	"2"	20	73195	27.3
	"Apache County, AZ"	"04001"	"2012"	"2012"	"Homicide"	"3"	10	73195	Unreliable
	"Apache County, AZ"	"04001"	"2013"	"2013"	"Unintentional"	"1"	88	71934	122.3
	"Apache County, AZ"	"04001"	"2013"	"2013"	"Suicide"	"2"	28	71934	38.9
	"Apache County, AZ"	"04001"	"2013"	"2013"	"Homicide"	"3"	12	71934	Unreliable
	"Apache County, AZ"	"04001"	"2014"	"2014"	"Unintentional"	"1"	94	71828	130.9
	"Apache County, AZ"	"04001"	"2014"	"2014"	"Suicide"	"2"	25	71828	34.8
	"Apache County, AZ"	"04001"	"2015"	"2015"	"Unintentional"	"1"	121	71474	169.3
	"Apache County, AZ"	"04001"	"2015"	"2015"	"Suicide"	"2"	19	71474	Unreliable
	"Apache County, AZ"	"04001"	"2015"	"2015"	"Homicide"	"3"	18	71474	Unreliable
	"Apache County, AZ"	"04001"	"2016"	"2016"	"Unintentional"	"1"	107	73112	146.4
	"Apache County, AZ"	"04001"	"2016"	"2016"	"Suicide"	"2"	20	73112	27.4
	"Apache County, AZ"	"04001"	"2016"	"2016"	"Homicide"	"3"	10	73112	Unreliable
	"Apache County, AZ"	"04001"	"2017"	"2017"	"Unintentional"	"1"	115	71606	160.6
	"Apache County, AZ"	"04001"	"2017"	"2017"	"Suicide"	"2"	27	71606	37.7
	"Apache County, AZ"	"04001"	"2017"	"2017"	"Homicide"	"3"	12	71606	Unreliable
	"Apache County, AZ"	"04001"	"2018"	"2018"	"Unintentional"	"1"	101	71818	140.6
	"Apache County, AZ"	"04001"	"2018"	"2018"	"Suicide"	"2"	29	71818	40.4
	"Cochise County, AZ"	"04003"	"1999"	"1999"	"Unintentional"	"1"	57	116530	48.9
	"Cochise County, AZ"	"04003"	"1999"	"1999"	"Suicide"	"2"	20	116530	17.2
	"Cochise County, AZ"	"04003"	"2000"	"2000"	"Unintentional"	"1"	64	117755	54.4
	"Cochise County, AZ"	"04003"	"2000"	"2000"	"Suicide"	"2"	22	117755	18.7
	"Cochise County, AZ"	"04003"	"2001"	"2001"	"Unintentional"	"1"	68	118798	57.2
	"Cochise County, AZ"	"04003"	"2001"	"2001"	"Suicide"	"2"	25	118798	21.0
	"Cochise County, AZ"	"04003"	"2001"	"2001"	"Homicide"	"3"	10	118798	Unreliable
	"Cochise County, AZ"	"04003"	"2002"	"2002"	"Unintentional"	"1"	67	119847	55.9
	"Cochise County, AZ"	"04003"	"2002"	"2002"	"Suicide"	"2"	20	119847	16.7
	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Unintentional"	"1"	66	120638	54.7
	"Cochise County, AZ"	"04003"	"2003"	"2003"	"Suicide"	"2"	22	120638	18.2
	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Unintentional"	"1"	66	123234	53.6
	"Cochise County, AZ"	"04003"	"2004"	"2004"	"Suicide"	"2"	28	123234	22.7
	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Unintentional"	"1"	66	125786	52.5
	"Cochise County, AZ"	"04003"	"2005"	"2005"	"Suicide"	"2"	29	125786	23.1
	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Unintentional"	"1"	83	127241	65.2
	"Cochise County, AZ"	"04003"	"2006"	"2006"	"Suicide"	"2"	28	127241	22.0
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"Unintentional"	"1"	57	128206	44.5
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"Suicide"	"2"	26	128206	20.3
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Unintentional"	"1"	66	129023	51.2
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"Suicide"	"2"	21	129023	16.3
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Unintentional"	"1"	69	130081	53.0
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"Suicide"	"2"	27	130081	20.8
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Unintentional"	"1"	68	131346	51.8
	"Cochise County, AZ"	"04003"	"2010"	"2010"	"Suicide"	"2"	32	131346	24.4
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Unintentional"	"1"	54	133289	40.5
	"Cochise County, AZ"	"04003"	"2011"	"2011"	"Suicide"	"2"	27	133289	20.3
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"Unintentional"	"1"	59	132088	44.7
	"Cochise County, AZ"	"04003"	"2012"	"2012"	"Suicide"	"2"	30	132088	22.7
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"Unintentional"	"1"	57	129473	44.0
	"Cochise County, AZ"	"04003"	"2013"	"2013"	"Suicide"	"2"	24	129473	18.5
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"Unintentional"	"1"	61	127448	47.9
	"Cochise County, AZ"	"04003"	"2014"	"2014"	"Suicide"	"2"	40	127448	31.4
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"Unintentional"	"1"	76	126427	60.1
	"Cochise County, AZ"	"04003"	"2015"	"2015"	"Suicide"	"2"	27	126427	21.4
	"Cochise County, AZ"	"04003"	"2016"	"2016"	"Unintentional"	"1"	74	125770	58.8
	"Cochise County, AZ"	"04003"	"2016"	"2016"	"Suicide"	"2"	30	125770	23.9
	"Cochise County, AZ"	"04003"	"2017"	"2017"	"Unintentional"	"1"	83	124756	66.5
	"Cochise County, AZ"	"04003"	"2017"	"2017"	"Suicide"	"2"	37	124756	29.7
	"Cochise County, AZ"	"04003"	"2018"	"2018"	"Unintentional"	"1"	85	126770	67.1
	"Cochise County, AZ"	"04003"	"2018"	"2018"	"Suicide"	"2"	22	126770	17.4
	"Coconino County, AZ"	"04005"	"1999"	"1999"	"Unintentional"	"1"	60	115307	52.0
	"Coconino County, AZ"	"04005"	"1999"	"1999"	"Suicide"	"2"	21	115307	18.2
	"Coconino County, AZ"	"04005"	"1999"	"1999"	"Homicide"	"3"	11	115307	Unreliable
	"Coconino County, AZ"	"04005"	"2000"	"2000"	"Unintentional"	"1"	60	116320	51.6
	"Coconino County, AZ"	"04005"	"2000"	"2000"	"Suicide"	"2"	20	116320	17.2
	"Coconino County, AZ"	"04005"	"2001"	"2001"	"Unintentional"	"1"	64	118283	54.1
	"Coconino County, AZ"	"04005"	"2001"	"2001"	"Suicide"	"2"	25	118283	21.1
	"Coconino County, AZ"	"04005"	"2002"	"2002"	"Unintentional"	"1"	70	121308	57.7
	"Coconino County, AZ"	"04005"	"2002"	"2002"	"Suicide"	"2"	19	121308	Unreliable
	"Coconino County, AZ"	"04005"	"2002"	"2002"	"Homicide"	"3"	10	121308	Unreliable
	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Unintentional"	"1"	75	122882	61.0
	"Coconino County, AZ"	"04005"	"2003"	"2003"	"Suicide"	"2"	19	122882	Unreliable
	"Coconino County, AZ"	"04005"	"2004"	"2004"	"Unintentional"	"1"	65	125117	52.0
	"Coconino County, AZ"	"04005"	"2004"	"2004"	"Suicide"	"2"	25	125117	20.0
	"Coconino County, AZ"	"04005"	"2004"	"2004"	"Homicide"	"3"	14	125117	Unreliable
	"Coconino County, AZ"	"04005"	"2005"	"2005"	"Unintentional"	"1"	80	127025	63.0
	"Coconino County, AZ"	"04005"	"2005"	"2005"	"Suicide"	"2"	31	127025	24.4
	"Coconino County, AZ"	"04005"	"2006"	"2006"	"Unintentional"	"1"	74	128695	57.5
	"Coconino County, AZ"	"04005"	"2006"	"2006"	"Suicide"	"2"	27	128695	21.0
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"Unintentional"	"1"	76	130442	58.3
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"Suicide"	"2"	21	130442	16.1
	"Coconino County, AZ"	"04005"	"2007"	"2007"	"Homicide"	"3"	12	130442	Unreliable
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"Unintentional"	"1"	83	131853	62.9
	"Coconino County, AZ"	"04005"	"2008"	"2008"	"Suicide"	"2"	17	131853	Unreliable
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"Unintentional"	"1"	83	133477	62.2
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"Suicide"	"2"	33	133477	24.7
	"Coconino County, AZ"	"04005"	"2009"	"2009"	"Undetermined "	"4"	10	133477	Unreliable
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"Unintentional"	"1"	84	134421	62.5
	"Coconino County, AZ"	"04005"	"2010"	"2010"	"Suicide"	"2"	28	134421	20.8
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"Unintentional"	"1"	89	134511	66.2
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"Suicide"	"2"	31	134511	23.0
	"Coconino County, AZ"	"04005"	"2011"	"2011"	"Homicide"	"3"	11	134511	Unreliable
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"Unintentional"	"1"	77	136011	56.6
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"Suicide"	"2"	24	136011	17.6
	"Coconino County, AZ"	"04005"	"2012"	"2012"	"Homicide"	"3"	14	136011	Unreliable
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"Unintentional"	"1"	99	136539	72.5
	"Coconino County, AZ"	"04005"	"2013"	"2013"	"Suicide"	"2"	29	136539	21.2
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"Unintentional"	"1"	86	137682	62.5
	"Coconino County, AZ"	"04005"	"2014"	"2014"	"Suicide"	"2"	29	137682	21.1
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"Unintentional"	"1"	86	139097	61.8
	"Coconino County, AZ"	"04005"	"2015"	"2015"	"Suicide"	"2"	33	139097	23.7
	"Coconino County, AZ"	"04005"	"2016"	"2016"	"Unintentional"	"1"	92	140908	65.3
	"Coconino County, AZ"	"04005"	"2016"	"2016"	"Suicide"	"2"	25	140908	17.7
	"Coconino County, AZ"	"04005"	"2017"	"2017"	"Unintentional"	"1"	102	140776	72.5
	"Coconino County, AZ"	"04005"	"2017"	"2017"	"Suicide"	"2"	40	140776	28.4
	"Coconino County, AZ"	"04005"	"2017"	"2017"	"Homicide"	"3"	13	140776	Unreliable
	"Coconino County, AZ"	"04005"	"2018"	"2018"	"Unintentional"	"1"	102	142854	71.4
	"Coconino County, AZ"	"04005"	"2018"	"2018"	"Suicide"	"2"	47	142854	32.9
	"Coconino County, AZ"	"04005"	"2018"	"2018"	"Homicide"	"3"	14	142854	Unreliable
	"Gila County, AZ"	"04007"	"1999"	"1999"	"Unintentional"	"1"	35	50990	68.6
	"Gila County, AZ"	"04007"	"1999"	"1999"	"Suicide"	"2"	13	50990	Unreliable
	"Gila County, AZ"	"04007"	"2000"	"2000"	"Unintentional"	"1"	38	51335	74.0
	"Gila County, AZ"	"04007"	"2001"	"2001"	"Unintentional"	"1"	29	51274	56.6
	"Gila County, AZ"	"04007"	"2002"	"2002"	"Unintentional"	"1"	33	51478	64.1
	"Gila County, AZ"	"04007"	"2002"	"2002"	"Suicide"	"2"	14	51478	Unreliable
	"Gila County, AZ"	"04007"	"2003"	"2003"	"Unintentional"	"1"	46	51337	89.6
	"Gila County, AZ"	"04007"	"2003"	"2003"	"Suicide"	"2"	11	51337	Unreliable
	"Gila County, AZ"	"04007"	"2004"	"2004"	"Unintentional"	"1"	47	51423	91.4
