"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Arkansas County, AR"	"05001"	"2000"	"2000"	"Unintentional"	"1"	10	20749	Unreliable
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"Unintentional"	"1"	20	20593	97.1
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"Unintentional"	"1"	17	19981	Unreliable
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"Unintentional"	"1"	17	19954	Unreliable
	"Arkansas County, AR"	"05001"	"2009"	"2009"	"Unintentional"	"1"	14	19134	Unreliable
	"Arkansas County, AR"	"05001"	"2010"	"2010"	"Unintentional"	"1"	19	19019	Unreliable
	"Arkansas County, AR"	"05001"	"2011"	"2011"	"Unintentional"	"1"	12	18892	Unreliable
	"Arkansas County, AR"	"05001"	"2012"	"2012"	"Unintentional"	"1"	12	18892	Unreliable
	"Arkansas County, AR"	"05001"	"2014"	"2014"	"Unintentional"	"1"	12	18594	Unreliable
	"Arkansas County, AR"	"05001"	"2015"	"2015"	"Unintentional"	"1"	17	18433	Unreliable
	"Arkansas County, AR"	"05001"	"2016"	"2016"	"Unintentional"	"1"	14	18214	Unreliable
	"Arkansas County, AR"	"05001"	"2017"	"2017"	"Unintentional"	"1"	14	17967	Unreliable
	"Arkansas County, AR"	"05001"	"2018"	"2018"	"Unintentional"	"1"	10	17769	Unreliable
	"Ashley County, AR"	"05003"	"1999"	"1999"	"Unintentional"	"1"	12	24261	Unreliable
	"Ashley County, AR"	"05003"	"2000"	"2000"	"Unintentional"	"1"	14	24209	Unreliable
	"Ashley County, AR"	"05003"	"2001"	"2001"	"Unintentional"	"1"	23	23824	96.5
	"Ashley County, AR"	"05003"	"2002"	"2002"	"Unintentional"	"1"	13	23745	Unreliable
	"Ashley County, AR"	"05003"	"2004"	"2004"	"Unintentional"	"1"	15	23156	Unreliable
	"Ashley County, AR"	"05003"	"2005"	"2005"	"Unintentional"	"1"	11	22770	Unreliable
	"Ashley County, AR"	"05003"	"2006"	"2006"	"Unintentional"	"1"	15	22501	Unreliable
	"Ashley County, AR"	"05003"	"2007"	"2007"	"Unintentional"	"1"	16	22229	Unreliable
	"Ashley County, AR"	"05003"	"2008"	"2008"	"Unintentional"	"1"	18	22148	Unreliable
	"Ashley County, AR"	"05003"	"2009"	"2009"	"Unintentional"	"1"	16	21920	Unreliable
	"Ashley County, AR"	"05003"	"2010"	"2010"	"Unintentional"	"1"	15	21853	Unreliable
	"Ashley County, AR"	"05003"	"2011"	"2011"	"Unintentional"	"1"	18	21692	Unreliable
	"Ashley County, AR"	"05003"	"2012"	"2012"	"Unintentional"	"1"	14	21524	Unreliable
	"Ashley County, AR"	"05003"	"2013"	"2013"	"Unintentional"	"1"	12	21283	Unreliable
	"Ashley County, AR"	"05003"	"2015"	"2015"	"Unintentional"	"1"	17	20838	Unreliable
	"Ashley County, AR"	"05003"	"2018"	"2018"	"Unintentional"	"1"	17	20046	Unreliable
	"Baxter County, AR"	"05005"	"1999"	"1999"	"Unintentional"	"1"	25	38055	65.7
	"Baxter County, AR"	"05005"	"2000"	"2000"	"Unintentional"	"1"	27	38386	70.3
	"Baxter County, AR"	"05005"	"2001"	"2001"	"Unintentional"	"1"	20	38331	52.2
	"Baxter County, AR"	"05005"	"2001"	"2001"	"Suicide"	"2"	11	38331	Unreliable
	"Baxter County, AR"	"05005"	"2002"	"2002"	"Unintentional"	"1"	21	38506	54.5
	"Baxter County, AR"	"05005"	"2002"	"2002"	"Suicide"	"2"	11	38506	Unreliable
	"Baxter County, AR"	"05005"	"2003"	"2003"	"Unintentional"	"1"	27	38772	69.6
	"Baxter County, AR"	"05005"	"2004"	"2004"	"Unintentional"	"1"	31	39334	78.8
	"Baxter County, AR"	"05005"	"2005"	"2005"	"Unintentional"	"1"	31	39992	77.5
	"Baxter County, AR"	"05005"	"2005"	"2005"	"Suicide"	"2"	10	39992	Unreliable
	"Baxter County, AR"	"05005"	"2006"	"2006"	"Unintentional"	"1"	34	40867	83.2
	"Baxter County, AR"	"05005"	"2007"	"2007"	"Unintentional"	"1"	22	41491	53.0
