"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Unintentional"	"1"	349	1427114	24.5
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Suicide"	"2"	116	1427114	8.1
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Homicide"	"3"	100	1427114	7.0
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Undetermined "	"4"	10	1427114	Unreliable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	11	1427114	Unreliable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Unintentional"	"1"	332	1443741	23.0
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Suicide"	"2"	103	1443741	7.1
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Homicide"	"3"	119	1443741	8.2
	"Alameda County, CA"	"06001"	"2001"	"2001"	"Unintentional"	"1"	272	1469484	18.5
	"Alameda County, CA"	"06001"	"2001"	"2001"	"Suicide"	"2"	76	1469484	5.2
	"Alameda County, CA"	"06001"	"2001"	"2001"	"Homicide"	"3"	99	1469484	6.7
	"Alameda County, CA"	"06001"	"2002"	"2002"	"Unintentional"	"1"	359	1462106	24.6
	"Alameda County, CA"	"06001"	"2002"	"2002"	"Suicide"	"2"	135	1462106	9.2
	"Alameda County, CA"	"06001"	"2002"	"2002"	"Homicide"	"3"	148	1462106	10.1
	"Alameda County, CA"	"06001"	"2002"	"2002"	"Undetermined "	"4"	16	1462106	Unreliable
	"Alameda County, CA"	"06001"	"2002"	"2002"	"Non-Injury, no intent classified"	"9"	16	1462106	Unreliable
	"Alameda County, CA"	"06001"	"2003"	"2003"	"Unintentional"	"1"	387	1454163	26.6
	"Alameda County, CA"	"06001"	"2003"	"2003"	"Suicide"	"2"	119	1454163	8.2
	"Alameda County, CA"	"06001"	"2003"	"2003"	"Homicide"	"3"	140	1454163	9.6
	"Alameda County, CA"	"06001"	"2003"	"2003"	"Undetermined "	"4"	13	1454163	Unreliable
	"Alameda County, CA"	"06001"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	12	1454163	Unreliable
	"Alameda County, CA"	"06001"	"2004"	"2004"	"Unintentional"	"1"	393	1445721	27.2
	"Alameda County, CA"	"06001"	"2004"	"2004"	"Suicide"	"2"	131	1445721	9.1
	"Alameda County, CA"	"06001"	"2004"	"2004"	"Homicide"	"3"	114	1445721	7.9
	"Alameda County, CA"	"06001"	"2004"	"2004"	"Undetermined "	"4"	16	1445721	Unreliable
	"Alameda County, CA"	"06001"	"2004"	"2004"	"Non-Injury, no intent classified"	"9"	10	1445721	Unreliable
	"Alameda County, CA"	"06001"	"2005"	"2005"	"Unintentional"	"1"	423	1441545	29.3
	"Alameda County, CA"	"06001"	"2005"	"2005"	"Suicide"	"2"	103	1441545	7.1
	"Alameda County, CA"	"06001"	"2005"	"2005"	"Homicide"	"3"	127	1441545	8.8
	"Alameda County, CA"	"06001"	"2005"	"2005"	"Undetermined "	"4"	11	1441545	Unreliable
	"Alameda County, CA"	"06001"	"2006"	"2006"	"Unintentional"	"1"	437	1444484	30.3
	"Alameda County, CA"	"06001"	"2006"	"2006"	"Suicide"	"2"	97	1444484	6.7
	"Alameda County, CA"	"06001"	"2006"	"2006"	"Homicide"	"3"	175	1444484	12.1
	"Alameda County, CA"	"06001"	"2006"	"2006"	"Undetermined "	"4"	13	1444484	Unreliable
	"Alameda County, CA"	"06001"	"2006"	"2006"	"Non-Injury, no intent classified"	"9"	10	1444484	Unreliable
	"Alameda County, CA"	"06001"	"2007"	"2007"	"Unintentional"	"1"	457	1455715	31.4
	"Alameda County, CA"	"06001"	"2007"	"2007"	"Suicide"	"2"	138	1455715	9.5
	"Alameda County, CA"	"06001"	"2007"	"2007"	"Homicide"	"3"	156	1455715	10.7
	"Alameda County, CA"	"06001"	"2007"	"2007"	"Undetermined "	"4"	12	1455715	Unreliable
	"Alameda County, CA"	"06001"	"2007"	"2007"	"Non-Injury, no intent classified"	"9"	13	1455715	Unreliable
	"Alameda County, CA"	"06001"	"2008"	"2008"	"Unintentional"	"1"	396	1477208	26.8
	"Alameda County, CA"	"06001"	"2008"	"2008"	"Suicide"	"2"	132	1477208	8.9
	"Alameda County, CA"	"06001"	"2008"	"2008"	"Homicide"	"3"	164	1477208	11.1
	"Alameda County, CA"	"06001"	"2008"	"2008"	"Undetermined "	"4"	10	1477208	Unreliable
	"Alameda County, CA"	"06001"	"2009"	"2009"	"Unintentional"	"1"	347	1498539	23.2
	"Alameda County, CA"	"06001"	"2009"	"2009"	"Suicide"	"2"	147	1498539	9.8
	"Alameda County, CA"	"06001"	"2009"	"2009"	"Homicide"	"3"	131	1498539	8.7
	"Alameda County, CA"	"06001"	"2009"	"2009"	"Undetermined "	"4"	14	1498539	Unreliable
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Unintentional"	"1"	304	1510271	20.1
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Suicide"	"2"	146	1510271	9.7
	"Alameda County, CA"	"06001"	"2010"	"2010"	"Homicide"	"3"	129	1510271	8.5
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Unintentional"	"1"	378	1529875	24.7
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Suicide"	"2"	136	1529875	8.9
	"Alameda County, CA"	"06001"	"2011"	"2011"	"Homicide"	"3"	128	1529875	8.4
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Unintentional"	"1"	344	1554720	22.1
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Suicide"	"2"	133	1554720	8.6
	"Alameda County, CA"	"06001"	"2012"	"2012"	"Homicide"	"3"	148	1554720	9.5
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Unintentional"	"1"	425	1578891	26.9
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Suicide"	"2"	150	1578891	9.5
	"Alameda County, CA"	"06001"	"2013"	"2013"	"Homicide"	"3"	106	1578891	6.7
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Unintentional"	"1"	420	1610921	26.1
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Suicide"	"2"	166	1610921	10.3
	"Alameda County, CA"	"06001"	"2014"	"2014"	"Homicide"	"3"	106	1610921	6.6
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Unintentional"	"1"	460	1638215	28.1
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Suicide"	"2"	148	1638215	9.0
	"Alameda County, CA"	"06001"	"2015"	"2015"	"Homicide"	"3"	115	1638215	7.0
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Unintentional"	"1"	419	1647704	25.4
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Suicide"	"2"	157	1647704	9.5
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Homicide"	"3"	120	1647704	7.3
	"Alameda County, CA"	"06001"	"2016"	"2016"	"Non-Injury, no intent classified"	"9"	15	1647704	Unreliable
	"Alameda County, CA"	"06001"	"2017"	"2017"	"Unintentional"	"1"	407	1663190	24.5
