"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, CO"	"08001"	"1999"	"1999"	"Unintentional"	"1"	95	354146	26.8
	"Adams County, CO"	"08001"	"1999"	"1999"	"Suicide"	"2"	35	354146	9.9
	"Adams County, CO"	"08001"	"1999"	"1999"	"Homicide"	"3"	18	354146	Unreliable
	"Adams County, CO"	"08001"	"2000"	"2000"	"Unintentional"	"1"	145	363857	39.9
	"Adams County, CO"	"08001"	"2000"	"2000"	"Suicide"	"2"	50	363857	13.7
	"Adams County, CO"	"08001"	"2000"	"2000"	"Homicide"	"3"	23	363857	6.3
	"Adams County, CO"	"08001"	"2001"	"2001"	"Unintentional"	"1"	134	376115	35.6
	"Adams County, CO"	"08001"	"2001"	"2001"	"Suicide"	"2"	67	376115	17.8
	"Adams County, CO"	"08001"	"2001"	"2001"	"Homicide"	"3"	13	376115	Unreliable
	"Adams County, CO"	"08001"	"2001"	"2001"	"Undetermined "	"4"	15	376115	Unreliable
	"Adams County, CO"	"08001"	"2002"	"2002"	"Unintentional"	"1"	152	387339	39.2
	"Adams County, CO"	"08001"	"2002"	"2002"	"Suicide"	"2"	68	387339	17.6
	"Adams County, CO"	"08001"	"2002"	"2002"	"Homicide"	"3"	18	387339	Unreliable
	"Adams County, CO"	"08001"	"2003"	"2003"	"Unintentional"	"1"	137	377464	36.3
	"Adams County, CO"	"08001"	"2003"	"2003"	"Suicide"	"2"	58	377464	15.4
	"Adams County, CO"	"08001"	"2003"	"2003"	"Homicide"	"3"	26	377464	6.9
	"Adams County, CO"	"08001"	"2004"	"2004"	"Unintentional"	"1"	146	384809	37.9
	"Adams County, CO"	"08001"	"2004"	"2004"	"Suicide"	"2"	74	384809	19.2
	"Adams County, CO"	"08001"	"2004"	"2004"	"Homicide"	"3"	22	384809	5.7
	"Adams County, CO"	"08001"	"2005"	"2005"	"Unintentional"	"1"	184	395146	46.6
	"Adams County, CO"	"08001"	"2005"	"2005"	"Suicide"	"2"	77	395146	19.5
	"Adams County, CO"	"08001"	"2005"	"2005"	"Homicide"	"3"	26	395146	6.6
	"Adams County, CO"	"08001"	"2005"	"2005"	"Undetermined "	"4"	11	395146	Unreliable
	"Adams County, CO"	"08001"	"2006"	"2006"	"Unintentional"	"1"	185	406575	45.5
	"Adams County, CO"	"08001"	"2006"	"2006"	"Suicide"	"2"	62	406575	15.2
	"Adams County, CO"	"08001"	"2006"	"2006"	"Homicide"	"3"	19	406575	Unreliable
	"Adams County, CO"	"08001"	"2007"	"2007"	"Unintentional"	"1"	163	415746	39.2
	"Adams County, CO"	"08001"	"2007"	"2007"	"Suicide"	"2"	72	415746	17.3
	"Adams County, CO"	"08001"	"2007"	"2007"	"Homicide"	"3"	13	415746	Unreliable
	"Adams County, CO"	"08001"	"2007"	"2007"	"Undetermined "	"4"	10	415746	Unreliable
	"Adams County, CO"	"08001"	"2008"	"2008"	"Unintentional"	"1"	175	424913	41.2
	"Adams County, CO"	"08001"	"2008"	"2008"	"Suicide"	"2"	69	424913	16.2
	"Adams County, CO"	"08001"	"2008"	"2008"	"Homicide"	"3"	22	424913	5.2
	"Adams County, CO"	"08001"	"2008"	"2008"	"Undetermined "	"4"	10	424913	Unreliable
	"Adams County, CO"	"08001"	"2009"	"2009"	"Unintentional"	"1"	156	435700	35.8
	"Adams County, CO"	"08001"	"2009"	"2009"	"Suicide"	"2"	71	435700	16.3
	"Adams County, CO"	"08001"	"2009"	"2009"	"Homicide"	"3"	24	435700	5.5
	"Adams County, CO"	"08001"	"2010"	"2010"	"Unintentional"	"1"	151	441603	34.2
	"Adams County, CO"	"08001"	"2010"	"2010"	"Suicide"	"2"	51	441603	11.5
	"Adams County, CO"	"08001"	"2010"	"2010"	"Homicide"	"3"	13	441603	Unreliable
	"Adams County, CO"	"08001"	"2011"	"2011"	"Unintentional"	"1"	182	451443	40.3
	"Adams County, CO"	"08001"	"2011"	"2011"	"Suicide"	"2"	66	451443	14.6
	"Adams County, CO"	"08001"	"2011"	"2011"	"Homicide"	"3"	19	451443	Unreliable
	"Adams County, CO"	"08001"	"2011"	"2011"	"Undetermined "	"4"	12	451443	Unreliable
	"Adams County, CO"	"08001"	"2012"	"2012"	"Unintentional"	"1"	233	459598	50.7
	"Adams County, CO"	"08001"	"2012"	"2012"	"Suicide"	"2"	86	459598	18.7
	"Adams County, CO"	"08001"	"2012"	"2012"	"Homicide"	"3"	27	459598	5.9
	"Adams County, CO"	"08001"	"2012"	"2012"	"Undetermined "	"4"	10	459598	Unreliable
	"Adams County, CO"	"08001"	"2013"	"2013"	"Unintentional"	"1"	207	469193	44.1
	"Adams County, CO"	"08001"	"2013"	"2013"	"Suicide"	"2"	71	469193	15.1
	"Adams County, CO"	"08001"	"2013"	"2013"	"Homicide"	"3"	23	469193	4.9
	"Adams County, CO"	"08001"	"2013"	"2013"	"Undetermined "	"4"	12	469193	Unreliable
	"Adams County, CO"	"08001"	"2014"	"2014"	"Unintentional"	"1"	230	480718	47.8
	"Adams County, CO"	"08001"	"2014"	"2014"	"Suicide"	"2"	84	480718	17.5
	"Adams County, CO"	"08001"	"2014"	"2014"	"Homicide"	"3"	16	480718	Unreliable
	"Adams County, CO"	"08001"	"2014"	"2014"	"Undetermined "	"4"	17	480718	Unreliable
	"Adams County, CO"	"08001"	"2015"	"2015"	"Unintentional"	"1"	226	491337	46.0
	"Adams County, CO"	"08001"	"2015"	"2015"	"Suicide"	"2"	86	491337	17.5
	"Adams County, CO"	"08001"	"2015"	"2015"	"Homicide"	"3"	27	491337	5.5
	"Adams County, CO"	"08001"	"2016"	"2016"	"Unintentional"	"1"	265	498187	53.2
	"Adams County, CO"	"08001"	"2016"	"2016"	"Suicide"	"2"	84	498187	16.9
	"Adams County, CO"	"08001"	"2016"	"2016"	"Homicide"	"3"	28	498187	5.6
	"Adams County, CO"	"08001"	"2017"	"2017"	"Unintentional"	"1"	265	503167	52.7
	"Adams County, CO"	"08001"	"2017"	"2017"	"Suicide"	"2"	108	503167	21.5
	"Adams County, CO"	"08001"	"2017"	"2017"	"Homicide"	"3"	29	503167	5.8
	"Adams County, CO"	"08001"	"2018"	"2018"	"Unintentional"	"1"	268	511868	52.4
	"Adams County, CO"	"08001"	"2018"	"2018"	"Suicide"	"2"	111	511868	21.7
	"Adams County, CO"	"08001"	"2018"	"2018"	"Homicide"	"3"	34	511868	6.6
	"Alamosa County, CO"	"08003"	"2002"	"2002"	"Unintentional"	"1"	11	15114	Unreliable
	"Alamosa County, CO"	"08003"	"2003"	"2003"	"Unintentional"	"1"	13	15067	Unreliable
	"Alamosa County, CO"	"08003"	"2007"	"2007"	"Unintentional"	"1"	11	15180	Unreliable
	"Alamosa County, CO"	"08003"	"2012"	"2012"	"Unintentional"	"1"	13	16148	Unreliable
	"Alamosa County, CO"	"08003"	"2013"	"2013"	"Unintentional"	"1"	14	16253	Unreliable
	"Alamosa County, CO"	"08003"	"2014"	"2014"	"Unintentional"	"1"	15	16177	Unreliable
	"Alamosa County, CO"	"08003"	"2016"	"2016"	"Unintentional"	"1"	11	16654	Unreliable
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"Unintentional"	"1"	121	482262	25.1
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"Suicide"	"2"	63	482262	13.1
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"Homicide"	"3"	20	482262	4.1
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"Undetermined "	"4"	10	482262	Unreliable
	"Arapahoe County, CO"	"08005"	"2000"	"2000"	"Unintentional"	"1"	159	487967	32.6
	"Arapahoe County, CO"	"08005"	"2000"	"2000"	"Suicide"	"2"	52	487967	10.7
	"Arapahoe County, CO"	"08005"	"2000"	"2000"	"Homicide"	"3"	18	487967	Unreliable
	"Arapahoe County, CO"	"08005"	"2001"	"2001"	"Unintentional"	"1"	168	502393	33.4
	"Arapahoe County, CO"	"08005"	"2001"	"2001"	"Suicide"	"2"	88	502393	17.5
	"Arapahoe County, CO"	"08005"	"2001"	"2001"	"Homicide"	"3"	20	502393	4.0
	"Arapahoe County, CO"	"08005"	"2002"	"2002"	"Unintentional"	"1"	161	508936	31.6
	"Arapahoe County, CO"	"08005"	"2002"	"2002"	"Suicide"	"2"	84	508936	16.5
	"Arapahoe County, CO"	"08005"	"2002"	"2002"	"Homicide"	"3"	23	508936	4.5
	"Arapahoe County, CO"	"08005"	"2003"	"2003"	"Unintentional"	"1"	169	513690	32.9
	"Arapahoe County, CO"	"08005"	"2003"	"2003"	"Suicide"	"2"	78	513690	15.2
	"Arapahoe County, CO"	"08005"	"2003"	"2003"	"Homicide"	"3"	24	513690	4.7
	"Arapahoe County, CO"	"08005"	"2004"	"2004"	"Unintentional"	"1"	201	518971	38.7
	"Arapahoe County, CO"	"08005"	"2004"	"2004"	"Suicide"	"2"	85	518971	16.4
	"Arapahoe County, CO"	"08005"	"2004"	"2004"	"Homicide"	"3"	28	518971	5.4
	"Arapahoe County, CO"	"08005"	"2005"	"2005"	"Unintentional"	"1"	177	524466	33.7
	"Arapahoe County, CO"	"08005"	"2005"	"2005"	"Suicide"	"2"	76	524466	14.5
	"Arapahoe County, CO"	"08005"	"2005"	"2005"	"Homicide"	"3"	27	524466	5.1
	"Arapahoe County, CO"	"08005"	"2006"	"2006"	"Unintentional"	"1"	161	531619	30.3
	"Arapahoe County, CO"	"08005"	"2006"	"2006"	"Suicide"	"2"	79	531619	14.9
	"Arapahoe County, CO"	"08005"	"2006"	"2006"	"Homicide"	"3"	25	531619	4.7
	"Arapahoe County, CO"	"08005"	"2006"	"2006"	"Undetermined "	"4"	10	531619	Unreliable
	"Arapahoe County, CO"	"08005"	"2007"	"2007"	"Unintentional"	"1"	208	542039	38.4
	"Arapahoe County, CO"	"08005"	"2007"	"2007"	"Suicide"	"2"	91	542039	16.8
	"Arapahoe County, CO"	"08005"	"2007"	"2007"	"Homicide"	"3"	16	542039	Unreliable
	"Arapahoe County, CO"	"08005"	"2007"	"2007"	"Undetermined "	"4"	12	542039	Unreliable
	"Arapahoe County, CO"	"08005"	"2008"	"2008"	"Unintentional"	"1"	213	552461	38.6
	"Arapahoe County, CO"	"08005"	"2008"	"2008"	"Suicide"	"2"	86	552461	15.6
	"Arapahoe County, CO"	"08005"	"2008"	"2008"	"Homicide"	"3"	14	552461	Unreliable
	"Arapahoe County, CO"	"08005"	"2009"	"2009"	"Unintentional"	"1"	225	563161	40.0
	"Arapahoe County, CO"	"08005"	"2009"	"2009"	"Suicide"	"2"	102	563161	18.1
	"Arapahoe County, CO"	"08005"	"2009"	"2009"	"Homicide"	"3"	20	563161	3.6
	"Arapahoe County, CO"	"08005"	"2009"	"2009"	"Undetermined "	"4"	16	563161	Unreliable
	"Arapahoe County, CO"	"08005"	"2010"	"2010"	"Unintentional"	"1"	212	572003	37.1
	"Arapahoe County, CO"	"08005"	"2010"	"2010"	"Suicide"	"2"	70	572003	12.2
	"Arapahoe County, CO"	"08005"	"2010"	"2010"	"Homicide"	"3"	27	572003	4.7
	"Arapahoe County, CO"	"08005"	"2011"	"2011"	"Unintentional"	"1"	207	584948	35.4
	"Arapahoe County, CO"	"08005"	"2011"	"2011"	"Suicide"	"2"	103	584948	17.6
	"Arapahoe County, CO"	"08005"	"2011"	"2011"	"Homicide"	"3"	23	584948	3.9
	"Arapahoe County, CO"	"08005"	"2011"	"2011"	"Undetermined "	"4"	12	584948	Unreliable
