"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"Unintentional"	"1"	213	877043	24.3
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"Suicide"	"2"	55	877043	6.3
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"Homicide"	"3"	39	877043	4.4
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	10	877043	Unreliable
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"Unintentional"	"1"	248	882567	28.1
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"Suicide"	"2"	63	882567	7.1
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"Homicide"	"3"	27	882567	3.1
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"Non-Injury, no intent classified"	"9"	14	882567	Unreliable
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"Unintentional"	"1"	216	889063	24.3
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"Suicide"	"2"	62	889063	7.0
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"Homicide"	"3"	19	889063	Unreliable
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"Non-Injury, no intent classified"	"9"	10	889063	Unreliable
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"Unintentional"	"1"	276	892900	30.9
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"Suicide"	"2"	56	892900	6.3
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"Homicide"	"3"	22	892900	2.5
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"Unintentional"	"1"	250	896342	27.9
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"Suicide"	"2"	54	896342	6.0
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"Homicide"	"3"	30	896342	3.3
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	11	896342	Unreliable
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"Unintentional"	"1"	272	897472	30.3
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"Suicide"	"2"	61	897472	6.8
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"Homicide"	"3"	30	897472	3.3
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"Unintentional"	"1"	236	897653	26.3
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"Suicide"	"2"	60	897653	6.7
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"Homicide"	"3"	30	897653	3.3
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"Unintentional"	"1"	296	896254	33.0
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"Suicide"	"2"	64	896254	7.1
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"Homicide"	"3"	44	896254	4.9
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"Unintentional"	"1"	263	897498	29.3
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"Suicide"	"2"	57	897498	6.4
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"Homicide"	"3"	20	897498	2.2
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"Undetermined "	"4"	10	897498	Unreliable
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"Unintentional"	"1"	314	903824	34.7
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"Suicide"	"2"	78	903824	8.6
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"Homicide"	"3"	31	903824	3.4
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"Unintentional"	"1"	284	910421	31.2
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"Suicide"	"2"	60	910421	6.6
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"Homicide"	"3"	22	910421	2.4
	"Fairfield County, CT"	"09001"	"2010"	"2010"	"Unintentional"	"1"	300	916829	32.7
	"Fairfield County, CT"	"09001"	"2010"	"2010"	"Suicide"	"2"	74	916829	8.1
	"Fairfield County, CT"	"09001"	"2010"	"2010"	"Homicide"	"3"	37	916829	4.0
	"Fairfield County, CT"	"09001"	"2011"	"2011"	"Unintentional"	"1"	287	925899	31.0
	"Fairfield County, CT"	"09001"	"2011"	"2011"	"Suicide"	"2"	69	925899	7.5
