"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alachua County, FL"	"12001"	"1999"	"1999"	"Unintentional"	"1"	66	215847	30.6
	"Alachua County, FL"	"12001"	"1999"	"1999"	"Suicide"	"2"	27	215847	12.5
	"Alachua County, FL"	"12001"	"1999"	"1999"	"Homicide"	"3"	16	215847	Unreliable
	"Alachua County, FL"	"12001"	"2000"	"2000"	"Unintentional"	"1"	71	217955	32.6
	"Alachua County, FL"	"12001"	"2000"	"2000"	"Suicide"	"2"	27	217955	12.4
	"Alachua County, FL"	"12001"	"2000"	"2000"	"Homicide"	"3"	12	217955	Unreliable
	"Alachua County, FL"	"12001"	"2001"	"2001"	"Unintentional"	"1"	70	221718	31.6
	"Alachua County, FL"	"12001"	"2001"	"2001"	"Suicide"	"2"	30	221718	13.5
	"Alachua County, FL"	"12001"	"2002"	"2002"	"Unintentional"	"1"	70	224614	31.2
	"Alachua County, FL"	"12001"	"2002"	"2002"	"Suicide"	"2"	31	224614	13.8
	"Alachua County, FL"	"12001"	"2003"	"2003"	"Unintentional"	"1"	90	227022	39.6
	"Alachua County, FL"	"12001"	"2003"	"2003"	"Suicide"	"2"	37	227022	16.3
	"Alachua County, FL"	"12001"	"2003"	"2003"	"Homicide"	"3"	10	227022	Unreliable
	"Alachua County, FL"	"12001"	"2004"	"2004"	"Unintentional"	"1"	88	229867	38.3
	"Alachua County, FL"	"12001"	"2004"	"2004"	"Suicide"	"2"	24	229867	10.4
	"Alachua County, FL"	"12001"	"2004"	"2004"	"Homicide"	"3"	13	229867	Unreliable
	"Alachua County, FL"	"12001"	"2005"	"2005"	"Unintentional"	"1"	85	233756	36.4
	"Alachua County, FL"	"12001"	"2005"	"2005"	"Suicide"	"2"	26	233756	11.1
	"Alachua County, FL"	"12001"	"2006"	"2006"	"Unintentional"	"1"	100	239506	41.8
	"Alachua County, FL"	"12001"	"2006"	"2006"	"Suicide"	"2"	23	239506	9.6
	"Alachua County, FL"	"12001"	"2006"	"2006"	"Homicide"	"3"	14	239506	Unreliable
	"Alachua County, FL"	"12001"	"2007"	"2007"	"Unintentional"	"1"	128	242685	52.7
	"Alachua County, FL"	"12001"	"2007"	"2007"	"Suicide"	"2"	32	242685	13.2
	"Alachua County, FL"	"12001"	"2007"	"2007"	"Homicide"	"3"	10	242685	Unreliable
	"Alachua County, FL"	"12001"	"2008"	"2008"	"Unintentional"	"1"	105	244888	42.9
	"Alachua County, FL"	"12001"	"2008"	"2008"	"Suicide"	"2"	28	244888	11.4
	"Alachua County, FL"	"12001"	"2009"	"2009"	"Unintentional"	"1"	92	246657	37.3
	"Alachua County, FL"	"12001"	"2009"	"2009"	"Suicide"	"2"	28	246657	11.4
	"Alachua County, FL"	"12001"	"2009"	"2009"	"Homicide"	"3"	10	246657	Unreliable
	"Alachua County, FL"	"12001"	"2009"	"2009"	"Undetermined "	"4"	11	246657	Unreliable
	"Alachua County, FL"	"12001"	"2010"	"2010"	"Unintentional"	"1"	95	247336	38.4
	"Alachua County, FL"	"12001"	"2010"	"2010"	"Suicide"	"2"	32	247336	12.9
	"Alachua County, FL"	"12001"	"2010"	"2010"	"Homicide"	"3"	18	247336	Unreliable
	"Alachua County, FL"	"12001"	"2011"	"2011"	"Unintentional"	"1"	104	249365	41.7
	"Alachua County, FL"	"12001"	"2011"	"2011"	"Suicide"	"2"	27	249365	10.8
	"Alachua County, FL"	"12001"	"2011"	"2011"	"Homicide"	"3"	11	249365	Unreliable
	"Alachua County, FL"	"12001"	"2012"	"2012"	"Unintentional"	"1"	99	251417	39.4
	"Alachua County, FL"	"12001"	"2012"	"2012"	"Suicide"	"2"	36	251417	14.3
	"Alachua County, FL"	"12001"	"2012"	"2012"	"Homicide"	"3"	13	251417	Unreliable
	"Alachua County, FL"	"12001"	"2013"	"2013"	"Unintentional"	"1"	102	253451	40.2
	"Alachua County, FL"	"12001"	"2013"	"2013"	"Suicide"	"2"	33	253451	13.0
	"Alachua County, FL"	"12001"	"2013"	"2013"	"Homicide"	"3"	15	253451	Unreliable
	"Alachua County, FL"	"12001"	"2014"	"2014"	"Unintentional"	"1"	97	256380	37.8
	"Alachua County, FL"	"12001"	"2014"	"2014"	"Suicide"	"2"	37	256380	14.4
	"Alachua County, FL"	"12001"	"2015"	"2015"	"Unintentional"	"1"	122	259964	46.9
	"Alachua County, FL"	"12001"	"2015"	"2015"	"Suicide"	"2"	33	259964	12.7
	"Alachua County, FL"	"12001"	"2016"	"2016"	"Unintentional"	"1"	121	263496	45.9
	"Alachua County, FL"	"12001"	"2016"	"2016"	"Suicide"	"2"	32	263496	12.1
	"Alachua County, FL"	"12001"	"2017"	"2017"	"Unintentional"	"1"	117	266944	43.8
	"Alachua County, FL"	"12001"	"2017"	"2017"	"Suicide"	"2"	32	266944	12.0
	"Alachua County, FL"	"12001"	"2017"	"2017"	"Homicide"	"3"	12	266944	Unreliable
	"Alachua County, FL"	"12001"	"2018"	"2018"	"Unintentional"	"1"	127	269956	47.0
	"Alachua County, FL"	"12001"	"2018"	"2018"	"Suicide"	"2"	42	269956	15.6
	"Alachua County, FL"	"12001"	"2018"	"2018"	"Homicide"	"3"	17	269956	Unreliable
	"Baker County, FL"	"12003"	"1999"	"1999"	"Unintentional"	"1"	16	21575	Unreliable
	"Baker County, FL"	"12003"	"2001"	"2001"	"Unintentional"	"1"	13	22620	Unreliable
	"Baker County, FL"	"12003"	"2002"	"2002"	"Unintentional"	"1"	16	23298	Unreliable
	"Baker County, FL"	"12003"	"2003"	"2003"	"Unintentional"	"1"	12	23555	Unreliable
	"Baker County, FL"	"12003"	"2005"	"2005"	"Unintentional"	"1"	14	24832	Unreliable
	"Baker County, FL"	"12003"	"2006"	"2006"	"Unintentional"	"1"	21	25571	82.1
	"Baker County, FL"	"12003"	"2007"	"2007"	"Unintentional"	"1"	23	26212	87.7
	"Baker County, FL"	"12003"	"2008"	"2008"	"Unintentional"	"1"	20	26725	74.8
	"Baker County, FL"	"12003"	"2009"	"2009"	"Unintentional"	"1"	10	27124	Unreliable
	"Baker County, FL"	"12003"	"2010"	"2010"	"Unintentional"	"1"	14	27115	Unreliable
	"Baker County, FL"	"12003"	"2011"	"2011"	"Unintentional"	"1"	14	27154	Unreliable
	"Baker County, FL"	"12003"	"2012"	"2012"	"Unintentional"	"1"	16	27086	Unreliable
	"Baker County, FL"	"12003"	"2014"	"2014"	"Unintentional"	"1"	11	27093	Unreliable
	"Baker County, FL"	"12003"	"2015"	"2015"	"Unintentional"	"1"	20	27420	72.9
	"Baker County, FL"	"12003"	"2016"	"2016"	"Unintentional"	"1"	19	27937	Unreliable
	"Baker County, FL"	"12003"	"2017"	"2017"	"Unintentional"	"1"	17	28283	Unreliable
	"Baker County, FL"	"12003"	"2018"	"2018"	"Unintentional"	"1"	12	28355	Unreliable
