"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Appling County, GA"	"13001"	"1999"	"1999"	"Unintentional"	"1"	23	17323	132.8
	"Appling County, GA"	"13001"	"2000"	"2000"	"Unintentional"	"1"	14	17419	Unreliable
	"Appling County, GA"	"13001"	"2001"	"2001"	"Unintentional"	"1"	21	17455	120.3
	"Appling County, GA"	"13001"	"2005"	"2005"	"Unintentional"	"1"	10	17769	Unreliable
	"Appling County, GA"	"13001"	"2006"	"2006"	"Unintentional"	"1"	17	17725	Unreliable
	"Appling County, GA"	"13001"	"2007"	"2007"	"Unintentional"	"1"	18	17985	Unreliable
	"Appling County, GA"	"13001"	"2008"	"2008"	"Unintentional"	"1"	24	18133	132.4
	"Appling County, GA"	"13001"	"2009"	"2009"	"Unintentional"	"1"	10	18144	Unreliable
	"Appling County, GA"	"13001"	"2010"	"2010"	"Unintentional"	"1"	13	18236	Unreliable
	"Appling County, GA"	"13001"	"2011"	"2011"	"Unintentional"	"1"	16	18420	Unreliable
	"Appling County, GA"	"13001"	"2015"	"2015"	"Unintentional"	"1"	15	18454	Unreliable
	"Appling County, GA"	"13001"	"2016"	"2016"	"Unintentional"	"1"	10	18428	Unreliable
	"Appling County, GA"	"13001"	"2017"	"2017"	"Unintentional"	"1"	15	18521	Unreliable
	"Appling County, GA"	"13001"	"2018"	"2018"	"Unintentional"	"1"	17	18507	Unreliable
	"Atkinson County, GA"	"13003"	"2001"	"2001"	"Unintentional"	"1"	11	7641	Unreliable
	"Atkinson County, GA"	"13003"	"2013"	"2013"	"Unintentional"	"1"	10	8290	Unreliable
	"Bacon County, GA"	"13005"	"2001"	"2001"	"Unintentional"	"1"	12	10133	Unreliable
	"Bacon County, GA"	"13005"	"2005"	"2005"	"Unintentional"	"1"	10	10552	Unreliable
	"Bacon County, GA"	"13005"	"2007"	"2007"	"Unintentional"	"1"	15	10968	Unreliable
	"Bacon County, GA"	"13005"	"2008"	"2008"	"Unintentional"	"1"	10	10987	Unreliable
	"Bacon County, GA"	"13005"	"2011"	"2011"	"Unintentional"	"1"	10	11203	Unreliable
	"Bacon County, GA"	"13005"	"2015"	"2015"	"Unintentional"	"1"	15	11299	Unreliable
	"Baldwin County, GA"	"13009"	"1999"	"1999"	"Unintentional"	"1"	16	44440	Unreliable
	"Baldwin County, GA"	"13009"	"2000"	"2000"	"Unintentional"	"1"	12	44700	Unreliable
	"Baldwin County, GA"	"13009"	"2001"	"2001"	"Unintentional"	"1"	20	44764	44.7
	"Baldwin County, GA"	"13009"	"2002"	"2002"	"Unintentional"	"1"	18	45203	Unreliable
	"Baldwin County, GA"	"13009"	"2003"	"2003"	"Unintentional"	"1"	26	45433	57.2
	"Baldwin County, GA"	"13009"	"2004"	"2004"	"Unintentional"	"1"	21	45967	45.7
	"Baldwin County, GA"	"13009"	"2005"	"2005"	"Unintentional"	"1"	17	46304	Unreliable
	"Baldwin County, GA"	"13009"	"2006"	"2006"	"Unintentional"	"1"	21	46513	45.1
	"Baldwin County, GA"	"13009"	"2007"	"2007"	"Unintentional"	"1"	18	47336	Unreliable
	"Baldwin County, GA"	"13009"	"2008"	"2008"	"Unintentional"	"1"	14	47855	Unreliable
	"Baldwin County, GA"	"13009"	"2009"	"2009"	"Unintentional"	"1"	16	47087	Unreliable
	"Baldwin County, GA"	"13009"	"2011"	"2011"	"Unintentional"	"1"	17	44417	Unreliable
	"Baldwin County, GA"	"13009"	"2012"	"2012"	"Unintentional"	"1"	14	46367	Unreliable
	"Baldwin County, GA"	"13009"	"2013"	"2013"	"Unintentional"	"1"	19	46039	Unreliable
	"Baldwin County, GA"	"13009"	"2014"	"2014"	"Unintentional"	"1"	20	45909	43.6
	"Baldwin County, GA"	"13009"	"2015"	"2015"	"Unintentional"	"1"	14	45459	Unreliable
	"Baldwin County, GA"	"13009"	"2015"	"2015"	"Suicide"	"2"	11	45459	Unreliable
	"Baldwin County, GA"	"13009"	"2016"	"2016"	"Unintentional"	"1"	16	45144	Unreliable
	"Baldwin County, GA"	"13009"	"2016"	"2016"	"Suicide"	"2"	10	45144	Unreliable
	"Baldwin County, GA"	"13009"	"2017"	"2017"	"Unintentional"	"1"	26	44906	57.9
	"Baldwin County, GA"	"13009"	"2017"	"2017"	"Homicide"	"3"	11	44906	Unreliable
	"Baldwin County, GA"	"13009"	"2018"	"2018"	"Unintentional"	"1"	15	44823	Unreliable
	"Banks County, GA"	"13011"	"1999"	"1999"	"Unintentional"	"1"	11	14037	Unreliable
	"Banks County, GA"	"13011"	"2003"	"2003"	"Unintentional"	"1"	10	15836	Unreliable
	"Banks County, GA"	"13011"	"2007"	"2007"	"Unintentional"	"1"	10	17550	Unreliable
	"Banks County, GA"	"13011"	"2008"	"2008"	"Unintentional"	"1"	14	17953	Unreliable
	"Banks County, GA"	"13011"	"2010"	"2010"	"Unintentional"	"1"	16	18395	Unreliable
	"Banks County, GA"	"13011"	"2011"	"2011"	"Unintentional"	"1"	11	18251	Unreliable
	"Banks County, GA"	"13011"	"2012"	"2012"	"Unintentional"	"1"	14	18316	Unreliable
	"Banks County, GA"	"13011"	"2014"	"2014"	"Unintentional"	"1"	14	18295	Unreliable
	"Banks County, GA"	"13011"	"2015"	"2015"	"Unintentional"	"1"	13	18495	Unreliable
	"Banks County, GA"	"13011"	"2016"	"2016"	"Unintentional"	"1"	12	18397	Unreliable
	"Banks County, GA"	"13011"	"2017"	"2017"	"Unintentional"	"1"	15	18634	Unreliable
	"Barrow County, GA"	"13013"	"1999"	"1999"	"Unintentional"	"1"	23	44615	51.6
	"Barrow County, GA"	"13013"	"2000"	"2000"	"Unintentional"	"1"	27	46144	58.5
	"Barrow County, GA"	"13013"	"2001"	"2001"	"Unintentional"	"1"	26	48171	54.0
	"Barrow County, GA"	"13013"	"2002"	"2002"	"Unintentional"	"1"	26	50409	51.6
	"Barrow County, GA"	"13013"	"2003"	"2003"	"Unintentional"	"1"	30	52253	57.4
	"Barrow County, GA"	"13013"	"2004"	"2004"	"Unintentional"	"1"	24	55032	43.6
	"Barrow County, GA"	"13013"	"2005"	"2005"	"Unintentional"	"1"	25	57889	43.2
	"Barrow County, GA"	"13013"	"2006"	"2006"	"Unintentional"	"1"	39	61395	63.5
	"Barrow County, GA"	"13013"	"2006"	"2006"	"Suicide"	"2"	10	61395	Unreliable
	"Barrow County, GA"	"13013"	"2007"	"2007"	"Unintentional"	"1"	32	64760	49.4
	"Barrow County, GA"	"13013"	"2008"	"2008"	"Unintentional"	"1"	37	67362	54.9
	"Barrow County, GA"	"13013"	"2008"	"2008"	"Suicide"	"2"	13	67362	Unreliable
	"Barrow County, GA"	"13013"	"2009"	"2009"	"Unintentional"	"1"	33	68548	48.1
	"Barrow County, GA"	"13013"	"2009"	"2009"	"Suicide"	"2"	13	68548	Unreliable
	"Barrow County, GA"	"13013"	"2010"	"2010"	"Unintentional"	"1"	35	69367	50.5
	"Barrow County, GA"	"13013"	"2010"	"2010"	"Suicide"	"2"	15	69367	Unreliable
	"Barrow County, GA"	"13013"	"2011"	"2011"	"Unintentional"	"1"	24	69912	34.3
	"Barrow County, GA"	"13013"	"2011"	"2011"	"Suicide"	"2"	13	69912	Unreliable
	"Barrow County, GA"	"13013"	"2012"	"2012"	"Unintentional"	"1"	35	70169	49.9
	"Barrow County, GA"	"13013"	"2012"	"2012"	"Suicide"	"2"	13	70169	Unreliable
	"Barrow County, GA"	"13013"	"2013"	"2013"	"Unintentional"	"1"	24	71453	33.6
	"Barrow County, GA"	"13013"	"2014"	"2014"	"Unintentional"	"1"	36	73240	49.2
	"Barrow County, GA"	"13013"	"2015"	"2015"	"Unintentional"	"1"	24	75370	31.8
	"Barrow County, GA"	"13013"	"2015"	"2015"	"Suicide"	"2"	16	75370	Unreliable
	"Barrow County, GA"	"13013"	"2016"	"2016"	"Unintentional"	"1"	33	77126	42.8
	"Barrow County, GA"	"13013"	"2016"	"2016"	"Suicide"	"2"	17	77126	Unreliable
	"Barrow County, GA"	"13013"	"2017"	"2017"	"Unintentional"	"1"	43	79061	54.4
	"Barrow County, GA"	"13013"	"2017"	"2017"	"Suicide"	"2"	11	79061	Unreliable
	"Barrow County, GA"	"13013"	"2018"	"2018"	"Unintentional"	"1"	47	80809	58.2
	"Barrow County, GA"	"13013"	"2018"	"2018"	"Suicide"	"2"	16	80809	Unreliable
	"Bartow County, GA"	"13015"	"1999"	"1999"	"Unintentional"	"1"	26	74128	35.1
	"Bartow County, GA"	"13015"	"2000"	"2000"	"Unintentional"	"1"	26	76019	34.2
	"Bartow County, GA"	"13015"	"2001"	"2001"	"Unintentional"	"1"	36	79984	45.0
	"Bartow County, GA"	"13015"	"2001"	"2001"	"Suicide"	"2"	12	79984	Unreliable
	"Bartow County, GA"	"13015"	"2002"	"2002"	"Unintentional"	"1"	28	83106	33.7
	"Bartow County, GA"	"13015"	"2002"	"2002"	"Suicide"	"2"	10	83106	Unreliable
	"Bartow County, GA"	"13015"	"2003"	"2003"	"Unintentional"	"1"	38	85731	44.3
	"Bartow County, GA"	"13015"	"2004"	"2004"	"Unintentional"	"1"	49	87834	55.8
	"Bartow County, GA"	"13015"	"2004"	"2004"	"Suicide"	"2"	10	87834	Unreliable
	"Bartow County, GA"	"13015"	"2005"	"2005"	"Unintentional"	"1"	39	90334	43.2
	"Bartow County, GA"	"13015"	"2005"	"2005"	"Suicide"	"2"	14	90334	Unreliable
	"Bartow County, GA"	"13015"	"2006"	"2006"	"Unintentional"	"1"	46	92983	49.5
	"Bartow County, GA"	"13015"	"2006"	"2006"	"Suicide"	"2"	10	92983	Unreliable
	"Bartow County, GA"	"13015"	"2007"	"2007"	"Unintentional"	"1"	55	95714	57.5
	"Bartow County, GA"	"13015"	"2007"	"2007"	"Suicide"	"2"	15	95714	Unreliable
	"Bartow County, GA"	"13015"	"2008"	"2008"	"Unintentional"	"1"	45	98415	45.7
	"Bartow County, GA"	"13015"	"2008"	"2008"	"Suicide"	"2"	13	98415	Unreliable
	"Bartow County, GA"	"13015"	"2009"	"2009"	"Unintentional"	"1"	46	99807	46.1
	"Bartow County, GA"	"13015"	"2009"	"2009"	"Suicide"	"2"	19	99807	Unreliable
	"Bartow County, GA"	"13015"	"2010"	"2010"	"Unintentional"	"1"	47	100157	46.9
	"Bartow County, GA"	"13015"	"2010"	"2010"	"Suicide"	"2"	21	100157	21.0
	"Bartow County, GA"	"13015"	"2011"	"2011"	"Unintentional"	"1"	55	100421	54.8
	"Bartow County, GA"	"13015"	"2011"	"2011"	"Suicide"	"2"	18	100421	Unreliable
	"Bartow County, GA"	"13015"	"2012"	"2012"	"Unintentional"	"1"	47	100661	46.7
	"Bartow County, GA"	"13015"	"2012"	"2012"	"Suicide"	"2"	13	100661	Unreliable
	"Bartow County, GA"	"13015"	"2013"	"2013"	"Unintentional"	"1"	39	101273	38.5
	"Bartow County, GA"	"13015"	"2013"	"2013"	"Suicide"	"2"	15	101273	Unreliable
	"Bartow County, GA"	"13015"	"2014"	"2014"	"Unintentional"	"1"	66	101736	64.9
	"Bartow County, GA"	"13015"	"2014"	"2014"	"Suicide"	"2"	21	101736	20.6
	"Bartow County, GA"	"13015"	"2015"	"2015"	"Unintentional"	"1"	48	102747	46.7
	"Bartow County, GA"	"13015"	"2015"	"2015"	"Suicide"	"2"	18	102747	Unreliable
	"Bartow County, GA"	"13015"	"2016"	"2016"	"Unintentional"	"1"	67	103807	64.5
	"Bartow County, GA"	"13015"	"2016"	"2016"	"Suicide"	"2"	25	103807	24.1
	"Bartow County, GA"	"13015"	"2017"	"2017"	"Unintentional"	"1"	58	105054	55.2
	"Bartow County, GA"	"13015"	"2017"	"2017"	"Suicide"	"2"	10	105054	Unreliable
	"Bartow County, GA"	"13015"	"2018"	"2018"	"Unintentional"	"1"	55	106408	51.7
	"Bartow County, GA"	"13015"	"2018"	"2018"	"Suicide"	"2"	19	106408	Unreliable
	"Ben Hill County, GA"	"13017"	"2004"	"2004"	"Unintentional"	"1"	11	17106	Unreliable
	"Ben Hill County, GA"	"13017"	"2007"	"2007"	"Unintentional"	"1"	11	17719	Unreliable
	"Ben Hill County, GA"	"13017"	"2009"	"2009"	"Unintentional"	"1"	10	17581	Unreliable
	"Ben Hill County, GA"	"13017"	"2011"	"2011"	"Unintentional"	"1"	11	17673	Unreliable
	"Ben Hill County, GA"	"13017"	"2012"	"2012"	"Unintentional"	"1"	11	17538	Unreliable
	"Ben Hill County, GA"	"13017"	"2013"	"2013"	"Unintentional"	"1"	11	17515	Unreliable
	"Berrien County, GA"	"13019"	"2001"	"2001"	"Unintentional"	"1"	17	16392	Unreliable
	"Berrien County, GA"	"13019"	"2004"	"2004"	"Unintentional"	"1"	14	17399	Unreliable
	"Berrien County, GA"	"13019"	"2006"	"2006"	"Unintentional"	"1"	16	18051	Unreliable
	"Berrien County, GA"	"13019"	"2009"	"2009"	"Unintentional"	"1"	11	19067	Unreliable
	"Berrien County, GA"	"13019"	"2010"	"2010"	"Unintentional"	"1"	13	19286	Unreliable
	"Berrien County, GA"	"13019"	"2016"	"2016"	"Unintentional"	"1"	11	18993	Unreliable
	"Berrien County, GA"	"13019"	"2018"	"2018"	"Unintentional"	"1"	15	19252	Unreliable
	"Bibb County, GA"	"13021"	"1999"	"1999"	"Unintentional"	"1"	61	154254	39.5
	"Bibb County, GA"	"13021"	"1999"	"1999"	"Suicide"	"2"	18	154254	Unreliable
	"Bibb County, GA"	"13021"	"1999"	"1999"	"Homicide"	"3"	32	154254	20.7
	"Bibb County, GA"	"13021"	"2000"	"2000"	"Unintentional"	"1"	66	153887	42.9
	"Bibb County, GA"	"13021"	"2000"	"2000"	"Suicide"	"2"	19	153887	Unreliable
	"Bibb County, GA"	"13021"	"2000"	"2000"	"Homicide"	"3"	16	153887	Unreliable
	"Bibb County, GA"	"13021"	"2001"	"2001"	"Unintentional"	"1"	93	153548	60.6
	"Bibb County, GA"	"13021"	"2001"	"2001"	"Suicide"	"2"	19	153548	Unreliable
	"Bibb County, GA"	"13021"	"2001"	"2001"	"Homicide"	"3"	24	153548	15.6
	"Bibb County, GA"	"13021"	"2002"	"2002"	"Unintentional"	"1"	89	153929	57.8
	"Bibb County, GA"	"13021"	"2002"	"2002"	"Suicide"	"2"	16	153929	Unreliable
	"Bibb County, GA"	"13021"	"2002"	"2002"	"Homicide"	"3"	17	153929	Unreliable
	"Bibb County, GA"	"13021"	"2003"	"2003"	"Unintentional"	"1"	75	153697	48.8
	"Bibb County, GA"	"13021"	"2003"	"2003"	"Suicide"	"2"	18	153697	Unreliable
	"Bibb County, GA"	"13021"	"2003"	"2003"	"Homicide"	"3"	20	153697	13.0
	"Bibb County, GA"	"13021"	"2004"	"2004"	"Unintentional"	"1"	67	154159	43.5
	"Bibb County, GA"	"13021"	"2004"	"2004"	"Suicide"	"2"	20	154159	13.0
