"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Hawaii County, HI"	"15001"	"1999"	"1999"	"Unintentional"	"1"	66	146970	44.9
	"Hawaii County, HI"	"15001"	"1999"	"1999"	"Suicide"	"2"	18	146970	Unreliable
	"Hawaii County, HI"	"15001"	"2000"	"2000"	"Unintentional"	"1"	70	148677	47.1
	"Hawaii County, HI"	"15001"	"2000"	"2000"	"Suicide"	"2"	21	148677	14.1
	"Hawaii County, HI"	"15001"	"2001"	"2001"	"Unintentional"	"1"	72	151690	47.5
	"Hawaii County, HI"	"15001"	"2001"	"2001"	"Suicide"	"2"	19	151690	Unreliable
	"Hawaii County, HI"	"15001"	"2002"	"2002"	"Unintentional"	"1"	64	154576	41.4
	"Hawaii County, HI"	"15001"	"2002"	"2002"	"Suicide"	"2"	19	154576	Unreliable
	"Hawaii County, HI"	"15001"	"2003"	"2003"	"Unintentional"	"1"	82	158442	51.8
	"Hawaii County, HI"	"15001"	"2003"	"2003"	"Suicide"	"2"	24	158442	15.1
	"Hawaii County, HI"	"15001"	"2004"	"2004"	"Unintentional"	"1"	66	162852	40.5
	"Hawaii County, HI"	"15001"	"2004"	"2004"	"Suicide"	"2"	17	162852	Unreliable
	"Hawaii County, HI"	"15001"	"2004"	"2004"	"Undetermined "	"4"	14	162852	Unreliable
	"Hawaii County, HI"	"15001"	"2005"	"2005"	"Unintentional"	"1"	75	168237	44.6
	"Hawaii County, HI"	"15001"	"2005"	"2005"	"Suicide"	"2"	11	168237	Unreliable
	"Hawaii County, HI"	"15001"	"2005"	"2005"	"Undetermined "	"4"	26	168237	15.5
	"Hawaii County, HI"	"15001"	"2006"	"2006"	"Unintentional"	"1"	82	173536	47.3
	"Hawaii County, HI"	"15001"	"2006"	"2006"	"Suicide"	"2"	18	173536	Unreliable
	"Hawaii County, HI"	"15001"	"2006"	"2006"	"Undetermined "	"4"	14	173536	Unreliable
	"Hawaii County, HI"	"15001"	"2007"	"2007"	"Unintentional"	"1"	77	177733	43.3
	"Hawaii County, HI"	"15001"	"2007"	"2007"	"Suicide"	"2"	20	177733	11.3
	"Hawaii County, HI"	"15001"	"2007"	"2007"	"Undetermined "	"4"	18	177733	Unreliable
	"Hawaii County, HI"	"15001"	"2008"	"2008"	"Unintentional"	"1"	77	181506	42.4
	"Hawaii County, HI"	"15001"	"2008"	"2008"	"Suicide"	"2"	29	181506	16.0
	"Hawaii County, HI"	"15001"	"2008"	"2008"	"Undetermined "	"4"	17	181506	Unreliable
	"Hawaii County, HI"	"15001"	"2009"	"2009"	"Unintentional"	"1"	75	183629	40.8
	"Hawaii County, HI"	"15001"	"2009"	"2009"	"Suicide"	"2"	36	183629	19.6
	"Hawaii County, HI"	"15001"	"2009"	"2009"	"Undetermined "	"4"	20	183629	10.9
	"Hawaii County, HI"	"15001"	"2010"	"2010"	"Unintentional"	"1"	61	185079	33.0
	"Hawaii County, HI"	"15001"	"2010"	"2010"	"Suicide"	"2"	30	185079	16.2
	"Hawaii County, HI"	"15001"	"2010"	"2010"	"Undetermined "	"4"	16	185079	Unreliable
	"Hawaii County, HI"	"15001"	"2011"	"2011"	"Unintentional"	"1"	68	186738	36.4
	"Hawaii County, HI"	"15001"	"2011"	"2011"	"Suicide"	"2"	37	186738	19.8
	"Hawaii County, HI"	"15001"	"2011"	"2011"	"Undetermined "	"4"	17	186738	Unreliable
	"Hawaii County, HI"	"15001"	"2012"	"2012"	"Unintentional"	"1"	81	189191	42.8
	"Hawaii County, HI"	"15001"	"2012"	"2012"	"Suicide"	"2"	32	189191	16.9
	"Hawaii County, HI"	"15001"	"2013"	"2013"	"Unintentional"	"1"	66	190821	34.6
	"Hawaii County, HI"	"15001"	"2013"	"2013"	"Suicide"	"2"	47	190821	24.6
	"Hawaii County, HI"	"15001"	"2013"	"2013"	"Undetermined "	"4"	10	190821	Unreliable
	"Hawaii County, HI"	"15001"	"2014"	"2014"	"Unintentional"	"1"	51	194190	26.3
	"Hawaii County, HI"	"15001"	"2014"	"2014"	"Suicide"	"2"	40	194190	20.6
	"Hawaii County, HI"	"15001"	"2014"	"2014"	"Undetermined "	"4"	10	194190	Unreliable
	"Hawaii County, HI"	"15001"	"2015"	"2015"	"Unintentional"	"1"	76	196428	38.7
	"Hawaii County, HI"	"15001"	"2015"	"2015"	"Suicide"	"2"	35	196428	17.8
	"Hawaii County, HI"	"15001"	"2015"	"2015"	"Homicide"	"3"	10	196428	Unreliable
	"Hawaii County, HI"	"15001"	"2015"	"2015"	"Undetermined "	"4"	11	196428	Unreliable
	"Hawaii County, HI"	"15001"	"2016"	"2016"	"Unintentional"	"1"	72	198449	36.3
	"Hawaii County, HI"	"15001"	"2016"	"2016"	"Suicide"	"2"	32	198449	16.1
	"Hawaii County, HI"	"15001"	"2016"	"2016"	"Homicide"	"3"	11	198449	Unreliable
	"Hawaii County, HI"	"15001"	"2017"	"2017"	"Unintentional"	"1"	82	200381	40.9
	"Hawaii County, HI"	"15001"	"2017"	"2017"	"Suicide"	"2"	41	200381	20.5
	"Hawaii County, HI"	"15001"	"2017"	"2017"	"Undetermined "	"4"	15	200381	Unreliable
	"Hawaii County, HI"	"15001"	"2018"	"2018"	"Unintentional"	"1"	100	200983	49.8
	"Hawaii County, HI"	"15001"	"2018"	"2018"	"Suicide"	"2"	41	200983	20.4
	"Honolulu County, HI"	"15003"	"1999"	"1999"	"Unintentional"	"1"	181	878906	20.6
	"Honolulu County, HI"	"15003"	"1999"	"1999"	"Suicide"	"2"	91	878906	10.4
	"Honolulu County, HI"	"15003"	"1999"	"1999"	"Homicide"	"3"	31	878906	3.5
	"Honolulu County, HI"	"15003"	"1999"	"1999"	"Undetermined "	"4"	18	878906	Unreliable
	"Honolulu County, HI"	"15003"	"2000"	"2000"	"Unintentional"	"1"	219	876156	25.0
	"Honolulu County, HI"	"15003"	"2000"	"2000"	"Suicide"	"2"	94	876156	10.7
	"Honolulu County, HI"	"15003"	"2000"	"2000"	"Homicide"	"3"	21	876156	2.4
	"Honolulu County, HI"	"15003"	"2000"	"2000"	"Undetermined "	"4"	18	876156	Unreliable
	"Honolulu County, HI"	"15003"	"2001"	"2001"	"Unintentional"	"1"	240	882755	27.2
	"Honolulu County, HI"	"15003"	"2001"	"2001"	"Suicide"	"2"	93	882755	10.5
	"Honolulu County, HI"	"15003"	"2001"	"2001"	"Homicide"	"3"	19	882755	Unreliable
	"Honolulu County, HI"	"15003"	"2001"	"2001"	"Undetermined "	"4"	22	882755	2.5
	"Honolulu County, HI"	"15003"	"2002"	"2002"	"Unintentional"	"1"	269	890473	30.2
	"Honolulu County, HI"	"15003"	"2002"	"2002"	"Suicide"	"2"	80	890473	9.0
	"Honolulu County, HI"	"15003"	"2002"	"2002"	"Homicide"	"3"	29	890473	3.3
	"Honolulu County, HI"	"15003"	"2002"	"2002"	"Undetermined "	"4"	19	890473	Unreliable
	"Honolulu County, HI"	"15003"	"2003"	"2003"	"Unintentional"	"1"	279	894311	31.2
	"Honolulu County, HI"	"15003"	"2003"	"2003"	"Suicide"	"2"	85	894311	9.5
	"Honolulu County, HI"	"15003"	"2003"	"2003"	"Homicide"	"3"	14	894311	Unreliable
	"Honolulu County, HI"	"15003"	"2003"	"2003"	"Undetermined "	"4"	14	894311	Unreliable
	"Honolulu County, HI"	"15003"	"2004"	"2004"	"Unintentional"	"1"	266	907997	29.3
	"Honolulu County, HI"	"15003"	"2004"	"2004"	"Suicide"	"2"	81	907997	8.9
	"Honolulu County, HI"	"15003"	"2004"	"2004"	"Homicide"	"3"	24	907997	2.6
	"Honolulu County, HI"	"15003"	"2004"	"2004"	"Undetermined "	"4"	19	907997	Unreliable
	"Honolulu County, HI"	"15003"	"2005"	"2005"	"Unintentional"	"1"	306	918181	33.3
	"Honolulu County, HI"	"15003"	"2005"	"2005"	"Suicide"	"2"	68	918181	7.4
	"Honolulu County, HI"	"15003"	"2005"	"2005"	"Homicide"	"3"	16	918181	Unreliable
	"Honolulu County, HI"	"15003"	"2005"	"2005"	"Undetermined "	"4"	22	918181	2.4
	"Honolulu County, HI"	"15003"	"2006"	"2006"	"Unintentional"	"1"	300	926954	32.4
	"Honolulu County, HI"	"15003"	"2006"	"2006"	"Suicide"	"2"	78	926954	8.4
	"Honolulu County, HI"	"15003"	"2006"	"2006"	"Homicide"	"3"	20	926954	2.2
	"Honolulu County, HI"	"15003"	"2006"	"2006"	"Undetermined "	"4"	36	926954	3.9
	"Honolulu County, HI"	"15003"	"2007"	"2007"	"Unintentional"	"1"	317	925335	34.3
	"Honolulu County, HI"	"15003"	"2007"	"2007"	"Suicide"	"2"	83	925335	9.0
	"Honolulu County, HI"	"15003"	"2007"	"2007"	"Homicide"	"3"	20	925335	2.2
	"Honolulu County, HI"	"15003"	"2007"	"2007"	"Undetermined "	"4"	20	925335	2.2
	"Honolulu County, HI"	"15003"	"2008"	"2008"	"Unintentional"	"1"	262	933680	28.1
	"Honolulu County, HI"	"15003"	"2008"	"2008"	"Suicide"	"2"	76	933680	8.1
	"Honolulu County, HI"	"15003"	"2008"	"2008"	"Homicide"	"3"	19	933680	Unreliable
	"Honolulu County, HI"	"15003"	"2008"	"2008"	"Undetermined "	"4"	10	933680	Unreliable
	"Honolulu County, HI"	"15003"	"2009"	"2009"	"Unintentional"	"1"	304	943177	32.2
	"Honolulu County, HI"	"15003"	"2009"	"2009"	"Suicide"	"2"	96	943177	10.2
	"Honolulu County, HI"	"15003"	"2009"	"2009"	"Homicide"	"3"	14	943177	Unreliable
	"Honolulu County, HI"	"15003"	"2009"	"2009"	"Undetermined "	"4"	14	943177	Unreliable
	"Honolulu County, HI"	"15003"	"2010"	"2010"	"Unintentional"	"1"	312	953207	32.7
	"Honolulu County, HI"	"15003"	"2010"	"2010"	"Suicide"	"2"	125	953207	13.1
	"Honolulu County, HI"	"15003"	"2010"	"2010"	"Homicide"	"3"	17	953207	Unreliable
	"Honolulu County, HI"	"15003"	"2010"	"2010"	"Undetermined "	"4"	14	953207	Unreliable
