"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Ada County, ID"	"16001"	"1999"	"1999"	"Unintentional"	"1"	69	294292	23.4
	"Ada County, ID"	"16001"	"1999"	"1999"	"Suicide"	"2"	39	294292	13.3
	"Ada County, ID"	"16001"	"2000"	"2000"	"Unintentional"	"1"	59	300904	19.6
	"Ada County, ID"	"16001"	"2000"	"2000"	"Suicide"	"2"	33	300904	11.0
	"Ada County, ID"	"16001"	"2001"	"2001"	"Unintentional"	"1"	85	313896	27.1
	"Ada County, ID"	"16001"	"2001"	"2001"	"Suicide"	"2"	41	313896	13.1
	"Ada County, ID"	"16001"	"2002"	"2002"	"Unintentional"	"1"	95	321616	29.5
	"Ada County, ID"	"16001"	"2002"	"2002"	"Suicide"	"2"	50	321616	15.5
	"Ada County, ID"	"16001"	"2002"	"2002"	"Undetermined "	"4"	11	321616	Unreliable
	"Ada County, ID"	"16001"	"2003"	"2003"	"Unintentional"	"1"	99	327393	30.2
	"Ada County, ID"	"16001"	"2003"	"2003"	"Suicide"	"2"	48	327393	14.7
	"Ada County, ID"	"16001"	"2003"	"2003"	"Undetermined "	"4"	10	327393	Unreliable
	"Ada County, ID"	"16001"	"2004"	"2004"	"Unintentional"	"1"	93	334926	27.8
	"Ada County, ID"	"16001"	"2004"	"2004"	"Suicide"	"2"	51	334926	15.2
	"Ada County, ID"	"16001"	"2005"	"2005"	"Unintentional"	"1"	100	348755	28.7
	"Ada County, ID"	"16001"	"2005"	"2005"	"Suicide"	"2"	39	348755	11.2
	"Ada County, ID"	"16001"	"2006"	"2006"	"Unintentional"	"1"	131	363498	36.0
	"Ada County, ID"	"16001"	"2006"	"2006"	"Suicide"	"2"	48	363498	13.2
	"Ada County, ID"	"16001"	"2007"	"2007"	"Unintentional"	"1"	111	375368	29.6
	"Ada County, ID"	"16001"	"2007"	"2007"	"Suicide"	"2"	57	375368	15.2
	"Ada County, ID"	"16001"	"2007"	"2007"	"Homicide"	"3"	15	375368	Unreliable
	"Ada County, ID"	"16001"	"2008"	"2008"	"Unintentional"	"1"	89	382618	23.3
	"Ada County, ID"	"16001"	"2008"	"2008"	"Suicide"	"2"	60	382618	15.7
	"Ada County, ID"	"16001"	"2008"	"2008"	"Undetermined "	"4"	12	382618	Unreliable
	"Ada County, ID"	"16001"	"2009"	"2009"	"Unintentional"	"1"	125	388577	32.2
	"Ada County, ID"	"16001"	"2009"	"2009"	"Suicide"	"2"	55	388577	14.2
	"Ada County, ID"	"16001"	"2010"	"2010"	"Unintentional"	"1"	112	392365	28.5
	"Ada County, ID"	"16001"	"2010"	"2010"	"Suicide"	"2"	56	392365	14.3
	"Ada County, ID"	"16001"	"2011"	"2011"	"Unintentional"	"1"	129	400842	32.2
	"Ada County, ID"	"16001"	"2011"	"2011"	"Suicide"	"2"	62	400842	15.5
	"Ada County, ID"	"16001"	"2012"	"2012"	"Unintentional"	"1"	136	409061	33.2
	"Ada County, ID"	"16001"	"2012"	"2012"	"Suicide"	"2"	71	409061	17.4
	"Ada County, ID"	"16001"	"2013"	"2013"	"Unintentional"	"1"	156	416464	37.5
	"Ada County, ID"	"16001"	"2013"	"2013"	"Suicide"	"2"	61	416464	14.6
	"Ada County, ID"	"16001"	"2014"	"2014"	"Unintentional"	"1"	154	426236	36.1
	"Ada County, ID"	"16001"	"2014"	"2014"	"Suicide"	"2"	78	426236	18.3
	"Ada County, ID"	"16001"	"2015"	"2015"	"Unintentional"	"1"	142	434211	32.7
	"Ada County, ID"	"16001"	"2015"	"2015"	"Suicide"	"2"	79	434211	18.2
	"Ada County, ID"	"16001"	"2016"	"2016"	"Unintentional"	"1"	180	444028	40.5
	"Ada County, ID"	"16001"	"2016"	"2016"	"Suicide"	"2"	103	444028	23.2
	"Ada County, ID"	"16001"	"2017"	"2017"	"Unintentional"	"1"	201	456849	44.0
	"Ada County, ID"	"16001"	"2017"	"2017"	"Suicide"	"2"	86	456849	18.8
	"Ada County, ID"	"16001"	"2018"	"2018"	"Unintentional"	"1"	210	469966	44.7
