"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, IL"	"17001"	"1999"	"1999"	"Unintentional"	"1"	33	68430	48.2
	"Adams County, IL"	"17001"	"2000"	"2000"	"Unintentional"	"1"	33	68277	48.3
	"Adams County, IL"	"17001"	"2001"	"2001"	"Unintentional"	"1"	29	68014	42.6
	"Adams County, IL"	"17001"	"2001"	"2001"	"Suicide"	"2"	13	68014	Unreliable
	"Adams County, IL"	"17001"	"2002"	"2002"	"Unintentional"	"1"	26	67776	38.4
	"Adams County, IL"	"17001"	"2003"	"2003"	"Unintentional"	"1"	25	67267	37.2
	"Adams County, IL"	"17001"	"2004"	"2004"	"Unintentional"	"1"	23	66818	34.4
	"Adams County, IL"	"17001"	"2005"	"2005"	"Unintentional"	"1"	23	66920	34.4
	"Adams County, IL"	"17001"	"2006"	"2006"	"Unintentional"	"1"	21	67106	31.3
	"Adams County, IL"	"17001"	"2007"	"2007"	"Unintentional"	"1"	26	66943	38.8
	"Adams County, IL"	"17001"	"2008"	"2008"	"Unintentional"	"1"	27	66943	40.3
	"Adams County, IL"	"17001"	"2008"	"2008"	"Suicide"	"2"	15	66943	Unreliable
	"Adams County, IL"	"17001"	"2009"	"2009"	"Unintentional"	"1"	33	67039	49.2
	"Adams County, IL"	"17001"	"2009"	"2009"	"Suicide"	"2"	10	67039	Unreliable
	"Adams County, IL"	"17001"	"2010"	"2010"	"Unintentional"	"1"	28	67103	41.7
	"Adams County, IL"	"17001"	"2011"	"2011"	"Unintentional"	"1"	29	67159	43.2
	"Adams County, IL"	"17001"	"2011"	"2011"	"Suicide"	"2"	10	67159	Unreliable
	"Adams County, IL"	"17001"	"2012"	"2012"	"Unintentional"	"1"	36	67197	53.6
	"Adams County, IL"	"17001"	"2013"	"2013"	"Unintentional"	"1"	38	67130	56.6
	"Adams County, IL"	"17001"	"2014"	"2014"	"Unintentional"	"1"	48	66988	71.7
	"Adams County, IL"	"17001"	"2015"	"2015"	"Unintentional"	"1"	52	67013	77.6
	"Adams County, IL"	"17001"	"2015"	"2015"	"Suicide"	"2"	11	67013	Unreliable
