"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, IN"	"18001"	"1999"	"1999"	"Unintentional"	"1"	13	33544	Unreliable
	"Adams County, IN"	"18001"	"2000"	"2000"	"Unintentional"	"1"	11	33625	Unreliable
	"Adams County, IN"	"18001"	"2001"	"2001"	"Unintentional"	"1"	15	33556	Unreliable
	"Adams County, IN"	"18001"	"2002"	"2002"	"Unintentional"	"1"	13	33523	Unreliable
	"Adams County, IN"	"18001"	"2003"	"2003"	"Unintentional"	"1"	10	33746	Unreliable
	"Adams County, IN"	"18001"	"2004"	"2004"	"Unintentional"	"1"	13	33822	Unreliable
	"Adams County, IN"	"18001"	"2005"	"2005"	"Unintentional"	"1"	18	33867	Unreliable
	"Adams County, IN"	"18001"	"2007"	"2007"	"Unintentional"	"1"	13	33962	Unreliable
	"Adams County, IN"	"18001"	"2008"	"2008"	"Unintentional"	"1"	10	34214	Unreliable
	"Adams County, IN"	"18001"	"2009"	"2009"	"Unintentional"	"1"	12	34351	Unreliable
	"Adams County, IN"	"18001"	"2010"	"2010"	"Unintentional"	"1"	13	34387	Unreliable
	"Adams County, IN"	"18001"	"2011"	"2011"	"Unintentional"	"1"	14	34370	Unreliable
	"Adams County, IN"	"18001"	"2012"	"2012"	"Unintentional"	"1"	15	34365	Unreliable
	"Adams County, IN"	"18001"	"2013"	"2013"	"Unintentional"	"1"	16	34614	Unreliable
	"Adams County, IN"	"18001"	"2014"	"2014"	"Unintentional"	"1"	16	34791	Unreliable
	"Adams County, IN"	"18001"	"2015"	"2015"	"Unintentional"	"1"	16	34980	Unreliable
	"Adams County, IN"	"18001"	"2016"	"2016"	"Unintentional"	"1"	13	35232	Unreliable
	"Adams County, IN"	"18001"	"2017"	"2017"	"Unintentional"	"1"	23	35491	64.8
	"Adams County, IN"	"18001"	"2018"	"2018"	"Unintentional"	"1"	14	35636	Unreliable
	"Allen County, IN"	"18003"	"1999"	"1999"	"Unintentional"	"1"	148	328699	45.0
	"Allen County, IN"	"18003"	"1999"	"1999"	"Suicide"	"2"	17	328699	Unreliable
	"Allen County, IN"	"18003"	"1999"	"1999"	"Homicide"	"3"	22	328699	6.7
	"Allen County, IN"	"18003"	"2000"	"2000"	"Unintentional"	"1"	104	331849	31.3
	"Allen County, IN"	"18003"	"2000"	"2000"	"Suicide"	"2"	25	331849	7.5
	"Allen County, IN"	"18003"	"2000"	"2000"	"Homicide"	"3"	19	331849	Unreliable
	"Allen County, IN"	"18003"	"2001"	"2001"	"Unintentional"	"1"	124	334956	37.0
	"Allen County, IN"	"18003"	"2001"	"2001"	"Suicide"	"2"	43	334956	12.8
	"Allen County, IN"	"18003"	"2001"	"2001"	"Homicide"	"3"	21	334956	6.3
	"Allen County, IN"	"18003"	"2002"	"2002"	"Unintentional"	"1"	115	337124	34.1
	"Allen County, IN"	"18003"	"2002"	"2002"	"Suicide"	"2"	43	337124	12.8
	"Allen County, IN"	"18003"	"2002"	"2002"	"Homicide"	"3"	28	337124	8.3
	"Allen County, IN"	"18003"	"2003"	"2003"	"Unintentional"	"1"	96	339569	28.3
	"Allen County, IN"	"18003"	"2003"	"2003"	"Suicide"	"2"	44	339569	13.0
	"Allen County, IN"	"18003"	"2003"	"2003"	"Homicide"	"3"	20	339569	5.9
	"Allen County, IN"	"18003"	"2004"	"2004"	"Unintentional"	"1"	102	340916	29.9
	"Allen County, IN"	"18003"	"2004"	"2004"	"Suicide"	"2"	35	340916	10.3
	"Allen County, IN"	"18003"	"2004"	"2004"	"Homicide"	"3"	20	340916	5.9
	"Allen County, IN"	"18003"	"2005"	"2005"	"Unintentional"	"1"	126	343238	36.7
	"Allen County, IN"	"18003"	"2005"	"2005"	"Suicide"	"2"	36	343238	10.5
	"Allen County, IN"	"18003"	"2005"	"2005"	"Homicide"	"3"	28	343238	8.2
	"Allen County, IN"	"18003"	"2006"	"2006"	"Unintentional"	"1"	132	346314	38.1
	"Allen County, IN"	"18003"	"2006"	"2006"	"Suicide"	"2"	50	346314	14.4
	"Allen County, IN"	"18003"	"2006"	"2006"	"Homicide"	"3"	19	346314	Unreliable
