"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Allamakee County, IA"	"19005"	"2005"	"2005"	"Unintentional"	"1"	10	14371	Unreliable
	"Allamakee County, IA"	"19005"	"2007"	"2007"	"Unintentional"	"1"	11	14335	Unreliable
	"Allamakee County, IA"	"19005"	"2012"	"2012"	"Unintentional"	"1"	10	14237	Unreliable
	"Allamakee County, IA"	"19005"	"2014"	"2014"	"Unintentional"	"1"	17	14038	Unreliable
	"Allamakee County, IA"	"19005"	"2017"	"2017"	"Unintentional"	"1"	13	13884	Unreliable
	"Appanoose County, IA"	"19007"	"2010"	"2010"	"Unintentional"	"1"	11	12887	Unreliable
	"Appanoose County, IA"	"19007"	"2011"	"2011"	"Unintentional"	"1"	12	12797	Unreliable
	"Appanoose County, IA"	"19007"	"2012"	"2012"	"Unintentional"	"1"	13	12700	Unreliable
	"Appanoose County, IA"	"19007"	"2013"	"2013"	"Unintentional"	"1"	12	12692	Unreliable
	"Appanoose County, IA"	"19007"	"2017"	"2017"	"Unintentional"	"1"	11	12352	Unreliable
	"Audubon County, IA"	"19009"	"2016"	"2016"	"Unintentional"	"1"	10	5678	Unreliable
	"Benton County, IA"	"19011"	"2001"	"2001"	"Unintentional"	"1"	10	25532	Unreliable
	"Benton County, IA"	"19011"	"2002"	"2002"	"Unintentional"	"1"	13	25829	Unreliable
	"Benton County, IA"	"19011"	"2004"	"2004"	"Unintentional"	"1"	11	26181	Unreliable
	"Benton County, IA"	"19011"	"2006"	"2006"	"Unintentional"	"1"	14	26137	Unreliable
	"Benton County, IA"	"19011"	"2007"	"2007"	"Unintentional"	"1"	14	26066	Unreliable
	"Benton County, IA"	"19011"	"2008"	"2008"	"Unintentional"	"1"	13	26097	Unreliable
	"Benton County, IA"	"19011"	"2010"	"2010"	"Unintentional"	"1"	14	26076	Unreliable
	"Benton County, IA"	"19011"	"2011"	"2011"	"Unintentional"	"1"	14	26092	Unreliable
	"Benton County, IA"	"19011"	"2012"	"2012"	"Unintentional"	"1"	10	25827	Unreliable
	"Benton County, IA"	"19011"	"2013"	"2013"	"Unintentional"	"1"	21	25699	81.7
	"Benton County, IA"	"19011"	"2014"	"2014"	"Unintentional"	"1"	16	25680	Unreliable
	"Benton County, IA"	"19011"	"2015"	"2015"	"Unintentional"	"1"	19	25658	Unreliable
	"Benton County, IA"	"19011"	"2016"	"2016"	"Unintentional"	"1"	26	25699	101.2
	"Benton County, IA"	"19011"	"2017"	"2017"	"Unintentional"	"1"	17	25642	Unreliable
	"Benton County, IA"	"19011"	"2018"	"2018"	"Unintentional"	"1"	12	25642	Unreliable
	"Black Hawk County, IA"	"19013"	"1999"	"1999"	"Unintentional"	"1"	37	127786	29.0
	"Black Hawk County, IA"	"19013"	"2000"	"2000"	"Unintentional"	"1"	37	128012	28.9
	"Black Hawk County, IA"	"19013"	"2000"	"2000"	"Suicide"	"2"	13	128012	Unreliable
	"Black Hawk County, IA"	"19013"	"2001"	"2001"	"Unintentional"	"1"	46	127765	36.0
	"Black Hawk County, IA"	"19013"	"2002"	"2002"	"Unintentional"	"1"	39	126876	30.7
	"Black Hawk County, IA"	"19013"	"2002"	"2002"	"Suicide"	"2"	12	126876	Unreliable
