"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adair County, KY"	"21001"	"2003"	"2003"	"Unintentional"	"1"	11	17924	Unreliable
	"Adair County, KY"	"21001"	"2004"	"2004"	"Unintentional"	"1"	11	17994	Unreliable
	"Adair County, KY"	"21001"	"2005"	"2005"	"Unintentional"	"1"	11	18128	Unreliable
	"Adair County, KY"	"21001"	"2006"	"2006"	"Unintentional"	"1"	11	18335	Unreliable
	"Adair County, KY"	"21001"	"2008"	"2008"	"Unintentional"	"1"	14	18541	Unreliable
	"Adair County, KY"	"21001"	"2013"	"2013"	"Unintentional"	"1"	11	18732	Unreliable
	"Adair County, KY"	"21001"	"2014"	"2014"	"Unintentional"	"1"	13	19204	Unreliable
	"Adair County, KY"	"21001"	"2015"	"2015"	"Unintentional"	"1"	13	19027	Unreliable
	"Adair County, KY"	"21001"	"2016"	"2016"	"Unintentional"	"1"	17	19280	Unreliable
	"Adair County, KY"	"21001"	"2017"	"2017"	"Unintentional"	"1"	14	19485	Unreliable
	"Adair County, KY"	"21001"	"2018"	"2018"	"Unintentional"	"1"	16	19215	Unreliable
	"Allen County, KY"	"21003"	"2002"	"2002"	"Unintentional"	"1"	11	18219	Unreliable
	"Allen County, KY"	"21003"	"2003"	"2003"	"Unintentional"	"1"	20	18434	108.5
	"Allen County, KY"	"21003"	"2004"	"2004"	"Unintentional"	"1"	10	18699	Unreliable
	"Allen County, KY"	"21003"	"2005"	"2005"	"Unintentional"	"1"	18	18910	Unreliable
	"Allen County, KY"	"21003"	"2007"	"2007"	"Unintentional"	"1"	11	19540	Unreliable
	"Allen County, KY"	"21003"	"2008"	"2008"	"Unintentional"	"1"	18	19838	Unreliable
	"Allen County, KY"	"21003"	"2009"	"2009"	"Unintentional"	"1"	11	19811	Unreliable
	"Allen County, KY"	"21003"	"2010"	"2010"	"Unintentional"	"1"	12	19956	Unreliable
	"Allen County, KY"	"21003"	"2011"	"2011"	"Unintentional"	"1"	15	20140	Unreliable
	"Allen County, KY"	"21003"	"2012"	"2012"	"Unintentional"	"1"	12	20210	Unreliable
	"Allen County, KY"	"21003"	"2013"	"2013"	"Unintentional"	"1"	15	20311	Unreliable
	"Allen County, KY"	"21003"	"2014"	"2014"	"Unintentional"	"1"	11	20384	Unreliable
	"Allen County, KY"	"21003"	"2015"	"2015"	"Unintentional"	"1"	10	20640	Unreliable
	"Allen County, KY"	"21003"	"2016"	"2016"	"Unintentional"	"1"	10	20631	Unreliable
	"Allen County, KY"	"21003"	"2017"	"2017"	"Unintentional"	"1"	16	20933	Unreliable
	"Allen County, KY"	"21003"	"2018"	"2018"	"Unintentional"	"1"	16	21122	Unreliable
	"Anderson County, KY"	"21005"	"1999"	"1999"	"Unintentional"	"1"	12	18864	Unreliable
	"Anderson County, KY"	"21005"	"2001"	"2001"	"Unintentional"	"1"	11	19382	Unreliable
	"Anderson County, KY"	"21005"	"2002"	"2002"	"Unintentional"	"1"	10	19315	Unreliable
	"Anderson County, KY"	"21005"	"2007"	"2007"	"Unintentional"	"1"	13	20999	Unreliable
	"Anderson County, KY"	"21005"	"2008"	"2008"	"Unintentional"	"1"	13	21088	Unreliable
	"Anderson County, KY"	"21005"	"2010"	"2010"	"Unintentional"	"1"	14	21421	Unreliable
	"Anderson County, KY"	"21005"	"2011"	"2011"	"Unintentional"	"1"	12	21644	Unreliable
	"Anderson County, KY"	"21005"	"2015"	"2015"	"Unintentional"	"1"	10	21979	Unreliable
	"Anderson County, KY"	"21005"	"2016"	"2016"	"Unintentional"	"1"	19	22158	Unreliable
	"Anderson County, KY"	"21005"	"2017"	"2017"	"Unintentional"	"1"	21	22544	93.2
	"Anderson County, KY"	"21005"	"2018"	"2018"	"Unintentional"	"1"	16	22663	Unreliable
	"Ballard County, KY"	"21007"	"2006"	"2006"	"Unintentional"	"1"	11	8204	Unreliable
	"Barren County, KY"	"21009"	"1999"	"1999"	"Unintentional"	"1"	15	37687	Unreliable
	"Barren County, KY"	"21009"	"2000"	"2000"	"Unintentional"	"1"	19	38033	Unreliable
	"Barren County, KY"	"21009"	"2001"	"2001"	"Unintentional"	"1"	27	38517	70.1
	"Barren County, KY"	"21009"	"2002"	"2002"	"Unintentional"	"1"	15	38704	Unreliable
	"Barren County, KY"	"21009"	"2003"	"2003"	"Unintentional"	"1"	13	39164	Unreliable
	"Barren County, KY"	"21009"	"2004"	"2004"	"Unintentional"	"1"	22	39601	55.6
	"Barren County, KY"	"21009"	"2005"	"2005"	"Unintentional"	"1"	22	40320	54.6
	"Barren County, KY"	"21009"	"2006"	"2006"	"Unintentional"	"1"	20	40857	49.0
	"Barren County, KY"	"21009"	"2007"	"2007"	"Unintentional"	"1"	27	41435	65.2
	"Barren County, KY"	"21009"	"2008"	"2008"	"Unintentional"	"1"	18	41797	Unreliable
	"Barren County, KY"	"21009"	"2009"	"2009"	"Unintentional"	"1"	27	42171	64.0
	"Barren County, KY"	"21009"	"2010"	"2010"	"Unintentional"	"1"	28	42173	66.4
	"Barren County, KY"	"21009"	"2011"	"2011"	"Unintentional"	"1"	25	42269	59.1
	"Barren County, KY"	"21009"	"2012"	"2012"	"Unintentional"	"1"	32	42631	75.1
	"Barren County, KY"	"21009"	"2012"	"2012"	"Suicide"	"2"	11	42631	Unreliable
	"Barren County, KY"	"21009"	"2013"	"2013"	"Unintentional"	"1"	22	43027	51.1
	"Barren County, KY"	"21009"	"2014"	"2014"	"Unintentional"	"1"	19	43148	Unreliable
	"Barren County, KY"	"21009"	"2014"	"2014"	"Suicide"	"2"	12	43148	Unreliable
	"Barren County, KY"	"21009"	"2015"	"2015"	"Unintentional"	"1"	27	43570	62.0
	"Barren County, KY"	"21009"	"2016"	"2016"	"Unintentional"	"1"	30	43993	68.2
	"Barren County, KY"	"21009"	"2017"	"2017"	"Unintentional"	"1"	18	43801	Unreliable
	"Barren County, KY"	"21009"	"2017"	"2017"	"Suicide"	"2"	14	43801	Unreliable
	"Barren County, KY"	"21009"	"2018"	"2018"	"Unintentional"	"1"	28	44176	63.4
	"Barren County, KY"	"21009"	"2018"	"2018"	"Suicide"	"2"	18	44176	Unreliable
	"Bath County, KY"	"21011"	"2001"	"2001"	"Unintentional"	"1"	10	11280	Unreliable
	"Bath County, KY"	"21011"	"2003"	"2003"	"Unintentional"	"1"	10	11428	Unreliable
	"Bath County, KY"	"21011"	"2004"	"2004"	"Unintentional"	"1"	14	11447	Unreliable
	"Bath County, KY"	"21011"	"2006"	"2006"	"Unintentional"	"1"	10	11558	Unreliable
	"Bath County, KY"	"21011"	"2008"	"2008"	"Unintentional"	"1"	18	11647	Unreliable
	"Bath County, KY"	"21011"	"2009"	"2009"	"Unintentional"	"1"	11	11544	Unreliable
	"Bath County, KY"	"21011"	"2010"	"2010"	"Unintentional"	"1"	13	11591	Unreliable
	"Bath County, KY"	"21011"	"2011"	"2011"	"Unintentional"	"1"	11	11742	Unreliable
	"Bath County, KY"	"21011"	"2012"	"2012"	"Unintentional"	"1"	10	11802	Unreliable
	"Bath County, KY"	"21011"	"2014"	"2014"	"Unintentional"	"1"	10	12206	Unreliable
	"Bath County, KY"	"21011"	"2015"	"2015"	"Unintentional"	"1"	16	12228	Unreliable
	"Bath County, KY"	"21011"	"2018"	"2018"	"Unintentional"	"1"	11	12383	Unreliable
	"Bell County, KY"	"21013"	"1999"	"1999"	"Unintentional"	"1"	14	30026	Unreliable
	"Bell County, KY"	"21013"	"2000"	"2000"	"Unintentional"	"1"	15	30060	Unreliable
	"Bell County, KY"	"21013"	"2001"	"2001"	"Unintentional"	"1"	15	29561	Unreliable
	"Bell County, KY"	"21013"	"2002"	"2002"	"Unintentional"	"1"	33	29691	111.1
	"Bell County, KY"	"21013"	"2003"	"2003"	"Unintentional"	"1"	47	29478	159.4
	"Bell County, KY"	"21013"	"2004"	"2004"	"Unintentional"	"1"	43	29275	146.9
	"Bell County, KY"	"21013"	"2005"	"2005"	"Unintentional"	"1"	30	29130	103.0
	"Bell County, KY"	"21013"	"2006"	"2006"	"Unintentional"	"1"	30	28960	103.6
	"Bell County, KY"	"21013"	"2007"	"2007"	"Unintentional"	"1"	26	28794	90.3
	"Bell County, KY"	"21013"	"2008"	"2008"	"Unintentional"	"1"	31	28836	107.5
	"Bell County, KY"	"21013"	"2009"	"2009"	"Unintentional"	"1"	29	28667	101.2
	"Bell County, KY"	"21013"	"2010"	"2010"	"Unintentional"	"1"	32	28691	111.5
	"Bell County, KY"	"21013"	"2011"	"2011"	"Unintentional"	"1"	27	28725	94.0
	"Bell County, KY"	"21013"	"2012"	"2012"	"Unintentional"	"1"	17	28183	Unreliable
	"Bell County, KY"	"21013"	"2012"	"2012"	"Undetermined "	"4"	10	28183	Unreliable
	"Bell County, KY"	"21013"	"2013"	"2013"	"Undetermined "	"4"	23	27885	82.5
	"Bell County, KY"	"21013"	"2014"	"2014"	"Unintentional"	"1"	14	27778	Unreliable
	"Bell County, KY"	"21013"	"2015"	"2015"	"Unintentional"	"1"	22	27337	80.5
	"Bell County, KY"	"21013"	"2015"	"2015"	"Undetermined "	"4"	17	27337	Unreliable
	"Bell County, KY"	"21013"	"2016"	"2016"	"Unintentional"	"1"	20	27117	73.8
	"Bell County, KY"	"21013"	"2016"	"2016"	"Undetermined "	"4"	10	27117	Unreliable
	"Bell County, KY"	"21013"	"2017"	"2017"	"Unintentional"	"1"	20	26894	74.4
	"Bell County, KY"	"21013"	"2018"	"2018"	"Unintentional"	"1"	22	26569	82.8
	"Boone County, KY"	"21015"	"1999"	"1999"	"Unintentional"	"1"	16	83349	Unreliable
	"Boone County, KY"	"21015"	"2000"	"2000"	"Unintentional"	"1"	15	85991	Unreliable
	"Boone County, KY"	"21015"	"2001"	"2001"	"Unintentional"	"1"	21	90277	23.3
	"Boone County, KY"	"21015"	"2002"	"2002"	"Unintentional"	"1"	25	93323	26.8
	"Boone County, KY"	"21015"	"2003"	"2003"	"Unintentional"	"1"	36	96680	37.2
	"Boone County, KY"	"21015"	"2004"	"2004"	"Unintentional"	"1"	24	100822	23.8
	"Boone County, KY"	"21015"	"2004"	"2004"	"Suicide"	"2"	10	100822	Unreliable
	"Boone County, KY"	"21015"	"2005"	"2005"	"Unintentional"	"1"	38	105456	36.0
	"Boone County, KY"	"21015"	"2005"	"2005"	"Suicide"	"2"	12	105456	Unreliable
	"Boone County, KY"	"21015"	"2006"	"2006"	"Unintentional"	"1"	38	109295	34.8
	"Boone County, KY"	"21015"	"2006"	"2006"	"Suicide"	"2"	11	109295	Unreliable
	"Boone County, KY"	"21015"	"2007"	"2007"	"Unintentional"	"1"	48	112308	42.7
	"Boone County, KY"	"21015"	"2007"	"2007"	"Suicide"	"2"	15	112308	Unreliable
	"Boone County, KY"	"21015"	"2008"	"2008"	"Unintentional"	"1"	44	115262	38.2
	"Boone County, KY"	"21015"	"2008"	"2008"	"Suicide"	"2"	15	115262	Unreliable
	"Boone County, KY"	"21015"	"2009"	"2009"	"Unintentional"	"1"	51	117461	43.4
	"Boone County, KY"	"21015"	"2010"	"2010"	"Unintentional"	"1"	51	118811	42.9
	"Boone County, KY"	"21015"	"2010"	"2010"	"Suicide"	"2"	17	118811	Unreliable
	"Boone County, KY"	"21015"	"2011"	"2011"	"Unintentional"	"1"	44	121737	36.1
	"Boone County, KY"	"21015"	"2011"	"2011"	"Suicide"	"2"	10	121737	Unreliable
	"Boone County, KY"	"21015"	"2012"	"2012"	"Unintentional"	"1"	55	123316	44.6
	"Boone County, KY"	"21015"	"2012"	"2012"	"Suicide"	"2"	15	123316	Unreliable
	"Boone County, KY"	"21015"	"2013"	"2013"	"Unintentional"	"1"	67	124442	53.8
	"Boone County, KY"	"21015"	"2013"	"2013"	"Suicide"	"2"	16	124442	Unreliable
	"Boone County, KY"	"21015"	"2014"	"2014"	"Unintentional"	"1"	39	126413	30.9
	"Boone County, KY"	"21015"	"2014"	"2014"	"Suicide"	"2"	19	126413	Unreliable
	"Boone County, KY"	"21015"	"2015"	"2015"	"Unintentional"	"1"	80	127712	62.6
	"Boone County, KY"	"21015"	"2015"	"2015"	"Suicide"	"2"	22	127712	17.2
	"Boone County, KY"	"21015"	"2016"	"2016"	"Unintentional"	"1"	61	128536	47.5
	"Boone County, KY"	"21015"	"2016"	"2016"	"Suicide"	"2"	16	128536	Unreliable
	"Boone County, KY"	"21015"	"2017"	"2017"	"Unintentional"	"1"	70	130728	53.5
	"Boone County, KY"	"21015"	"2017"	"2017"	"Suicide"	"2"	22	130728	16.8
	"Boone County, KY"	"21015"	"2018"	"2018"	"Unintentional"	"1"	64	131533	48.7
	"Boone County, KY"	"21015"	"2018"	"2018"	"Suicide"	"2"	23	131533	17.5
	"Bourbon County, KY"	"21017"	"2000"	"2000"	"Unintentional"	"1"	10	19360	Unreliable
	"Bourbon County, KY"	"21017"	"2001"	"2001"	"Unintentional"	"1"	19	19443	Unreliable
	"Bourbon County, KY"	"21017"	"2002"	"2002"	"Unintentional"	"1"	14	19452	Unreliable
	"Bourbon County, KY"	"21017"	"2004"	"2004"	"Unintentional"	"1"	13	19733	Unreliable
	"Bourbon County, KY"	"21017"	"2005"	"2005"	"Unintentional"	"1"	13	19908	Unreliable
	"Bourbon County, KY"	"21017"	"2007"	"2007"	"Unintentional"	"1"	11	19891	Unreliable
	"Bourbon County, KY"	"21017"	"2008"	"2008"	"Unintentional"	"1"	12	20046	Unreliable
	"Bourbon County, KY"	"21017"	"2009"	"2009"	"Unintentional"	"1"	24	20027	119.8
