"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Acadia Parish, LA"	"22001"	"1999"	"1999"	"Unintentional"	"1"	21	58762	35.7
	"Acadia Parish, LA"	"22001"	"2000"	"2000"	"Unintentional"	"1"	29	58861	49.3
	"Acadia Parish, LA"	"22001"	"2001"	"2001"	"Unintentional"	"1"	32	58844	54.4
	"Acadia Parish, LA"	"22001"	"2002"	"2002"	"Unintentional"	"1"	34	59065	57.6
	"Acadia Parish, LA"	"22001"	"2003"	"2003"	"Unintentional"	"1"	40	59194	67.6
	"Acadia Parish, LA"	"22001"	"2003"	"2003"	"Suicide"	"2"	10	59194	Unreliable
	"Acadia Parish, LA"	"22001"	"2004"	"2004"	"Unintentional"	"1"	39	59223	65.9
	"Acadia Parish, LA"	"22001"	"2004"	"2004"	"Suicide"	"2"	16	59223	Unreliable
	"Acadia Parish, LA"	"22001"	"2005"	"2005"	"Unintentional"	"1"	62	59524	104.2
	"Acadia Parish, LA"	"22001"	"2006"	"2006"	"Unintentional"	"1"	50	60522	82.6
	"Acadia Parish, LA"	"22001"	"2006"	"2006"	"Suicide"	"2"	10	60522	Unreliable
	"Acadia Parish, LA"	"22001"	"2007"	"2007"	"Unintentional"	"1"	31	60762	51.0
	"Acadia Parish, LA"	"22001"	"2007"	"2007"	"Undetermined "	"4"	20	60762	32.9
	"Acadia Parish, LA"	"22001"	"2008"	"2008"	"Unintentional"	"1"	33	61115	54.0
	"Acadia Parish, LA"	"22001"	"2008"	"2008"	"Suicide"	"2"	12	61115	Unreliable
	"Acadia Parish, LA"	"22001"	"2009"	"2009"	"Unintentional"	"1"	26	61451	42.3
	"Acadia Parish, LA"	"22001"	"2009"	"2009"	"Undetermined "	"4"	12	61451	Unreliable
	"Acadia Parish, LA"	"22001"	"2010"	"2010"	"Unintentional"	"1"	38	61773	61.5
	"Acadia Parish, LA"	"22001"	"2010"	"2010"	"Undetermined "	"4"	14	61773	Unreliable
	"Acadia Parish, LA"	"22001"	"2011"	"2011"	"Unintentional"	"1"	27	61982	43.6
	"Acadia Parish, LA"	"22001"	"2011"	"2011"	"Suicide"	"2"	19	61982	Unreliable
	"Acadia Parish, LA"	"22001"	"2011"	"2011"	"Undetermined "	"4"	11	61982	Unreliable
	"Acadia Parish, LA"	"22001"	"2012"	"2012"	"Unintentional"	"1"	32	61912	51.7
	"Acadia Parish, LA"	"22001"	"2013"	"2013"	"Unintentional"	"1"	29	62204	46.6
	"Acadia Parish, LA"	"22001"	"2014"	"2014"	"Unintentional"	"1"	27	62486	43.2
	"Acadia Parish, LA"	"22001"	"2014"	"2014"	"Suicide"	"2"	11	62486	Unreliable
