"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Androscoggin County, ME"	"23001"	"1999"	"1999"	"Unintentional"	"1"	35	103403	33.8
	"Androscoggin County, ME"	"23001"	"1999"	"1999"	"Suicide"	"2"	10	103403	Unreliable
	"Androscoggin County, ME"	"23001"	"2000"	"2000"	"Unintentional"	"1"	22	103793	21.2
	"Androscoggin County, ME"	"23001"	"2000"	"2000"	"Suicide"	"2"	12	103793	Unreliable
	"Androscoggin County, ME"	"23001"	"2001"	"2001"	"Unintentional"	"1"	36	104260	34.5
	"Androscoggin County, ME"	"23001"	"2001"	"2001"	"Suicide"	"2"	11	104260	Unreliable
	"Androscoggin County, ME"	"23001"	"2002"	"2002"	"Unintentional"	"1"	41	105063	39.0
	"Androscoggin County, ME"	"23001"	"2003"	"2003"	"Unintentional"	"1"	39	106140	36.7
	"Androscoggin County, ME"	"23001"	"2004"	"2004"	"Unintentional"	"1"	32	106867	29.9
	"Androscoggin County, ME"	"23001"	"2005"	"2005"	"Unintentional"	"1"	37	107352	34.5
	"Androscoggin County, ME"	"23001"	"2006"	"2006"	"Unintentional"	"1"	42	107932	38.9
	"Androscoggin County, ME"	"23001"	"2006"	"2006"	"Suicide"	"2"	10	107932	Unreliable
	"Androscoggin County, ME"	"23001"	"2007"	"2007"	"Unintentional"	"1"	34	107739	31.6
	"Androscoggin County, ME"	"23001"	"2007"	"2007"	"Suicide"	"2"	16	107739	Unreliable
	"Androscoggin County, ME"	"23001"	"2008"	"2008"	"Unintentional"	"1"	40	108284	36.9
	"Androscoggin County, ME"	"23001"	"2008"	"2008"	"Suicide"	"2"	15	108284	Unreliable
	"Androscoggin County, ME"	"23001"	"2009"	"2009"	"Unintentional"	"1"	54	107830	50.1
	"Androscoggin County, ME"	"23001"	"2009"	"2009"	"Suicide"	"2"	11	107830	Unreliable
	"Androscoggin County, ME"	"23001"	"2010"	"2010"	"Unintentional"	"1"	44	107702	40.9
	"Androscoggin County, ME"	"23001"	"2010"	"2010"	"Suicide"	"2"	16	107702	Unreliable
	"Androscoggin County, ME"	"23001"	"2011"	"2011"	"Unintentional"	"1"	47	107398	43.8
	"Androscoggin County, ME"	"23001"	"2011"	"2011"	"Suicide"	"2"	12	107398	Unreliable
	"Androscoggin County, ME"	"23001"	"2012"	"2012"	"Unintentional"	"1"	42	107609	39.0
	"Androscoggin County, ME"	"23001"	"2012"	"2012"	"Suicide"	"2"	19	107609	Unreliable
	"Androscoggin County, ME"	"23001"	"2013"	"2013"	"Unintentional"	"1"	43	107604	40.0
	"Androscoggin County, ME"	"23001"	"2013"	"2013"	"Suicide"	"2"	16	107604	Unreliable
