"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Allegany County, MD"	"24001"	"1999"	"1999"	"Unintentional"	"1"	23	75288	30.5
	"Allegany County, MD"	"24001"	"2000"	"2000"	"Unintentional"	"1"	22	74930	29.4
	"Allegany County, MD"	"24001"	"2000"	"2000"	"Suicide"	"2"	11	74930	Unreliable
	"Allegany County, MD"	"24001"	"2001"	"2001"	"Unintentional"	"1"	26	74525	34.9
	"Allegany County, MD"	"24001"	"2002"	"2002"	"Unintentional"	"1"	21	74204	28.3
	"Allegany County, MD"	"24001"	"2003"	"2003"	"Unintentional"	"1"	19	74076	Unreliable
	"Allegany County, MD"	"24001"	"2003"	"2003"	"Undetermined "	"4"	15	74076	Unreliable
	"Allegany County, MD"	"24001"	"2004"	"2004"	"Unintentional"	"1"	18	74408	Unreliable
	"Allegany County, MD"	"24001"	"2004"	"2004"	"Suicide"	"2"	15	74408	Unreliable
	"Allegany County, MD"	"24001"	"2005"	"2005"	"Unintentional"	"1"	26	73979	35.1
	"Allegany County, MD"	"24001"	"2005"	"2005"	"Suicide"	"2"	13	73979	Unreliable
	"Allegany County, MD"	"24001"	"2006"	"2006"	"Unintentional"	"1"	27	73980	36.5
	"Allegany County, MD"	"24001"	"2006"	"2006"	"Suicide"	"2"	11	73980	Unreliable
	"Allegany County, MD"	"24001"	"2006"	"2006"	"Undetermined "	"4"	14	73980	Unreliable
	"Allegany County, MD"	"24001"	"2007"	"2007"	"Unintentional"	"1"	28	74449	37.6
	"Allegany County, MD"	"24001"	"2007"	"2007"	"Undetermined "	"4"	10	74449	Unreliable
	"Allegany County, MD"	"24001"	"2008"	"2008"	"Unintentional"	"1"	24	74638	32.2
	"Allegany County, MD"	"24001"	"2008"	"2008"	"Suicide"	"2"	11	74638	Unreliable
	"Allegany County, MD"	"24001"	"2009"	"2009"	"Unintentional"	"1"	40	75101	53.3
	"Allegany County, MD"	"24001"	"2010"	"2010"	"Unintentional"	"1"	34	75087	45.3
	"Allegany County, MD"	"24001"	"2011"	"2011"	"Unintentional"	"1"	44	74692	58.9
	"Allegany County, MD"	"24001"	"2011"	"2011"	"Suicide"	"2"	14	74692	Unreliable
	"Allegany County, MD"	"24001"	"2011"	"2011"	"Undetermined "	"4"	10	74692	Unreliable
	"Allegany County, MD"	"24001"	"2012"	"2012"	"Unintentional"	"1"	39	74012	52.7
	"Allegany County, MD"	"24001"	"2012"	"2012"	"Suicide"	"2"	11	74012	Unreliable
	"Allegany County, MD"	"24001"	"2013"	"2013"	"Unintentional"	"1"	24	73521	32.6
	"Allegany County, MD"	"24001"	"2013"	"2013"	"Undetermined "	"4"	10	73521	Unreliable
	"Allegany County, MD"	"24001"	"2014"	"2014"	"Unintentional"	"1"	27	72952	37.0
	"Allegany County, MD"	"24001"	"2015"	"2015"	"Unintentional"	"1"	27	72528	37.2
	"Allegany County, MD"	"24001"	"2015"	"2015"	"Suicide"	"2"	13	72528	Unreliable
	"Allegany County, MD"	"24001"	"2015"	"2015"	"Undetermined "	"4"	13	72528	Unreliable
	"Allegany County, MD"	"24001"	"2016"	"2016"	"Unintentional"	"1"	42	72130	58.2
	"Allegany County, MD"	"24001"	"2016"	"2016"	"Suicide"	"2"	12	72130	Unreliable
	"Allegany County, MD"	"24001"	"2016"	"2016"	"Undetermined "	"4"	37	72130	51.3
	"Allegany County, MD"	"24001"	"2017"	"2017"	"Unintentional"	"1"	41	71615	57.3
	"Allegany County, MD"	"24001"	"2017"	"2017"	"Suicide"	"2"	15	71615	Unreliable
	"Allegany County, MD"	"24001"	"2017"	"2017"	"Undetermined "	"4"	27	71615	37.7
	"Allegany County, MD"	"24001"	"2018"	"2018"	"Unintentional"	"1"	34	70975	47.9
	"Allegany County, MD"	"24001"	"2018"	"2018"	"Suicide"	"2"	18	70975	Unreliable
	"Allegany County, MD"	"24001"	"2018"	"2018"	"Undetermined "	"4"	22	70975	31.0
	"Anne Arundel County, MD"	"24003"	"1999"	"1999"	"Unintentional"	"1"	101	484800	20.8
	"Anne Arundel County, MD"	"24003"	"1999"	"1999"	"Suicide"	"2"	38	484800	7.8
	"Anne Arundel County, MD"	"24003"	"1999"	"1999"	"Homicide"	"3"	10	484800	Unreliable
	"Anne Arundel County, MD"	"24003"	"1999"	"1999"	"Undetermined "	"4"	34	484800	7.0
	"Anne Arundel County, MD"	"24003"	"2000"	"2000"	"Unintentional"	"1"	86	489656	17.6
	"Anne Arundel County, MD"	"24003"	"2000"	"2000"	"Suicide"	"2"	57	489656	11.6
	"Anne Arundel County, MD"	"24003"	"2000"	"2000"	"Homicide"	"3"	16	489656	Unreliable
	"Anne Arundel County, MD"	"24003"	"2000"	"2000"	"Undetermined "	"4"	39	489656	8.0
	"Anne Arundel County, MD"	"24003"	"2001"	"2001"	"Unintentional"	"1"	110	498559	22.1
	"Anne Arundel County, MD"	"24003"	"2001"	"2001"	"Suicide"	"2"	47	498559	9.4
	"Anne Arundel County, MD"	"24003"	"2001"	"2001"	"Homicide"	"3"	25	498559	5.0
	"Anne Arundel County, MD"	"24003"	"2001"	"2001"	"Undetermined "	"4"	43	498559	8.6
	"Anne Arundel County, MD"	"24003"	"2002"	"2002"	"Unintentional"	"1"	107	504884	21.2
	"Anne Arundel County, MD"	"24003"	"2002"	"2002"	"Suicide"	"2"	44	504884	8.7
	"Anne Arundel County, MD"	"24003"	"2002"	"2002"	"Homicide"	"3"	24	504884	4.8
	"Anne Arundel County, MD"	"24003"	"2002"	"2002"	"Undetermined "	"4"	56	504884	11.1
	"Anne Arundel County, MD"	"24003"	"2003"	"2003"	"Unintentional"	"1"	117	507769	23.0
	"Anne Arundel County, MD"	"24003"	"2003"	"2003"	"Suicide"	"2"	49	507769	9.7
	"Anne Arundel County, MD"	"24003"	"2003"	"2003"	"Homicide"	"3"	23	507769	4.5
	"Anne Arundel County, MD"	"24003"	"2003"	"2003"	"Undetermined "	"4"	46	507769	9.1
	"Anne Arundel County, MD"	"24003"	"2004"	"2004"	"Unintentional"	"1"	115	513259	22.4
	"Anne Arundel County, MD"	"24003"	"2004"	"2004"	"Suicide"	"2"	47	513259	9.2
	"Anne Arundel County, MD"	"24003"	"2004"	"2004"	"Homicide"	"3"	22	513259	4.3
	"Anne Arundel County, MD"	"24003"	"2004"	"2004"	"Undetermined "	"4"	57	513259	11.1
	"Anne Arundel County, MD"	"24003"	"2005"	"2005"	"Unintentional"	"1"	117	516171	22.7
	"Anne Arundel County, MD"	"24003"	"2005"	"2005"	"Suicide"	"2"	51	516171	9.9
	"Anne Arundel County, MD"	"24003"	"2005"	"2005"	"Homicide"	"3"	26	516171	5.0
	"Anne Arundel County, MD"	"24003"	"2005"	"2005"	"Undetermined "	"4"	61	516171	11.8
	"Anne Arundel County, MD"	"24003"	"2006"	"2006"	"Unintentional"	"1"	111	517698	21.4
	"Anne Arundel County, MD"	"24003"	"2006"	"2006"	"Suicide"	"2"	58	517698	11.2
	"Anne Arundel County, MD"	"24003"	"2006"	"2006"	"Homicide"	"3"	29	517698	5.6
	"Anne Arundel County, MD"	"24003"	"2006"	"2006"	"Undetermined "	"4"	65	517698	12.6
	"Anne Arundel County, MD"	"24003"	"2007"	"2007"	"Unintentional"	"1"	126	520503	24.2
	"Anne Arundel County, MD"	"24003"	"2007"	"2007"	"Suicide"	"2"	55	520503	10.6
	"Anne Arundel County, MD"	"24003"	"2007"	"2007"	"Homicide"	"3"	22	520503	4.2
	"Anne Arundel County, MD"	"24003"	"2007"	"2007"	"Undetermined "	"4"	76	520503	14.6
	"Anne Arundel County, MD"	"24003"	"2008"	"2008"	"Unintentional"	"1"	135	525304	25.7
	"Anne Arundel County, MD"	"24003"	"2008"	"2008"	"Suicide"	"2"	48	525304	9.1
	"Anne Arundel County, MD"	"24003"	"2008"	"2008"	"Homicide"	"3"	22	525304	4.2
	"Anne Arundel County, MD"	"24003"	"2008"	"2008"	"Undetermined "	"4"	73	525304	13.9
	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	"Unintentional"	"1"	115	532395	21.6
	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	"Suicide"	"2"	55	532395	10.3
	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	"Homicide"	"3"	18	532395	Unreliable
	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	"Undetermined "	"4"	67	532395	12.6
	"Anne Arundel County, MD"	"24003"	"2010"	"2010"	"Unintentional"	"1"	98	537656	18.2
	"Anne Arundel County, MD"	"24003"	"2010"	"2010"	"Suicide"	"2"	61	537656	11.3
	"Anne Arundel County, MD"	"24003"	"2010"	"2010"	"Homicide"	"3"	15	537656	Unreliable
	"Anne Arundel County, MD"	"24003"	"2010"	"2010"	"Undetermined "	"4"	55	537656	10.2
	"Anne Arundel County, MD"	"24003"	"2011"	"2011"	"Unintentional"	"1"	133	544403	24.4
	"Anne Arundel County, MD"	"24003"	"2011"	"2011"	"Suicide"	"2"	58	544403	10.7
	"Anne Arundel County, MD"	"24003"	"2011"	"2011"	"Homicide"	"3"	22	544403	4.0
	"Anne Arundel County, MD"	"24003"	"2011"	"2011"	"Undetermined "	"4"	74	544403	13.6
	"Anne Arundel County, MD"	"24003"	"2012"	"2012"	"Unintentional"	"1"	145	550488	26.3
	"Anne Arundel County, MD"	"24003"	"2012"	"2012"	"Suicide"	"2"	64	550488	11.6
	"Anne Arundel County, MD"	"24003"	"2012"	"2012"	"Homicide"	"3"	12	550488	Unreliable
	"Anne Arundel County, MD"	"24003"	"2012"	"2012"	"Undetermined "	"4"	65	550488	11.8
	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Unintentional"	"1"	140	555743	25.2
	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Suicide"	"2"	69	555743	12.4
	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Homicide"	"3"	15	555743	Unreliable
	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	"Undetermined "	"4"	62	555743	11.2
	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	"Unintentional"	"1"	166	560133	29.6
