"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Barnstable County, MA"	"25001"	"1999"	"1999"	"Unintentional"	"1"	75	218960	34.3
	"Barnstable County, MA"	"25001"	"1999"	"1999"	"Suicide"	"2"	14	218960	Unreliable
	"Barnstable County, MA"	"25001"	"2000"	"2000"	"Unintentional"	"1"	63	222230	28.3
	"Barnstable County, MA"	"25001"	"2000"	"2000"	"Suicide"	"2"	14	222230	Unreliable
	"Barnstable County, MA"	"25001"	"2000"	"2000"	"Undetermined "	"4"	13	222230	Unreliable
	"Barnstable County, MA"	"25001"	"2001"	"2001"	"Unintentional"	"1"	78	224087	34.8
	"Barnstable County, MA"	"25001"	"2001"	"2001"	"Suicide"	"2"	18	224087	Unreliable
	"Barnstable County, MA"	"25001"	"2001"	"2001"	"Undetermined "	"4"	23	224087	10.3
	"Barnstable County, MA"	"25001"	"2002"	"2002"	"Unintentional"	"1"	78	225421	34.6
	"Barnstable County, MA"	"25001"	"2002"	"2002"	"Suicide"	"2"	22	225421	9.8
	"Barnstable County, MA"	"25001"	"2002"	"2002"	"Undetermined "	"4"	25	225421	11.1
	"Barnstable County, MA"	"25001"	"2003"	"2003"	"Unintentional"	"1"	58	226011	25.7
	"Barnstable County, MA"	"25001"	"2003"	"2003"	"Suicide"	"2"	17	226011	Unreliable
	"Barnstable County, MA"	"25001"	"2003"	"2003"	"Undetermined "	"4"	25	226011	11.1
	"Barnstable County, MA"	"25001"	"2004"	"2004"	"Unintentional"	"1"	70	224264	31.2
	"Barnstable County, MA"	"25001"	"2004"	"2004"	"Suicide"	"2"	29	224264	12.9
	"Barnstable County, MA"	"25001"	"2004"	"2004"	"Undetermined "	"4"	24	224264	10.7
	"Barnstable County, MA"	"25001"	"2005"	"2005"	"Unintentional"	"1"	97	221995	43.7
	"Barnstable County, MA"	"25001"	"2005"	"2005"	"Suicide"	"2"	19	221995	Unreliable
