"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alcona County, MI"	"26001"	"2010"	"2010"	"Unintentional"	"1"	12	10942	Unreliable
	"Alcona County, MI"	"26001"	"2017"	"2017"	"Unintentional"	"1"	13	10351	Unreliable
	"Alger County, MI"	"26003"	"2015"	"2015"	"Unintentional"	"1"	11	9383	Unreliable
	"Allegan County, MI"	"26005"	"1999"	"1999"	"Unintentional"	"1"	38	104476	36.4
	"Allegan County, MI"	"26005"	"2000"	"2000"	"Unintentional"	"1"	37	105665	35.0
	"Allegan County, MI"	"26005"	"2001"	"2001"	"Unintentional"	"1"	42	107367	39.1
	"Allegan County, MI"	"26005"	"2001"	"2001"	"Suicide"	"2"	12	107367	Unreliable
	"Allegan County, MI"	"26005"	"2002"	"2002"	"Unintentional"	"1"	48	108203	44.4
	"Allegan County, MI"	"26005"	"2002"	"2002"	"Suicide"	"2"	18	108203	Unreliable
	"Allegan County, MI"	"26005"	"2003"	"2003"	"Unintentional"	"1"	40	109192	36.6
	"Allegan County, MI"	"26005"	"2004"	"2004"	"Unintentional"	"1"	52	110225	47.2
	"Allegan County, MI"	"26005"	"2004"	"2004"	"Suicide"	"2"	10	110225	Unreliable
	"Allegan County, MI"	"26005"	"2005"	"2005"	"Unintentional"	"1"	47	110865	42.4
	"Allegan County, MI"	"26005"	"2005"	"2005"	"Suicide"	"2"	16	110865	Unreliable
	"Allegan County, MI"	"26005"	"2006"	"2006"	"Unintentional"	"1"	43	111156	38.7
	"Allegan County, MI"	"26005"	"2006"	"2006"	"Suicide"	"2"	10	111156	Unreliable
	"Allegan County, MI"	"26005"	"2007"	"2007"	"Unintentional"	"1"	65	111427	58.3
	"Allegan County, MI"	"26005"	"2007"	"2007"	"Suicide"	"2"	15	111427	Unreliable
	"Allegan County, MI"	"26005"	"2008"	"2008"	"Unintentional"	"1"	48	111589	43.0
	"Allegan County, MI"	"26005"	"2008"	"2008"	"Suicide"	"2"	14	111589	Unreliable
	"Allegan County, MI"	"26005"	"2009"	"2009"	"Unintentional"	"1"	48	111252	43.1
	"Allegan County, MI"	"26005"	"2010"	"2010"	"Unintentional"	"1"	45	111408	40.4
	"Allegan County, MI"	"26005"	"2010"	"2010"	"Suicide"	"2"	17	111408	Unreliable
	"Allegan County, MI"	"26005"	"2011"	"2011"	"Unintentional"	"1"	41	111234	36.9
	"Allegan County, MI"	"26005"	"2011"	"2011"	"Suicide"	"2"	14	111234	Unreliable
	"Allegan County, MI"	"26005"	"2012"	"2012"	"Unintentional"	"1"	41	112039	36.6
	"Allegan County, MI"	"26005"	"2012"	"2012"	"Suicide"	"2"	16	112039	Unreliable
	"Allegan County, MI"	"26005"	"2013"	"2013"	"Unintentional"	"1"	41	112531	36.4
	"Allegan County, MI"	"26005"	"2014"	"2014"	"Unintentional"	"1"	51	113847	44.8
	"Allegan County, MI"	"26005"	"2014"	"2014"	"Suicide"	"2"	16	113847	Unreliable
