"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"Unintentional"	"1"	17	15616	Unreliable
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"Unintentional"	"1"	12	15795	Unreliable
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"Unintentional"	"1"	10	16028	Unreliable
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"Unintentional"	"1"	11	16481	Unreliable
	"Aitkin County, MN"	"27001"	"2008"	"2008"	"Unintentional"	"1"	13	16422	Unreliable
	"Aitkin County, MN"	"27001"	"2009"	"2009"	"Unintentional"	"1"	12	16168	Unreliable
	"Aitkin County, MN"	"27001"	"2010"	"2010"	"Unintentional"	"1"	11	16202	Unreliable
	"Aitkin County, MN"	"27001"	"2011"	"2011"	"Unintentional"	"1"	14	16220	Unreliable
	"Aitkin County, MN"	"27001"	"2012"	"2012"	"Unintentional"	"1"	13	15927	Unreliable
	"Aitkin County, MN"	"27001"	"2013"	"2013"	"Unintentional"	"1"	15	15742	Unreliable
	"Aitkin County, MN"	"27001"	"2014"	"2014"	"Unintentional"	"1"	14	15771	Unreliable
	"Aitkin County, MN"	"27001"	"2015"	"2015"	"Unintentional"	"1"	11	15702	Unreliable
	"Aitkin County, MN"	"27001"	"2016"	"2016"	"Unintentional"	"1"	18	15583	Unreliable
	"Aitkin County, MN"	"27001"	"2017"	"2017"	"Unintentional"	"1"	19	15829	Unreliable
	"Aitkin County, MN"	"27001"	"2018"	"2018"	"Unintentional"	"1"	12	15902	Unreliable
	"Anoka County, MN"	"27003"	"1999"	"1999"	"Unintentional"	"1"	65	293599	22.1
	"Anoka County, MN"	"27003"	"1999"	"1999"	"Suicide"	"2"	24	293599	8.2
	"Anoka County, MN"	"27003"	"2000"	"2000"	"Unintentional"	"1"	72	298084	24.2
	"Anoka County, MN"	"27003"	"2000"	"2000"	"Suicide"	"2"	21	298084	7.0
	"Anoka County, MN"	"27003"	"2001"	"2001"	"Unintentional"	"1"	84	304823	27.6
	"Anoka County, MN"	"27003"	"2001"	"2001"	"Suicide"	"2"	28	304823	9.2
