"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, MS"	"28001"	"1999"	"1999"	"Unintentional"	"1"	24	34591	69.4
	"Adams County, MS"	"28001"	"2000"	"2000"	"Unintentional"	"1"	16	34340	Unreliable
	"Adams County, MS"	"28001"	"2001"	"2001"	"Unintentional"	"1"	18	33945	Unreliable
	"Adams County, MS"	"28001"	"2002"	"2002"	"Unintentional"	"1"	20	33730	59.3
	"Adams County, MS"	"28001"	"2003"	"2003"	"Unintentional"	"1"	23	33482	68.7
	"Adams County, MS"	"28001"	"2004"	"2004"	"Unintentional"	"1"	17	32785	Unreliable
	"Adams County, MS"	"28001"	"2005"	"2005"	"Unintentional"	"1"	14	32674	Unreliable
	"Adams County, MS"	"28001"	"2006"	"2006"	"Unintentional"	"1"	22	33220	66.2
	"Adams County, MS"	"28001"	"2007"	"2007"	"Unintentional"	"1"	22	32889	66.9
	"Adams County, MS"	"28001"	"2008"	"2008"	"Unintentional"	"1"	18	32629	Unreliable
	"Adams County, MS"	"28001"	"2009"	"2009"	"Unintentional"	"1"	18	32305	Unreliable
	"Adams County, MS"	"28001"	"2010"	"2010"	"Unintentional"	"1"	15	32297	Unreliable
	"Adams County, MS"	"28001"	"2011"	"2011"	"Unintentional"	"1"	18	32067	Unreliable
	"Adams County, MS"	"28001"	"2011"	"2011"	"Suicide"	"2"	11	32067	Unreliable
	"Adams County, MS"	"28001"	"2013"	"2013"	"Unintentional"	"1"	15	32090	Unreliable
	"Adams County, MS"	"28001"	"2014"	"2014"	"Unintentional"	"1"	20	31737	63.0
	"Adams County, MS"	"28001"	"2015"	"2015"	"Unintentional"	"1"	28	31254	89.6
	"Adams County, MS"	"28001"	"2016"	"2016"	"Unintentional"	"1"	24	31248	76.8
	"Adams County, MS"	"28001"	"2017"	"2017"	"Unintentional"	"1"	22	31003	71.0
	"Adams County, MS"	"28001"	"2018"	"2018"	"Unintentional"	"1"	29	31192	93.0
	"Adams County, MS"	"28001"	"2018"	"2018"	"Homicide"	"3"	13	31192	Unreliable
	"Alcorn County, MS"	"28003"	"1999"	"1999"	"Unintentional"	"1"	21	34320	61.2
	"Alcorn County, MS"	"28003"	"2000"	"2000"	"Unintentional"	"1"	30	34558	86.8
	"Alcorn County, MS"	"28003"	"2001"	"2001"	"Unintentional"	"1"	24	34746	69.1
	"Alcorn County, MS"	"28003"	"2002"	"2002"	"Unintentional"	"1"	22	34946	63.0
	"Alcorn County, MS"	"28003"	"2003"	"2003"	"Unintentional"	"1"	20	35045	57.1
	"Alcorn County, MS"	"28003"	"2004"	"2004"	"Unintentional"	"1"	22	35448	62.1
