"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adair County, MO"	"29001"	"2002"	"2002"	"Unintentional"	"1"	12	25072	Unreliable
	"Adair County, MO"	"29001"	"2005"	"2005"	"Unintentional"	"1"	15	24849	Unreliable
	"Adair County, MO"	"29001"	"2006"	"2006"	"Unintentional"	"1"	11	25007	Unreliable
	"Adair County, MO"	"29001"	"2007"	"2007"	"Unintentional"	"1"	11	24983	Unreliable
	"Adair County, MO"	"29001"	"2008"	"2008"	"Unintentional"	"1"	11	25399	Unreliable
	"Adair County, MO"	"29001"	"2009"	"2009"	"Unintentional"	"1"	14	25577	Unreliable
	"Adair County, MO"	"29001"	"2011"	"2011"	"Unintentional"	"1"	11	25552	Unreliable
	"Adair County, MO"	"29001"	"2012"	"2012"	"Unintentional"	"1"	11	25581	Unreliable
	"Adair County, MO"	"29001"	"2013"	"2013"	"Unintentional"	"1"	10	25572	Unreliable
	"Adair County, MO"	"29001"	"2014"	"2014"	"Unintentional"	"1"	12	25602	Unreliable
	"Adair County, MO"	"29001"	"2015"	"2015"	"Unintentional"	"1"	10	25378	Unreliable
	"Adair County, MO"	"29001"	"2016"	"2016"	"Unintentional"	"1"	12	25359	Unreliable
	"Adair County, MO"	"29001"	"2017"	"2017"	"Unintentional"	"1"	17	25377	Unreliable
	"Andrew County, MO"	"29003"	"1999"	"1999"	"Unintentional"	"1"	13	16308	Unreliable
	"Andrew County, MO"	"29003"	"2004"	"2004"	"Unintentional"	"1"	12	16580	Unreliable
	"Andrew County, MO"	"29003"	"2006"	"2006"	"Unintentional"	"1"	10	16861	Unreliable
	"Andrew County, MO"	"29003"	"2007"	"2007"	"Unintentional"	"1"	10	16834	Unreliable
	"Andrew County, MO"	"29003"	"2016"	"2016"	"Unintentional"	"1"	13	17350	Unreliable
	"Audrain County, MO"	"29007"	"2001"	"2001"	"Unintentional"	"1"	17	25784	Unreliable
	"Audrain County, MO"	"29007"	"2003"	"2003"	"Unintentional"	"1"	24	25728	93.3
	"Audrain County, MO"	"29007"	"2005"	"2005"	"Unintentional"	"1"	18	25725	Unreliable
	"Audrain County, MO"	"29007"	"2006"	"2006"	"Unintentional"	"1"	11	25869	Unreliable
	"Audrain County, MO"	"29007"	"2007"	"2007"	"Unintentional"	"1"	13	25658	Unreliable
	"Audrain County, MO"	"29007"	"2008"	"2008"	"Unintentional"	"1"	16	25774	Unreliable
	"Audrain County, MO"	"29007"	"2009"	"2009"	"Unintentional"	"1"	13	25628	Unreliable
	"Audrain County, MO"	"29007"	"2010"	"2010"	"Unintentional"	"1"	12	25529	Unreliable
	"Audrain County, MO"	"29007"	"2011"	"2011"	"Unintentional"	"1"	10	25566	Unreliable
	"Audrain County, MO"	"29007"	"2012"	"2012"	"Unintentional"	"1"	15	25621	Unreliable
	"Audrain County, MO"	"29007"	"2013"	"2013"	"Unintentional"	"1"	12	25661	Unreliable
	"Audrain County, MO"	"29007"	"2015"	"2015"	"Unintentional"	"1"	11	26096	Unreliable
	"Audrain County, MO"	"29007"	"2016"	"2016"	"Unintentional"	"1"	14	26021	Unreliable
	"Audrain County, MO"	"29007"	"2017"	"2017"	"Unintentional"	"1"	10	25641	Unreliable
	"Audrain County, MO"	"29007"	"2018"	"2018"	"Unintentional"	"1"	11	25473	Unreliable
	"Barry County, MO"	"29009"	"1999"	"1999"	"Unintentional"	"1"	17	33769	Unreliable
	"Barry County, MO"	"29009"	"2000"	"2000"	"Unintentional"	"1"	21	34010	61.7
	"Barry County, MO"	"29009"	"2001"	"2001"	"Unintentional"	"1"	15	33981	Unreliable
	"Barry County, MO"	"29009"	"2002"	"2002"	"Unintentional"	"1"	26	34111	76.2
