"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Beaverhead County, MT"	"30001"	"2010"	"2010"	"Unintentional"	"1"	10	9246	Unreliable
	"Big Horn County, MT"	"30003"	"1999"	"1999"	"Unintentional"	"1"	19	12653	Unreliable
	"Big Horn County, MT"	"30003"	"2000"	"2000"	"Unintentional"	"1"	19	12671	Unreliable
	"Big Horn County, MT"	"30003"	"2001"	"2001"	"Unintentional"	"1"	12	12783	Unreliable
	"Big Horn County, MT"	"30003"	"2002"	"2002"	"Unintentional"	"1"	14	12713	Unreliable
	"Big Horn County, MT"	"30003"	"2003"	"2003"	"Unintentional"	"1"	10	12652	Unreliable
	"Big Horn County, MT"	"30003"	"2004"	"2004"	"Unintentional"	"1"	12	12731	Unreliable
	"Big Horn County, MT"	"30003"	"2005"	"2005"	"Unintentional"	"1"	11	12634	Unreliable
	"Big Horn County, MT"	"30003"	"2006"	"2006"	"Unintentional"	"1"	19	12540	Unreliable
	"Big Horn County, MT"	"30003"	"2007"	"2007"	"Unintentional"	"1"	18	12549	Unreliable
	"Big Horn County, MT"	"30003"	"2008"	"2008"	"Unintentional"	"1"	12	12564	Unreliable
	"Big Horn County, MT"	"30003"	"2009"	"2009"	"Unintentional"	"1"	13	12747	Unreliable
	"Big Horn County, MT"	"30003"	"2010"	"2010"	"Unintentional"	"1"	11	12865	Unreliable
	"Big Horn County, MT"	"30003"	"2011"	"2011"	"Unintentional"	"1"	17	13093	Unreliable
	"Big Horn County, MT"	"30003"	"2012"	"2012"	"Unintentional"	"1"	16	13061	Unreliable
	"Big Horn County, MT"	"30003"	"2014"	"2014"	"Unintentional"	"1"	21	13282	158.1
	"Big Horn County, MT"	"30003"	"2015"	"2015"	"Unintentional"	"1"	19	13242	Unreliable
	"Big Horn County, MT"	"30003"	"2016"	"2016"	"Unintentional"	"1"	17	13343	Unreliable
	"Big Horn County, MT"	"30003"	"2017"	"2017"	"Unintentional"	"1"	11	13360	Unreliable
	"Big Horn County, MT"	"30003"	"2018"	"2018"	"Unintentional"	"1"	17	13338	Unreliable
	"Blaine County, MT"	"30005"	"2000"	"2000"	"Unintentional"	"1"	11	7009	Unreliable
	"Carbon County, MT"	"30009"	"1999"	"1999"	"Unintentional"	"1"	12	9495	Unreliable
	"Carbon County, MT"	"30009"	"2009"	"2009"	"Unintentional"	"1"	12	10033	Unreliable
	"Carbon County, MT"	"30009"	"2010"	"2010"	"Unintentional"	"1"	11	10078	Unreliable
	"Carbon County, MT"	"30009"	"2011"	"2011"	"Unintentional"	"1"	10	10028	Unreliable
	"Carbon County, MT"	"30009"	"2018"	"2018"	"Unintentional"	"1"	10	10714	Unreliable
	"Cascade County, MT"	"30013"	"1999"	"1999"	"Unintentional"	"1"	36	80596	44.7
	"Cascade County, MT"	"30013"	"1999"	"1999"	"Suicide"	"2"	18	80596	Unreliable
	"Cascade County, MT"	"30013"	"2000"	"2000"	"Unintentional"	"1"	48	80357	59.7
	"Cascade County, MT"	"30013"	"2000"	"2000"	"Suicide"	"2"	20	80357	24.9
	"Cascade County, MT"	"30013"	"2001"	"2001"	"Unintentional"	"1"	48	80055	60.0
	"Cascade County, MT"	"30013"	"2001"	"2001"	"Suicide"	"2"	16	80055	Unreliable
	"Cascade County, MT"	"30013"	"2002"	"2002"	"Unintentional"	"1"	30	79848	37.6
	"Cascade County, MT"	"30013"	"2002"	"2002"	"Suicide"	"2"	21	79848	26.3
	"Cascade County, MT"	"30013"	"2003"	"2003"	"Unintentional"	"1"	35	79633	44.0
	"Cascade County, MT"	"30013"	"2003"	"2003"	"Suicide"	"2"	17	79633	Unreliable
	"Cascade County, MT"	"30013"	"2004"	"2004"	"Unintentional"	"1"	36	80198	44.9
	"Cascade County, MT"	"30013"	"2004"	"2004"	"Suicide"	"2"	13	80198	Unreliable
	"Cascade County, MT"	"30013"	"2005"	"2005"	"Unintentional"	"1"	48	80041	60.0
	"Cascade County, MT"	"30013"	"2005"	"2005"	"Suicide"	"2"	18	80041	Unreliable
	"Cascade County, MT"	"30013"	"2006"	"2006"	"Unintentional"	"1"	36	79984	45.0
	"Cascade County, MT"	"30013"	"2006"	"2006"	"Suicide"	"2"	17	79984	Unreliable
	"Cascade County, MT"	"30013"	"2007"	"2007"	"Unintentional"	"1"	40	80099	49.9
	"Cascade County, MT"	"30013"	"2007"	"2007"	"Suicide"	"2"	10	80099	Unreliable
	"Cascade County, MT"	"30013"	"2008"	"2008"	"Unintentional"	"1"	39	80529	48.4
	"Cascade County, MT"	"30013"	"2008"	"2008"	"Suicide"	"2"	14	80529	Unreliable
	"Cascade County, MT"	"30013"	"2009"	"2009"	"Unintentional"	"1"	39	80680	48.3
	"Cascade County, MT"	"30013"	"2009"	"2009"	"Suicide"	"2"	20	80680	24.8
	"Cascade County, MT"	"30013"	"2010"	"2010"	"Unintentional"	"1"	51	81327	62.7
	"Cascade County, MT"	"30013"	"2010"	"2010"	"Suicide"	"2"	22	81327	27.1
	"Cascade County, MT"	"30013"	"2011"	"2011"	"Unintentional"	"1"	48	81837	58.7
	"Cascade County, MT"	"30013"	"2011"	"2011"	"Suicide"	"2"	18	81837	Unreliable
	"Cascade County, MT"	"30013"	"2012"	"2012"	"Unintentional"	"1"	48	81723	58.7
	"Cascade County, MT"	"30013"	"2012"	"2012"	"Suicide"	"2"	24	81723	29.4
	"Cascade County, MT"	"30013"	"2013"	"2013"	"Unintentional"	"1"	67	82384	81.3
	"Cascade County, MT"	"30013"	"2013"	"2013"	"Suicide"	"2"	21	82384	25.5
	"Cascade County, MT"	"30013"	"2014"	"2014"	"Unintentional"	"1"	54	82344	65.6
	"Cascade County, MT"	"30013"	"2015"	"2015"	"Unintentional"	"1"	54	82278	65.6
	"Cascade County, MT"	"30013"	"2015"	"2015"	"Suicide"	"2"	21	82278	25.5
	"Cascade County, MT"	"30013"	"2016"	"2016"	"Unintentional"	"1"	39	81755	47.7
	"Cascade County, MT"	"30013"	"2016"	"2016"	"Suicide"	"2"	18	81755	Unreliable
	"Cascade County, MT"	"30013"	"2017"	"2017"	"Unintentional"	"1"	52	81654	63.7
	"Cascade County, MT"	"30013"	"2017"	"2017"	"Suicide"	"2"	29	81654	35.5
