"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, NE"	"31001"	"2001"	"2001"	"Unintentional"	"1"	13	31021	Unreliable
	"Adams County, NE"	"31001"	"2002"	"2002"	"Unintentional"	"1"	12	30716	Unreliable
	"Adams County, NE"	"31001"	"2003"	"2003"	"Unintentional"	"1"	10	30693	Unreliable
	"Adams County, NE"	"31001"	"2004"	"2004"	"Unintentional"	"1"	14	30740	Unreliable
	"Adams County, NE"	"31001"	"2005"	"2005"	"Unintentional"	"1"	11	30987	Unreliable
	"Adams County, NE"	"31001"	"2006"	"2006"	"Unintentional"	"1"	14	30910	Unreliable
	"Adams County, NE"	"31001"	"2008"	"2008"	"Unintentional"	"1"	12	31160	Unreliable
	"Adams County, NE"	"31001"	"2009"	"2009"	"Unintentional"	"1"	13	31280	Unreliable
	"Adams County, NE"	"31001"	"2010"	"2010"	"Unintentional"	"1"	16	31364	Unreliable
	"Adams County, NE"	"31001"	"2011"	"2011"	"Unintentional"	"1"	12	31216	Unreliable
	"Adams County, NE"	"31001"	"2012"	"2012"	"Unintentional"	"1"	19	31459	Unreliable
	"Adams County, NE"	"31001"	"2014"	"2014"	"Unintentional"	"1"	13	31457	Unreliable
	"Adams County, NE"	"31001"	"2015"	"2015"	"Unintentional"	"1"	17	31587	Unreliable
	"Adams County, NE"	"31001"	"2015"	"2015"	"Suicide"	"2"	10	31587	Unreliable
	"Adams County, NE"	"31001"	"2016"	"2016"	"Unintentional"	"1"	16	31684	Unreliable
	"Adams County, NE"	"31001"	"2017"	"2017"	"Unintentional"	"1"	12	31678	Unreliable
	"Adams County, NE"	"31001"	"2018"	"2018"	"Unintentional"	"1"	19	31511	Unreliable
	"Box Butte County, NE"	"31013"	"2014"	"2014"	"Unintentional"	"1"	12	11340	Unreliable
	"Brown County, NE"	"31017"	"2009"	"2009"	"Unintentional"	"1"	10	3115	Unreliable
	"Buffalo County, NE"	"31019"	"1999"	"1999"	"Unintentional"	"1"	14	41904	Unreliable
	"Buffalo County, NE"	"31019"	"2000"	"2000"	"Unintentional"	"1"	19	42259	Unreliable
	"Buffalo County, NE"	"31019"	"2001"	"2001"	"Unintentional"	"1"	11	42418	Unreliable
	"Buffalo County, NE"	"31019"	"2002"	"2002"	"Unintentional"	"1"	21	42949	48.9
	"Buffalo County, NE"	"31019"	"2003"	"2003"	"Unintentional"	"1"	17	43251	Unreliable
	"Buffalo County, NE"	"31019"	"2004"	"2004"	"Unintentional"	"1"	18	43753	Unreliable
	"Buffalo County, NE"	"31019"	"2005"	"2005"	"Unintentional"	"1"	21	44131	47.6
	"Buffalo County, NE"	"31019"	"2006"	"2006"	"Unintentional"	"1"	16	44645	Unreliable
	"Buffalo County, NE"	"31019"	"2007"	"2007"	"Unintentional"	"1"	22	45060	48.8
	"Buffalo County, NE"	"31019"	"2008"	"2008"	"Unintentional"	"1"	17	45343	Unreliable
	"Buffalo County, NE"	"31019"	"2009"	"2009"	"Unintentional"	"1"	16	45970	Unreliable
	"Buffalo County, NE"	"31019"	"2010"	"2010"	"Unintentional"	"1"	17	46102	Unreliable
	"Buffalo County, NE"	"31019"	"2011"	"2011"	"Unintentional"	"1"	15	46690	Unreliable
	"Buffalo County, NE"	"31019"	"2012"	"2012"	"Unintentional"	"1"	17	47463	Unreliable
	"Buffalo County, NE"	"31019"	"2013"	"2013"	"Unintentional"	"1"	28	47893	58.5
	"Buffalo County, NE"	"31019"	"2014"	"2014"	"Unintentional"	"1"	18	48224	Unreliable
