"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Churchill County, NV"	"32001"	"2000"	"2000"	"Unintentional"	"1"	17	23982	Unreliable
	"Churchill County, NV"	"32001"	"2001"	"2001"	"Unintentional"	"1"	14	24342	Unreliable
	"Churchill County, NV"	"32001"	"2002"	"2002"	"Unintentional"	"1"	12	24155	Unreliable
	"Churchill County, NV"	"32001"	"2003"	"2003"	"Unintentional"	"1"	13	24026	Unreliable
	"Churchill County, NV"	"32001"	"2004"	"2004"	"Suicide"	"2"	10	24226	Unreliable
	"Churchill County, NV"	"32001"	"2005"	"2005"	"Unintentional"	"1"	10	24593	Unreliable
	"Churchill County, NV"	"32001"	"2006"	"2006"	"Unintentional"	"1"	17	24842	Unreliable
	"Churchill County, NV"	"32001"	"2006"	"2006"	"Suicide"	"2"	10	24842	Unreliable
	"Churchill County, NV"	"32001"	"2007"	"2007"	"Unintentional"	"1"	18	24961	Unreliable
	"Churchill County, NV"	"32001"	"2008"	"2008"	"Unintentional"	"1"	23	25049	91.8
	"Churchill County, NV"	"32001"	"2009"	"2009"	"Unintentional"	"1"	20	25067	79.8
	"Churchill County, NV"	"32001"	"2010"	"2010"	"Unintentional"	"1"	22	24877	88.4
	"Churchill County, NV"	"32001"	"2011"	"2011"	"Unintentional"	"1"	11	24637	Unreliable
	"Churchill County, NV"	"32001"	"2012"	"2012"	"Unintentional"	"1"	15	24375	Unreliable
	"Churchill County, NV"	"32001"	"2013"	"2013"	"Unintentional"	"1"	11	24063	Unreliable
	"Churchill County, NV"	"32001"	"2014"	"2014"	"Unintentional"	"1"	15	23989	Unreliable
	"Churchill County, NV"	"32001"	"2015"	"2015"	"Unintentional"	"1"	13	24200	Unreliable
	"Churchill County, NV"	"32001"	"2016"	"2016"	"Unintentional"	"1"	15	24198	Unreliable
	"Churchill County, NV"	"32001"	"2017"	"2017"	"Unintentional"	"1"	16	24230	Unreliable
