"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Belknap County, NH"	"33001"	"1999"	"1999"	"Unintentional"	"1"	10	55517	Unreliable
	"Belknap County, NH"	"33001"	"2000"	"2000"	"Unintentional"	"1"	13	56325	Unreliable
	"Belknap County, NH"	"33001"	"2001"	"2001"	"Unintentional"	"1"	29	57597	50.3
	"Belknap County, NH"	"33001"	"2001"	"2001"	"Suicide"	"2"	10	57597	Unreliable
	"Belknap County, NH"	"33001"	"2002"	"2002"	"Unintentional"	"1"	16	58609	Unreliable
	"Belknap County, NH"	"33001"	"2003"	"2003"	"Unintentional"	"1"	28	59497	47.1
	"Belknap County, NH"	"33001"	"2004"	"2004"	"Unintentional"	"1"	21	60170	34.9
	"Belknap County, NH"	"33001"	"2004"	"2004"	"Suicide"	"2"	10	60170	Unreliable
	"Belknap County, NH"	"33001"	"2005"	"2005"	"Unintentional"	"1"	27	60287	44.8
	"Belknap County, NH"	"33001"	"2006"	"2006"	"Unintentional"	"1"	26	60105	43.3
	"Belknap County, NH"	"33001"	"2006"	"2006"	"Suicide"	"2"	15	60105	Unreliable
	"Belknap County, NH"	"33001"	"2007"	"2007"	"Unintentional"	"1"	33	60109	54.9
	"Belknap County, NH"	"33001"	"2008"	"2008"	"Unintentional"	"1"	30	60239	49.8
	"Belknap County, NH"	"33001"	"2009"	"2009"	"Unintentional"	"1"	33	60171	54.8
	"Belknap County, NH"	"33001"	"2009"	"2009"	"Suicide"	"2"	11	60171	Unreliable
	"Belknap County, NH"	"33001"	"2010"	"2010"	"Unintentional"	"1"	20	60088	33.3
	"Belknap County, NH"	"33001"	"2010"	"2010"	"Suicide"	"2"	18	60088	Unreliable
	"Belknap County, NH"	"33001"	"2011"	"2011"	"Unintentional"	"1"	28	60223	46.5
	"Belknap County, NH"	"33001"	"2011"	"2011"	"Suicide"	"2"	11	60223	Unreliable
	"Belknap County, NH"	"33001"	"2012"	"2012"	"Unintentional"	"1"	28	60327	46.4
	"Belknap County, NH"	"33001"	"2012"	"2012"	"Suicide"	"2"	10	60327	Unreliable
	"Belknap County, NH"	"33001"	"2013"	"2013"	"Unintentional"	"1"	39	60179	64.8
	"Belknap County, NH"	"33001"	"2014"	"2014"	"Unintentional"	"1"	28	60305	46.4
	"Belknap County, NH"	"33001"	"2014"	"2014"	"Suicide"	"2"	10	60305	Unreliable
	"Belknap County, NH"	"33001"	"2015"	"2015"	"Unintentional"	"1"	41	60641	67.6
	"Belknap County, NH"	"33001"	"2015"	"2015"	"Suicide"	"2"	13	60641	Unreliable
	"Belknap County, NH"	"33001"	"2016"	"2016"	"Unintentional"	"1"	45	60779	74.0
	"Belknap County, NH"	"33001"	"2016"	"2016"	"Suicide"	"2"	12	60779	Unreliable
	"Belknap County, NH"	"33001"	"2017"	"2017"	"Unintentional"	"1"	61	60785	100.4
	"Belknap County, NH"	"33001"	"2018"	"2018"	"Unintentional"	"1"	55	61022	90.1
	"Belknap County, NH"	"33001"	"2018"	"2018"	"Suicide"	"2"	15	61022	Unreliable
	"Carroll County, NH"	"33003"	"1999"	"1999"	"Unintentional"	"1"	12	42815	Unreliable
	"Carroll County, NH"	"33003"	"2000"	"2000"	"Unintentional"	"1"	25	43666	57.3
	"Carroll County, NH"	"33003"	"2001"	"2001"	"Unintentional"	"1"	21	44200	47.5
	"Carroll County, NH"	"33003"	"2001"	"2001"	"Suicide"	"2"	10	44200	Unreliable
	"Carroll County, NH"	"33003"	"2002"	"2002"	"Unintentional"	"1"	23	45074	51.0
	"Carroll County, NH"	"33003"	"2003"	"2003"	"Unintentional"	"1"	26	45697	56.9
	"Carroll County, NH"	"33003"	"2004"	"2004"	"Unintentional"	"1"	24	46496	51.6
	"Carroll County, NH"	"33003"	"2005"	"2005"	"Unintentional"	"1"	21	46652	45.0
	"Carroll County, NH"	"33003"	"2005"	"2005"	"Suicide"	"2"	10	46652	Unreliable
	"Carroll County, NH"	"33003"	"2006"	"2006"	"Unintentional"	"1"	26	47421	54.8
	"Carroll County, NH"	"33003"	"2006"	"2006"	"Suicide"	"2"	12	47421	Unreliable
	"Carroll County, NH"	"33003"	"2007"	"2007"	"Unintentional"	"1"	32	47829	66.9
	"Carroll County, NH"	"33003"	"2008"	"2008"	"Unintentional"	"1"	21	48013	43.7
	"Carroll County, NH"	"33003"	"2009"	"2009"	"Unintentional"	"1"	31	47763	64.9
	"Carroll County, NH"	"33003"	"2010"	"2010"	"Unintentional"	"1"	37	47818	77.4
	"Carroll County, NH"	"33003"	"2010"	"2010"	"Suicide"	"2"	12	47818	Unreliable
	"Carroll County, NH"	"33003"	"2011"	"2011"	"Unintentional"	"1"	18	47641	Unreliable
	"Carroll County, NH"	"33003"	"2012"	"2012"	"Unintentional"	"1"	17	47567	Unreliable
	"Carroll County, NH"	"33003"	"2012"	"2012"	"Suicide"	"2"	11	47567	Unreliable
	"Carroll County, NH"	"33003"	"2013"	"2013"	"Unintentional"	"1"	36	47499	75.8
	"Carroll County, NH"	"33003"	"2014"	"2014"	"Unintentional"	"1"	29	47399	61.2
	"Carroll County, NH"	"33003"	"2014"	"2014"	"Suicide"	"2"	12	47399	Unreliable
	"Carroll County, NH"	"33003"	"2015"	"2015"	"Unintentional"	"1"	37	47285	78.2
	"Carroll County, NH"	"33003"	"2015"	"2015"	"Suicide"	"2"	14	47285	Unreliable
	"Carroll County, NH"	"33003"	"2016"	"2016"	"Unintentional"	"1"	43	47289	90.9
	"Carroll County, NH"	"33003"	"2017"	"2017"	"Unintentional"	"1"	51	48064	106.1
	"Carroll County, NH"	"33003"	"2017"	"2017"	"Suicide"	"2"	10	48064	Unreliable
	"Carroll County, NH"	"33003"	"2018"	"2018"	"Unintentional"	"1"	43	48779	88.2
	"Carroll County, NH"	"33003"	"2018"	"2018"	"Suicide"	"2"	15	48779	Unreliable
	"Cheshire County, NH"	"33005"	"1999"	"1999"	"Unintentional"	"1"	28	73447	38.1
	"Cheshire County, NH"	"33005"	"2000"	"2000"	"Unintentional"	"1"	22	73825	29.8
	"Cheshire County, NH"	"33005"	"2001"	"2001"	"Unintentional"	"1"	26	74372	35.0
	"Cheshire County, NH"	"33005"	"2001"	"2001"	"Suicide"	"2"	10	74372	Unreliable
	"Cheshire County, NH"	"33005"	"2002"	"2002"	"Unintentional"	"1"	17	75047	Unreliable
	"Cheshire County, NH"	"33005"	"2003"	"2003"	"Unintentional"	"1"	25	76135	32.8
	"Cheshire County, NH"	"33005"	"2004"	"2004"	"Unintentional"	"1"	22	76709	28.7
	"Cheshire County, NH"	"33005"	"2005"	"2005"	"Unintentional"	"1"	37	77061	48.0
	"Cheshire County, NH"	"33005"	"2006"	"2006"	"Unintentional"	"1"	22	77658	28.3
	"Cheshire County, NH"	"33005"	"2007"	"2007"	"Unintentional"	"1"	43	77745	55.3
	"Cheshire County, NH"	"33005"	"2008"	"2008"	"Unintentional"	"1"	36	77472	46.5
	"Cheshire County, NH"	"33005"	"2008"	"2008"	"Suicide"	"2"	11	77472	Unreliable
	"Cheshire County, NH"	"33005"	"2009"	"2009"	"Unintentional"	"1"	35	77302	45.3
	"Cheshire County, NH"	"33005"	"2010"	"2010"	"Unintentional"	"1"	48	77117	62.2
	"Cheshire County, NH"	"33005"	"2010"	"2010"	"Suicide"	"2"	14	77117	Unreliable
	"Cheshire County, NH"	"33005"	"2011"	"2011"	"Unintentional"	"1"	35	76918	45.5
	"Cheshire County, NH"	"33005"	"2011"	"2011"	"Suicide"	"2"	17	76918	Unreliable
	"Cheshire County, NH"	"33005"	"2012"	"2012"	"Unintentional"	"1"	34	76851	44.2
	"Cheshire County, NH"	"33005"	"2012"	"2012"	"Suicide"	"2"	15	76851	Unreliable
	"Cheshire County, NH"	"33005"	"2013"	"2013"	"Unintentional"	"1"	49	76610	64.0
	"Cheshire County, NH"	"33005"	"2013"	"2013"	"Suicide"	"2"	11	76610	Unreliable
	"Cheshire County, NH"	"33005"	"2014"	"2014"	"Unintentional"	"1"	38	76115	49.9
	"Cheshire County, NH"	"33005"	"2014"	"2014"	"Suicide"	"2"	16	76115	Unreliable
	"Cheshire County, NH"	"33005"	"2015"	"2015"	"Unintentional"	"1"	22	75909	29.0
	"Cheshire County, NH"	"33005"	"2015"	"2015"	"Suicide"	"2"	12	75909	Unreliable
	"Cheshire County, NH"	"33005"	"2016"	"2016"	"Unintentional"	"1"	51	75774	67.3
	"Cheshire County, NH"	"33005"	"2016"	"2016"	"Suicide"	"2"	12	75774	Unreliable
	"Cheshire County, NH"	"33005"	"2017"	"2017"	"Unintentional"	"1"	59	75960	77.7
	"Cheshire County, NH"	"33005"	"2017"	"2017"	"Suicide"	"2"	20	75960	26.3
	"Cheshire County, NH"	"33005"	"2018"	"2018"	"Unintentional"	"1"	58	76493	75.8
	"Cheshire County, NH"	"33005"	"2018"	"2018"	"Suicide"	"2"	19	76493	Unreliable
	"Coos County, NH"	"33007"	"1999"	"1999"	"Unintentional"	"1"	14	32998	Unreliable
	"Coos County, NH"	"33007"	"2000"	"2000"	"Unintentional"	"1"	21	33111	63.4
	"Coos County, NH"	"33007"	"2001"	"2001"	"Unintentional"	"1"	20	33113	60.4
	"Coos County, NH"	"33007"	"2002"	"2002"	"Unintentional"	"1"	16	33234	Unreliable
	"Coos County, NH"	"33007"	"2003"	"2003"	"Unintentional"	"1"	14	33462	Unreliable
	"Coos County, NH"	"33007"	"2004"	"2004"	"Unintentional"	"1"	27	33589	80.4
	"Coos County, NH"	"33007"	"2005"	"2005"	"Unintentional"	"1"	17	33845	Unreliable
	"Coos County, NH"	"33007"	"2005"	"2005"	"Suicide"	"2"	10	33845	Unreliable
	"Coos County, NH"	"33007"	"2006"	"2006"	"Unintentional"	"1"	26	33814	76.9
	"Coos County, NH"	"33007"	"2007"	"2007"	"Unintentional"	"1"	26	33751	77.0
	"Coos County, NH"	"33007"	"2008"	"2008"	"Unintentional"	"1"	34	33488	101.5
	"Coos County, NH"	"33007"	"2009"	"2009"	"Unintentional"	"1"	12	33224	Unreliable
	"Coos County, NH"	"33007"	"2010"	"2010"	"Unintentional"	"1"	20	33055	60.5
	"Coos County, NH"	"33007"	"2011"	"2011"	"Unintentional"	"1"	19	32688	Unreliable
	"Coos County, NH"	"33007"	"2012"	"2012"	"Unintentional"	"1"	23	32096	71.7
	"Coos County, NH"	"33007"	"2013"	"2013"	"Unintentional"	"1"	19	31997	Unreliable
	"Coos County, NH"	"33007"	"2014"	"2014"	"Unintentional"	"1"	27	31653	85.3
	"Coos County, NH"	"33007"	"2015"	"2015"	"Unintentional"	"1"	31	31212	99.3
	"Coos County, NH"	"33007"	"2016"	"2016"	"Unintentional"	"1"	30	32039	93.6
	"Coos County, NH"	"33007"	"2016"	"2016"	"Suicide"	"2"	14	32039	Unreliable
	"Coos County, NH"	"33007"	"2017"	"2017"	"Unintentional"	"1"	26	31634	82.2
	"Coos County, NH"	"33007"	"2018"	"2018"	"Unintentional"	"1"	29	31589	91.8
	"Grafton County, NH"	"33009"	"1999"	"1999"	"Unintentional"	"1"	15	81387	Unreliable
	"Grafton County, NH"	"33009"	"2000"	"2000"	"Unintentional"	"1"	25	81743	30.6
	"Grafton County, NH"	"33009"	"2000"	"2000"	"Suicide"	"2"	12	81743	Unreliable
	"Grafton County, NH"	"33009"	"2001"	"2001"	"Unintentional"	"1"	26	82233	31.6
	"Grafton County, NH"	"33009"	"2002"	"2002"	"Unintentional"	"1"	36	83152	43.3
	"Grafton County, NH"	"33009"	"2002"	"2002"	"Suicide"	"2"	12	83152	Unreliable
	"Grafton County, NH"	"33009"	"2003"	"2003"	"Unintentional"	"1"	33	84211	39.2
	"Grafton County, NH"	"33009"	"2004"	"2004"	"Unintentional"	"1"	27	85312	31.6
	"Grafton County, NH"	"33009"	"2005"	"2005"	"Unintentional"	"1"	29	86287	33.6
	"Grafton County, NH"	"33009"	"2005"	"2005"	"Suicide"	"2"	10	86287	Unreliable
	"Grafton County, NH"	"33009"	"2006"	"2006"	"Unintentional"	"1"	34	87236	39.0
	"Grafton County, NH"	"33009"	"2007"	"2007"	"Unintentional"	"1"	38	87764	43.3
	"Grafton County, NH"	"33009"	"2007"	"2007"	"Suicide"	"2"	19	87764	Unreliable
	"Grafton County, NH"	"33009"	"2008"	"2008"	"Unintentional"	"1"	45	88745	50.7
	"Grafton County, NH"	"33009"	"2009"	"2009"	"Unintentional"	"1"	23	88926	25.9
	"Grafton County, NH"	"33009"	"2010"	"2010"	"Unintentional"	"1"	38	89118	42.6
	"Grafton County, NH"	"33009"	"2010"	"2010"	"Suicide"	"2"	13	89118	Unreliable
	"Grafton County, NH"	"33009"	"2011"	"2011"	"Unintentional"	"1"	37	88923	41.6
	"Grafton County, NH"	"33009"	"2011"	"2011"	"Suicide"	"2"	14	88923	Unreliable
	"Grafton County, NH"	"33009"	"2012"	"2012"	"Unintentional"	"1"	39	89181	43.7
	"Grafton County, NH"	"33009"	"2012"	"2012"	"Suicide"	"2"	19	89181	Unreliable
