"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Atlantic County, NJ"	"34001"	"1999"	"1999"	"Unintentional"	"1"	95	250432	37.9
	"Atlantic County, NJ"	"34001"	"1999"	"1999"	"Suicide"	"2"	26	250432	10.4
	"Atlantic County, NJ"	"34001"	"2000"	"2000"	"Unintentional"	"1"	88	252552	34.8
	"Atlantic County, NJ"	"34001"	"2000"	"2000"	"Suicide"	"2"	21	252552	8.3
	"Atlantic County, NJ"	"34001"	"2000"	"2000"	"Homicide"	"3"	14	252552	Unreliable
	"Atlantic County, NJ"	"34001"	"2001"	"2001"	"Unintentional"	"1"	123	255737	48.1
	"Atlantic County, NJ"	"34001"	"2001"	"2001"	"Suicide"	"2"	12	255737	Unreliable
	"Atlantic County, NJ"	"34001"	"2001"	"2001"	"Homicide"	"3"	16	255737	Unreliable
	"Atlantic County, NJ"	"34001"	"2002"	"2002"	"Unintentional"	"1"	105	259263	40.5
	"Atlantic County, NJ"	"34001"	"2002"	"2002"	"Suicide"	"2"	23	259263	8.9
	"Atlantic County, NJ"	"34001"	"2003"	"2003"	"Unintentional"	"1"	129	263285	49.0
	"Atlantic County, NJ"	"34001"	"2003"	"2003"	"Suicide"	"2"	34	263285	12.9
	"Atlantic County, NJ"	"34001"	"2003"	"2003"	"Homicide"	"3"	16	263285	Unreliable
	"Atlantic County, NJ"	"34001"	"2004"	"2004"	"Unintentional"	"1"	130	267723	48.6
	"Atlantic County, NJ"	"34001"	"2004"	"2004"	"Suicide"	"2"	24	267723	9.0
	"Atlantic County, NJ"	"34001"	"2004"	"2004"	"Homicide"	"3"	11	267723	Unreliable
	"Atlantic County, NJ"	"34001"	"2005"	"2005"	"Unintentional"	"1"	137	270332	50.7
	"Atlantic County, NJ"	"34001"	"2005"	"2005"	"Suicide"	"2"	25	270332	9.2
	"Atlantic County, NJ"	"34001"	"2005"	"2005"	"Homicide"	"3"	16	270332	Unreliable
	"Atlantic County, NJ"	"34001"	"2006"	"2006"	"Unintentional"	"1"	118	271759	43.4
	"Atlantic County, NJ"	"34001"	"2006"	"2006"	"Suicide"	"2"	21	271759	7.7
	"Atlantic County, NJ"	"34001"	"2006"	"2006"	"Homicide"	"3"	25	271759	9.2
	"Atlantic County, NJ"	"34001"	"2007"	"2007"	"Unintentional"	"1"	114	272303	41.9
	"Atlantic County, NJ"	"34001"	"2007"	"2007"	"Suicide"	"2"	25	272303	9.2
	"Atlantic County, NJ"	"34001"	"2007"	"2007"	"Homicide"	"3"	13	272303	Unreliable
	"Atlantic County, NJ"	"34001"	"2008"	"2008"	"Unintentional"	"1"	116	273014	42.5
	"Atlantic County, NJ"	"34001"	"2008"	"2008"	"Suicide"	"2"	25	273014	9.2
	"Atlantic County, NJ"	"34001"	"2008"	"2008"	"Homicide"	"3"	17	273014	Unreliable
	"Atlantic County, NJ"	"34001"	"2009"	"2009"	"Unintentional"	"1"	90	274049	32.8
	"Atlantic County, NJ"	"34001"	"2009"	"2009"	"Suicide"	"2"	27	274049	9.9
	"Atlantic County, NJ"	"34001"	"2009"	"2009"	"Homicide"	"3"	19	274049	Unreliable
	"Atlantic County, NJ"	"34001"	"2010"	"2010"	"Unintentional"	"1"	103	274549	37.5
	"Atlantic County, NJ"	"34001"	"2010"	"2010"	"Suicide"	"2"	36	274549	13.1
	"Atlantic County, NJ"	"34001"	"2010"	"2010"	"Homicide"	"3"	16	274549	Unreliable
	"Atlantic County, NJ"	"34001"	"2011"	"2011"	"Unintentional"	"1"	136	274338	49.6
	"Atlantic County, NJ"	"34001"	"2011"	"2011"	"Suicide"	"2"	30	274338	10.9
	"Atlantic County, NJ"	"34001"	"2011"	"2011"	"Homicide"	"3"	20	274338	7.3
	"Atlantic County, NJ"	"34001"	"2012"	"2012"	"Unintentional"	"1"	144	275422	52.3
	"Atlantic County, NJ"	"34001"	"2012"	"2012"	"Suicide"	"2"	39	275422	14.2
	"Atlantic County, NJ"	"34001"	"2012"	"2012"	"Homicide"	"3"	30	275422	10.9
	"Atlantic County, NJ"	"34001"	"2013"	"2013"	"Unintentional"	"1"	155	275862	56.2
	"Atlantic County, NJ"	"34001"	"2013"	"2013"	"Suicide"	"2"	28	275862	10.2
	"Atlantic County, NJ"	"34001"	"2013"	"2013"	"Homicide"	"3"	13	275862	Unreliable
	"Atlantic County, NJ"	"34001"	"2014"	"2014"	"Unintentional"	"1"	125	275209	45.4
	"Atlantic County, NJ"	"34001"	"2014"	"2014"	"Suicide"	"2"	38	275209	13.8
	"Atlantic County, NJ"	"34001"	"2014"	"2014"	"Homicide"	"3"	15	275209	Unreliable
	"Atlantic County, NJ"	"34001"	"2015"	"2015"	"Unintentional"	"1"	123	274219	44.9
	"Atlantic County, NJ"	"34001"	"2015"	"2015"	"Suicide"	"2"	36	274219	13.1
