"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Unintentional"	"1"	279	553002	50.5
	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Suicide"	"2"	99	553002	17.9
	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Homicide"	"3"	65	553002	11.8
	"Bernalillo County, NM"	"35001"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	16	553002	Unreliable
	"Bernalillo County, NM"	"35001"	"2000"	"2000"	"Unintentional"	"1"	273	556678	49.0
	"Bernalillo County, NM"	"35001"	"2000"	"2000"	"Suicide"	"2"	102	556678	18.3
	"Bernalillo County, NM"	"35001"	"2000"	"2000"	"Homicide"	"3"	46	556678	8.3
	"Bernalillo County, NM"	"35001"	"2000"	"2000"	"Non-Injury, no intent classified"	"9"	14	556678	Unreliable
	"Bernalillo County, NM"	"35001"	"2001"	"2001"	"Unintentional"	"1"	303	564241	53.7
	"Bernalillo County, NM"	"35001"	"2001"	"2001"	"Suicide"	"2"	115	564241	20.4
	"Bernalillo County, NM"	"35001"	"2001"	"2001"	"Homicide"	"3"	42	564241	7.4
	"Bernalillo County, NM"	"35001"	"2002"	"2002"	"Unintentional"	"1"	352	576532	61.1
	"Bernalillo County, NM"	"35001"	"2002"	"2002"	"Suicide"	"2"	109	576532	18.9
	"Bernalillo County, NM"	"35001"	"2002"	"2002"	"Homicide"	"3"	53	576532	9.2
	"Bernalillo County, NM"	"35001"	"2002"	"2002"	"Non-Injury, no intent classified"	"9"	14	576532	Unreliable
	"Bernalillo County, NM"	"35001"	"2003"	"2003"	"Unintentional"	"1"	380	587049	64.7
	"Bernalillo County, NM"	"35001"	"2003"	"2003"	"Suicide"	"2"	108	587049	18.4
	"Bernalillo County, NM"	"35001"	"2003"	"2003"	"Homicide"	"3"	59	587049	10.1
	"Bernalillo County, NM"	"35001"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	19	587049	Unreliable
	"Bernalillo County, NM"	"35001"	"2004"	"2004"	"Unintentional"	"1"	384	600449	64.0
