"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"1999"	"1999"	"Unintentional"	"1"	60	294692	20.4
	"Albany County, NY"	"36001"	"1999"	"1999"	"Suicide"	"2"	25	294692	8.5
	"Albany County, NY"	"36001"	"1999"	"1999"	"Homicide"	"3"	14	294692	Unreliable
	"Albany County, NY"	"36001"	"2000"	"2000"	"Unintentional"	"1"	66	294565	22.4
	"Albany County, NY"	"36001"	"2000"	"2000"	"Suicide"	"2"	19	294565	Unreliable
	"Albany County, NY"	"36001"	"2000"	"2000"	"Homicide"	"3"	13	294565	Unreliable
	"Albany County, NY"	"36001"	"2001"	"2001"	"Unintentional"	"1"	75	296232	25.3
	"Albany County, NY"	"36001"	"2001"	"2001"	"Suicide"	"2"	17	296232	Unreliable
	"Albany County, NY"	"36001"	"2001"	"2001"	"Homicide"	"3"	10	296232	Unreliable
	"Albany County, NY"	"36001"	"2002"	"2002"	"Unintentional"	"1"	58	298283	19.4
	"Albany County, NY"	"36001"	"2002"	"2002"	"Suicide"	"2"	29	298283	9.7
	"Albany County, NY"	"36001"	"2002"	"2002"	"Homicide"	"3"	12	298283	Unreliable
	"Albany County, NY"	"36001"	"2003"	"2003"	"Unintentional"	"1"	57	301085	18.9
	"Albany County, NY"	"36001"	"2003"	"2003"	"Suicide"	"2"	18	301085	Unreliable
	"Albany County, NY"	"36001"	"2004"	"2004"	"Unintentional"	"1"	64	302173	21.2
	"Albany County, NY"	"36001"	"2004"	"2004"	"Suicide"	"2"	18	302173	Unreliable
	"Albany County, NY"	"36001"	"2005"	"2005"	"Unintentional"	"1"	77	302791	25.4
	"Albany County, NY"	"36001"	"2005"	"2005"	"Suicide"	"2"	23	302791	7.6
	"Albany County, NY"	"36001"	"2005"	"2005"	"Homicide"	"3"	10	302791	Unreliable
	"Albany County, NY"	"36001"	"2006"	"2006"	"Unintentional"	"1"	83	303997	27.3
	"Albany County, NY"	"36001"	"2006"	"2006"	"Suicide"	"2"	21	303997	6.9
	"Albany County, NY"	"36001"	"2007"	"2007"	"Unintentional"	"1"	72	303858	23.7
	"Albany County, NY"	"36001"	"2007"	"2007"	"Suicide"	"2"	32	303858	10.5
	"Albany County, NY"	"36001"	"2007"	"2007"	"Undetermined "	"4"	16	303858	Unreliable
	"Albany County, NY"	"36001"	"2008"	"2008"	"Unintentional"	"1"	82	303739	27.0
	"Albany County, NY"	"36001"	"2008"	"2008"	"Suicide"	"2"	31	303739	10.2
	"Albany County, NY"	"36001"	"2008"	"2008"	"Homicide"	"3"	12	303739	Unreliable
	"Albany County, NY"	"36001"	"2009"	"2009"	"Unintentional"	"1"	75	304733	24.6
	"Albany County, NY"	"36001"	"2009"	"2009"	"Suicide"	"2"	16	304733	Unreliable
	"Albany County, NY"	"36001"	"2009"	"2009"	"Undetermined "	"4"	13	304733	Unreliable
	"Albany County, NY"	"36001"	"2010"	"2010"	"Unintentional"	"1"	71	304204	23.3
	"Albany County, NY"	"36001"	"2010"	"2010"	"Suicide"	"2"	25	304204	8.2
	"Albany County, NY"	"36001"	"2010"	"2010"	"Undetermined "	"4"	15	304204	Unreliable
	"Albany County, NY"	"36001"	"2011"	"2011"	"Unintentional"	"1"	70	303565	23.1
	"Albany County, NY"	"36001"	"2011"	"2011"	"Suicide"	"2"	28	303565	9.2
	"Albany County, NY"	"36001"	"2011"	"2011"	"Undetermined "	"4"	22	303565	7.2
	"Albany County, NY"	"36001"	"2012"	"2012"	"Unintentional"	"1"	91	305455	29.8
	"Albany County, NY"	"36001"	"2012"	"2012"	"Suicide"	"2"	33	305455	10.8
	"Albany County, NY"	"36001"	"2012"	"2012"	"Undetermined "	"4"	11	305455	Unreliable
	"Albany County, NY"	"36001"	"2013"	"2013"	"Unintentional"	"1"	65	306945	21.2
	"Albany County, NY"	"36001"	"2013"	"2013"	"Suicide"	"2"	36	306945	11.7
	"Albany County, NY"	"36001"	"2013"	"2013"	"Homicide"	"3"	11	306945	Unreliable
	"Albany County, NY"	"36001"	"2013"	"2013"	"Undetermined "	"4"	17	306945	Unreliable
	"Albany County, NY"	"36001"	"2014"	"2014"	"Unintentional"	"1"	68	308171	22.1
	"Albany County, NY"	"36001"	"2014"	"2014"	"Suicide"	"2"	26	308171	8.4
	"Albany County, NY"	"36001"	"2014"	"2014"	"Homicide"	"3"	12	308171	Unreliable
	"Albany County, NY"	"36001"	"2014"	"2014"	"Undetermined "	"4"	27	308171	8.8
	"Albany County, NY"	"36001"	"2015"	"2015"	"Unintentional"	"1"	69	309381	22.3
	"Albany County, NY"	"36001"	"2015"	"2015"	"Suicide"	"2"	32	309381	10.3
	"Albany County, NY"	"36001"	"2015"	"2015"	"Undetermined "	"4"	32	309381	10.3
	"Albany County, NY"	"36001"	"2016"	"2016"	"Unintentional"	"1"	77	308846	24.9
	"Albany County, NY"	"36001"	"2016"	"2016"	"Suicide"	"2"	24	308846	7.8
