"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alamance County, NC"	"37001"	"1999"	"1999"	"Unintentional"	"1"	57	128743	44.3
	"Alamance County, NC"	"37001"	"1999"	"1999"	"Suicide"	"2"	15	128743	Unreliable
	"Alamance County, NC"	"37001"	"1999"	"1999"	"Homicide"	"3"	11	128743	Unreliable
	"Alamance County, NC"	"37001"	"2000"	"2000"	"Unintentional"	"1"	67	130800	51.2
	"Alamance County, NC"	"37001"	"2001"	"2001"	"Unintentional"	"1"	73	133346	54.7
	"Alamance County, NC"	"37001"	"2001"	"2001"	"Suicide"	"2"	12	133346	Unreliable
	"Alamance County, NC"	"37001"	"2002"	"2002"	"Unintentional"	"1"	62	135239	45.8
	"Alamance County, NC"	"37001"	"2002"	"2002"	"Homicide"	"3"	10	135239	Unreliable
	"Alamance County, NC"	"37001"	"2003"	"2003"	"Unintentional"	"1"	73	136009	53.7
	"Alamance County, NC"	"37001"	"2003"	"2003"	"Suicide"	"2"	11	136009	Unreliable
	"Alamance County, NC"	"37001"	"2004"	"2004"	"Unintentional"	"1"	48	137619	34.9
	"Alamance County, NC"	"37001"	"2004"	"2004"	"Suicide"	"2"	13	137619	Unreliable
	"Alamance County, NC"	"37001"	"2005"	"2005"	"Unintentional"	"1"	73	139311	52.4
	"Alamance County, NC"	"37001"	"2005"	"2005"	"Suicide"	"2"	20	139311	14.4
	"Alamance County, NC"	"37001"	"2006"	"2006"	"Unintentional"	"1"	61	141462	43.1
	"Alamance County, NC"	"37001"	"2006"	"2006"	"Suicide"	"2"	20	141462	14.1
	"Alamance County, NC"	"37001"	"2007"	"2007"	"Unintentional"	"1"	71	144712	49.1
	"Alamance County, NC"	"37001"	"2007"	"2007"	"Suicide"	"2"	17	144712	Unreliable
	"Alamance County, NC"	"37001"	"2008"	"2008"	"Unintentional"	"1"	79	147704	53.5
	"Alamance County, NC"	"37001"	"2008"	"2008"	"Suicide"	"2"	19	147704	Unreliable
	"Alamance County, NC"	"37001"	"2009"	"2009"	"Unintentional"	"1"	71	149954	47.3
	"Alamance County, NC"	"37001"	"2009"	"2009"	"Suicide"	"2"	14	149954	Unreliable
	"Alamance County, NC"	"37001"	"2010"	"2010"	"Unintentional"	"1"	59	151131	39.0
	"Alamance County, NC"	"37001"	"2010"	"2010"	"Suicide"	"2"	11	151131	Unreliable
	"Alamance County, NC"	"37001"	"2010"	"2010"	"Homicide"	"3"	10	151131	Unreliable
	"Alamance County, NC"	"37001"	"2011"	"2011"	"Unintentional"	"1"	65	153291	42.4
	"Alamance County, NC"	"37001"	"2011"	"2011"	"Suicide"	"2"	12	153291	Unreliable
	"Alamance County, NC"	"37001"	"2012"	"2012"	"Unintentional"	"1"	67	153920	43.5
	"Alamance County, NC"	"37001"	"2012"	"2012"	"Suicide"	"2"	26	153920	16.9
	"Alamance County, NC"	"37001"	"2013"	"2013"	"Unintentional"	"1"	72	154378	46.6
	"Alamance County, NC"	"37001"	"2013"	"2013"	"Suicide"	"2"	21	154378	13.6
	"Alamance County, NC"	"37001"	"2014"	"2014"	"Unintentional"	"1"	71	155792	45.6
	"Alamance County, NC"	"37001"	"2014"	"2014"	"Suicide"	"2"	19	155792	Unreliable
	"Alamance County, NC"	"37001"	"2015"	"2015"	"Unintentional"	"1"	92	158276	58.1
	"Alamance County, NC"	"37001"	"2015"	"2015"	"Suicide"	"2"	15	158276	Unreliable
	"Alamance County, NC"	"37001"	"2015"	"2015"	"Homicide"	"3"	11	158276	Unreliable
	"Alamance County, NC"	"37001"	"2016"	"2016"	"Unintentional"	"1"	85	159688	53.2
	"Alamance County, NC"	"37001"	"2016"	"2016"	"Suicide"	"2"	24	159688	15.0
	"Alamance County, NC"	"37001"	"2016"	"2016"	"Homicide"	"3"	13	159688	Unreliable
	"Alamance County, NC"	"37001"	"2017"	"2017"	"Unintentional"	"1"	121	162391	74.5
	"Alamance County, NC"	"37001"	"2017"	"2017"	"Suicide"	"2"	30	162391	18.5
	"Alamance County, NC"	"37001"	"2017"	"2017"	"Homicide"	"3"	11	162391	Unreliable
	"Alamance County, NC"	"37001"	"2018"	"2018"	"Unintentional"	"1"	129	166436	77.5
	"Alamance County, NC"	"37001"	"2018"	"2018"	"Suicide"	"2"	20	166436	12.0
	"Alexander County, NC"	"37003"	"1999"	"1999"	"Unintentional"	"1"	14	33274	Unreliable
	"Alexander County, NC"	"37003"	"2000"	"2000"	"Unintentional"	"1"	17	33603	Unreliable
