"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Barnes County, ND"	"38003"	"2012"	"2012"	"Unintentional"	"1"	10	11015	Unreliable
	"Benson County, ND"	"38005"	"2005"	"2005"	"Unintentional"	"1"	10	6745	Unreliable
	"Benson County, ND"	"38005"	"2009"	"2009"	"Unintentional"	"1"	12	6609	Unreliable
	"Benson County, ND"	"38005"	"2014"	"2014"	"Unintentional"	"1"	12	6833	Unreliable
	"Burleigh County, ND"	"38015"	"1999"	"1999"	"Unintentional"	"1"	24	68998	34.8
	"Burleigh County, ND"	"38015"	"2000"	"2000"	"Unintentional"	"1"	23	69416	33.1
	"Burleigh County, ND"	"38015"	"2001"	"2001"	"Unintentional"	"1"	13	70121	Unreliable
	"Burleigh County, ND"	"38015"	"2002"	"2002"	"Unintentional"	"1"	19	71090	Unreliable
	"Burleigh County, ND"	"38015"	"2002"	"2002"	"Suicide"	"2"	12	71090	Unreliable
	"Burleigh County, ND"	"38015"	"2003"	"2003"	"Unintentional"	"1"	19	71987	Unreliable
	"Burleigh County, ND"	"38015"	"2003"	"2003"	"Suicide"	"2"	11	71987	Unreliable
	"Burleigh County, ND"	"38015"	"2004"	"2004"	"Unintentional"	"1"	21	72837	28.8
	"Burleigh County, ND"	"38015"	"2004"	"2004"	"Suicide"	"2"	10	72837	Unreliable
	"Burleigh County, ND"	"38015"	"2005"	"2005"	"Unintentional"	"1"	23	74375	30.9
	"Burleigh County, ND"	"38015"	"2005"	"2005"	"Suicide"	"2"	10	74375	Unreliable
	"Burleigh County, ND"	"38015"	"2006"	"2006"	"Unintentional"	"1"	22	75940	29.0
	"Burleigh County, ND"	"38015"	"2006"	"2006"	"Suicide"	"2"	12	75940	Unreliable
	"Burleigh County, ND"	"38015"	"2007"	"2007"	"Unintentional"	"1"	25	77473	32.3
	"Burleigh County, ND"	"38015"	"2007"	"2007"	"Suicide"	"2"	17	77473	Unreliable
	"Burleigh County, ND"	"38015"	"2008"	"2008"	"Unintentional"	"1"	35	78678	44.5
	"Burleigh County, ND"	"38015"	"2008"	"2008"	"Suicide"	"2"	11	78678	Unreliable
	"Burleigh County, ND"	"38015"	"2009"	"2009"	"Unintentional"	"1"	25	80122	31.2
	"Burleigh County, ND"	"38015"	"2009"	"2009"	"Suicide"	"2"	13	80122	Unreliable
	"Burleigh County, ND"	"38015"	"2010"	"2010"	"Unintentional"	"1"	32	81308	39.4
	"Burleigh County, ND"	"38015"	"2010"	"2010"	"Suicide"	"2"	13	81308	Unreliable
	"Burleigh County, ND"	"38015"	"2011"	"2011"	"Unintentional"	"1"	27	83145	32.5
	"Burleigh County, ND"	"38015"	"2011"	"2011"	"Suicide"	"2"	12	83145	Unreliable
	"Burleigh County, ND"	"38015"	"2012"	"2012"	"Unintentional"	"1"	26	85774	30.3
	"Burleigh County, ND"	"38015"	"2013"	"2013"	"Unintentional"	"1"	25	88457	28.3
	"Burleigh County, ND"	"38015"	"2013"	"2013"	"Suicide"	"2"	14	88457	Unreliable
	"Burleigh County, ND"	"38015"	"2014"	"2014"	"Unintentional"	"1"	28	90503	30.9
	"Burleigh County, ND"	"38015"	"2014"	"2014"	"Suicide"	"2"	25	90503	27.6
	"Burleigh County, ND"	"38015"	"2015"	"2015"	"Unintentional"	"1"	45	92991	48.4
	"Burleigh County, ND"	"38015"	"2015"	"2015"	"Suicide"	"2"	16	92991	Unreliable
	"Burleigh County, ND"	"38015"	"2016"	"2016"	"Unintentional"	"1"	37	94487	39.2
	"Burleigh County, ND"	"38015"	"2017"	"2017"	"Unintentional"	"1"	30	95030	31.6
	"Burleigh County, ND"	"38015"	"2017"	"2017"	"Suicide"	"2"	19	95030	Unreliable
	"Burleigh County, ND"	"38015"	"2018"	"2018"	"Unintentional"	"1"	40	95273	42.0
	"Burleigh County, ND"	"38015"	"2018"	"2018"	"Suicide"	"2"	17	95273	Unreliable
