"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, OH"	"39001"	"1999"	"1999"	"Unintentional"	"1"	13	27422	Unreliable
	"Adams County, OH"	"39001"	"2000"	"2000"	"Unintentional"	"1"	16	27330	Unreliable
	"Adams County, OH"	"39001"	"2001"	"2001"	"Unintentional"	"1"	16	27522	Unreliable
	"Adams County, OH"	"39001"	"2002"	"2002"	"Unintentional"	"1"	17	27817	Unreliable
	"Adams County, OH"	"39001"	"2003"	"2003"	"Unintentional"	"1"	11	28111	Unreliable
	"Adams County, OH"	"39001"	"2004"	"2004"	"Unintentional"	"1"	13	28328	Unreliable
	"Adams County, OH"	"39001"	"2005"	"2005"	"Unintentional"	"1"	24	28522	84.1
	"Adams County, OH"	"39001"	"2006"	"2006"	"Unintentional"	"1"	22	28615	76.9
	"Adams County, OH"	"39001"	"2007"	"2007"	"Unintentional"	"1"	15	28538	Unreliable
	"Adams County, OH"	"39001"	"2008"	"2008"	"Unintentional"	"1"	24	28686	83.7
	"Adams County, OH"	"39001"	"2009"	"2009"	"Unintentional"	"1"	24	28500	84.2
	"Adams County, OH"	"39001"	"2010"	"2010"	"Unintentional"	"1"	23	28550	80.6
	"Adams County, OH"	"39001"	"2011"	"2011"	"Unintentional"	"1"	26	28456	91.4
	"Adams County, OH"	"39001"	"2011"	"2011"	"Suicide"	"2"	10	28456	Unreliable
	"Adams County, OH"	"39001"	"2012"	"2012"	"Unintentional"	"1"	28	28350	98.8
	"Adams County, OH"	"39001"	"2013"	"2013"	"Unintentional"	"1"	16	28105	Unreliable
	"Adams County, OH"	"39001"	"2014"	"2014"	"Unintentional"	"1"	25	28129	88.9
	"Adams County, OH"	"39001"	"2015"	"2015"	"Unintentional"	"1"	24	28024	85.6
	"Adams County, OH"	"39001"	"2016"	"2016"	"Unintentional"	"1"	30	27907	107.5
	"Adams County, OH"	"39001"	"2017"	"2017"	"Unintentional"	"1"	35	27726	126.2
	"Adams County, OH"	"39001"	"2018"	"2018"	"Unintentional"	"1"	23	27724	83.0
	"Allen County, OH"	"39003"	"1999"	"1999"	"Unintentional"	"1"	33	108192	30.5
	"Allen County, OH"	"39003"	"1999"	"1999"	"Suicide"	"2"	12	108192	Unreliable
	"Allen County, OH"	"39003"	"2000"	"2000"	"Unintentional"	"1"	26	108473	24.0
	"Allen County, OH"	"39003"	"2001"	"2001"	"Unintentional"	"1"	26	108523	24.0
	"Allen County, OH"	"39003"	"2002"	"2002"	"Unintentional"	"1"	38	108518	35.0
	"Allen County, OH"	"39003"	"2003"	"2003"	"Unintentional"	"1"	32	107418	29.8
	"Allen County, OH"	"39003"	"2004"	"2004"	"Unintentional"	"1"	39	106826	36.5
	"Allen County, OH"	"39003"	"2005"	"2005"	"Unintentional"	"1"	29	106861	27.1
	"Allen County, OH"	"39003"	"2005"	"2005"	"Suicide"	"2"	12	106861	Unreliable
	"Allen County, OH"	"39003"	"2006"	"2006"	"Unintentional"	"1"	35	106716	32.8
	"Allen County, OH"	"39003"	"2006"	"2006"	"Suicide"	"2"	13	106716	Unreliable
	"Allen County, OH"	"39003"	"2007"	"2007"	"Unintentional"	"1"	38	106717	35.6
	"Allen County, OH"	"39003"	"2007"	"2007"	"Suicide"	"2"	16	106717	Unreliable
	"Allen County, OH"	"39003"	"2008"	"2008"	"Unintentional"	"1"	42	106773	39.3
	"Allen County, OH"	"39003"	"2008"	"2008"	"Suicide"	"2"	11	106773	Unreliable
	"Allen County, OH"	"39003"	"2009"	"2009"	"Unintentional"	"1"	29	106518	27.2
	"Allen County, OH"	"39003"	"2010"	"2010"	"Unintentional"	"1"	36	106331	33.9
	"Allen County, OH"	"39003"	"2011"	"2011"	"Unintentional"	"1"	45	106094	42.4
	"Allen County, OH"	"39003"	"2011"	"2011"	"Suicide"	"2"	15	106094	Unreliable
	"Allen County, OH"	"39003"	"2012"	"2012"	"Unintentional"	"1"	33	105141	31.4
	"Allen County, OH"	"39003"	"2012"	"2012"	"Suicide"	"2"	16	105141	Unreliable
	"Allen County, OH"	"39003"	"2013"	"2013"	"Unintentional"	"1"	39	105298	37.0
	"Allen County, OH"	"39003"	"2014"	"2014"	"Unintentional"	"1"	33	105040	31.4
	"Allen County, OH"	"39003"	"2014"	"2014"	"Suicide"	"2"	12	105040	Unreliable
	"Allen County, OH"	"39003"	"2015"	"2015"	"Unintentional"	"1"	45	104425	43.1
	"Allen County, OH"	"39003"	"2015"	"2015"	"Suicide"	"2"	18	104425	Unreliable
	"Allen County, OH"	"39003"	"2016"	"2016"	"Unintentional"	"1"	67	103742	64.6
	"Allen County, OH"	"39003"	"2016"	"2016"	"Suicide"	"2"	15	103742	Unreliable
	"Allen County, OH"	"39003"	"2017"	"2017"	"Unintentional"	"1"	77	103198	74.6
	"Allen County, OH"	"39003"	"2017"	"2017"	"Suicide"	"2"	14	103198	Unreliable
	"Allen County, OH"	"39003"	"2018"	"2018"	"Unintentional"	"1"	39	102663	38.0
	"Allen County, OH"	"39003"	"2018"	"2018"	"Suicide"	"2"	12	102663	Unreliable
	"Ashland County, OH"	"39005"	"1999"	"1999"	"Unintentional"	"1"	23	52431	43.9
	"Ashland County, OH"	"39005"	"2000"	"2000"	"Unintentional"	"1"	17	52523	Unreliable
	"Ashland County, OH"	"39005"	"2001"	"2001"	"Unintentional"	"1"	26	52560	49.5
	"Ashland County, OH"	"39005"	"2002"	"2002"	"Unintentional"	"1"	13	52595	Unreliable
	"Ashland County, OH"	"39005"	"2003"	"2003"	"Unintentional"	"1"	18	52867	Unreliable
	"Ashland County, OH"	"39005"	"2004"	"2004"	"Unintentional"	"1"	11	52852	Unreliable
	"Ashland County, OH"	"39005"	"2005"	"2005"	"Unintentional"	"1"	20	53048	37.7
	"Ashland County, OH"	"39005"	"2006"	"2006"	"Unintentional"	"1"	30	53231	56.4
	"Ashland County, OH"	"39005"	"2007"	"2007"	"Unintentional"	"1"	23	53544	43.0
	"Ashland County, OH"	"39005"	"2008"	"2008"	"Unintentional"	"1"	16	53499	Unreliable
	"Ashland County, OH"	"39005"	"2008"	"2008"	"Suicide"	"2"	10	53499	Unreliable
	"Ashland County, OH"	"39005"	"2009"	"2009"	"Unintentional"	"1"	20	53305	37.5
	"Ashland County, OH"	"39005"	"2010"	"2010"	"Unintentional"	"1"	22	53139	41.4
	"Ashland County, OH"	"39005"	"2011"	"2011"	"Unintentional"	"1"	28	53153	52.7
	"Ashland County, OH"	"39005"	"2012"	"2012"	"Unintentional"	"1"	20	52962	37.8
	"Ashland County, OH"	"39005"	"2013"	"2013"	"Unintentional"	"1"	18	53043	Unreliable
	"Ashland County, OH"	"39005"	"2014"	"2014"	"Unintentional"	"1"	25	53035	47.1
	"Ashland County, OH"	"39005"	"2015"	"2015"	"Unintentional"	"1"	28	53213	52.6
	"Ashland County, OH"	"39005"	"2016"	"2016"	"Unintentional"	"1"	20	53652	37.3
	"Ashland County, OH"	"39005"	"2017"	"2017"	"Unintentional"	"1"	22	53628	41.0
	"Ashland County, OH"	"39005"	"2018"	"2018"	"Unintentional"	"1"	16	53745	Unreliable
	"Ashtabula County, OH"	"39007"	"1999"	"1999"	"Unintentional"	"1"	31	102796	30.2
	"Ashtabula County, OH"	"39007"	"1999"	"1999"	"Suicide"	"2"	10	102796	Unreliable
	"Ashtabula County, OH"	"39007"	"2000"	"2000"	"Unintentional"	"1"	31	102728	30.2
	"Ashtabula County, OH"	"39007"	"2000"	"2000"	"Suicide"	"2"	21	102728	20.4
	"Ashtabula County, OH"	"39007"	"2001"	"2001"	"Unintentional"	"1"	48	102450	46.9
	"Ashtabula County, OH"	"39007"	"2002"	"2002"	"Unintentional"	"1"	42	102577	40.9
	"Ashtabula County, OH"	"39007"	"2002"	"2002"	"Suicide"	"2"	15	102577	Unreliable
	"Ashtabula County, OH"	"39007"	"2003"	"2003"	"Unintentional"	"1"	30	102667	29.2
	"Ashtabula County, OH"	"39007"	"2004"	"2004"	"Unintentional"	"1"	48	102648	46.8
	"Ashtabula County, OH"	"39007"	"2004"	"2004"	"Suicide"	"2"	17	102648	Unreliable
	"Ashtabula County, OH"	"39007"	"2005"	"2005"	"Unintentional"	"1"	46	102638	44.8
	"Ashtabula County, OH"	"39007"	"2005"	"2005"	"Suicide"	"2"	14	102638	Unreliable
	"Ashtabula County, OH"	"39007"	"2006"	"2006"	"Unintentional"	"1"	39	102340	38.1
	"Ashtabula County, OH"	"39007"	"2006"	"2006"	"Suicide"	"2"	23	102340	22.5
	"Ashtabula County, OH"	"39007"	"2007"	"2007"	"Unintentional"	"1"	55	102156	53.8
	"Ashtabula County, OH"	"39007"	"2007"	"2007"	"Suicide"	"2"	12	102156	Unreliable
	"Ashtabula County, OH"	"39007"	"2008"	"2008"	"Unintentional"	"1"	55	101826	54.0
	"Ashtabula County, OH"	"39007"	"2008"	"2008"	"Suicide"	"2"	21	101826	20.6
	"Ashtabula County, OH"	"39007"	"2009"	"2009"	"Unintentional"	"1"	53	101584	52.2
	"Ashtabula County, OH"	"39007"	"2009"	"2009"	"Suicide"	"2"	11	101584	Unreliable
	"Ashtabula County, OH"	"39007"	"2010"	"2010"	"Unintentional"	"1"	45	101497	44.3
	"Ashtabula County, OH"	"39007"	"2010"	"2010"	"Suicide"	"2"	15	101497	Unreliable
	"Ashtabula County, OH"	"39007"	"2011"	"2011"	"Unintentional"	"1"	52	101345	51.3
	"Ashtabula County, OH"	"39007"	"2011"	"2011"	"Suicide"	"2"	18	101345	Unreliable
	"Ashtabula County, OH"	"39007"	"2012"	"2012"	"Unintentional"	"1"	65	100389	64.7
	"Ashtabula County, OH"	"39007"	"2012"	"2012"	"Suicide"	"2"	16	100389	Unreliable
	"Ashtabula County, OH"	"39007"	"2013"	"2013"	"Unintentional"	"1"	51	99811	51.1
	"Ashtabula County, OH"	"39007"	"2013"	"2013"	"Suicide"	"2"	20	99811	20.0
	"Ashtabula County, OH"	"39007"	"2014"	"2014"	"Unintentional"	"1"	59	99175	59.5
	"Ashtabula County, OH"	"39007"	"2014"	"2014"	"Suicide"	"2"	17	99175	Unreliable
	"Ashtabula County, OH"	"39007"	"2015"	"2015"	"Unintentional"	"1"	58	98632	58.8
	"Ashtabula County, OH"	"39007"	"2015"	"2015"	"Suicide"	"2"	19	98632	Unreliable
	"Ashtabula County, OH"	"39007"	"2016"	"2016"	"Unintentional"	"1"	79	98231	80.4
	"Ashtabula County, OH"	"39007"	"2016"	"2016"	"Suicide"	"2"	19	98231	Unreliable
	"Ashtabula County, OH"	"39007"	"2017"	"2017"	"Unintentional"	"1"	54	97807	55.2
	"Ashtabula County, OH"	"39007"	"2017"	"2017"	"Suicide"	"2"	28	97807	28.6
	"Ashtabula County, OH"	"39007"	"2017"	"2017"	"Homicide"	"3"	24	97807	24.5
	"Ashtabula County, OH"	"39007"	"2018"	"2018"	"Unintentional"	"1"	64	97493	65.6
	"Ashtabula County, OH"	"39007"	"2018"	"2018"	"Suicide"	"2"	22	97493	22.6
	"Ashtabula County, OH"	"39007"	"2018"	"2018"	"Homicide"	"3"	19	97493	Unreliable
	"Athens County, OH"	"39009"	"1999"	"1999"	"Unintentional"	"1"	23	61856	37.2
	"Athens County, OH"	"39009"	"2000"	"2000"	"Unintentional"	"1"	20	62223	32.1
	"Athens County, OH"	"39009"	"2001"	"2001"	"Unintentional"	"1"	28	62997	44.4
	"Athens County, OH"	"39009"	"2001"	"2001"	"Suicide"	"2"	10	62997	Unreliable
	"Athens County, OH"	"39009"	"2002"	"2002"	"Unintentional"	"1"	24	63401	37.9
	"Athens County, OH"	"39009"	"2003"	"2003"	"Unintentional"	"1"	26	63827	40.7
	"Athens County, OH"	"39009"	"2004"	"2004"	"Unintentional"	"1"	23	63230	36.4
	"Athens County, OH"	"39009"	"2005"	"2005"	"Unintentional"	"1"	18	64075	Unreliable
	"Athens County, OH"	"39009"	"2006"	"2006"	"Unintentional"	"1"	27	64237	42.0
	"Athens County, OH"	"39009"	"2007"	"2007"	"Unintentional"	"1"	28	64102	43.7
	"Athens County, OH"	"39009"	"2007"	"2007"	"Suicide"	"2"	11	64102	Unreliable
	"Athens County, OH"	"39009"	"2008"	"2008"	"Unintentional"	"1"	36	64546	55.8
	"Athens County, OH"	"39009"	"2008"	"2008"	"Suicide"	"2"	11	64546	Unreliable
	"Athens County, OH"	"39009"	"2009"	"2009"	"Unintentional"	"1"	13	64618	Unreliable
	"Athens County, OH"	"39009"	"2010"	"2010"	"Unintentional"	"1"	29	64757	44.8
	"Athens County, OH"	"39009"	"2011"	"2011"	"Unintentional"	"1"	35	64769	54.0
	"Athens County, OH"	"39009"	"2012"	"2012"	"Unintentional"	"1"	24	64304	37.3
	"Athens County, OH"	"39009"	"2013"	"2013"	"Unintentional"	"1"	23	64681	35.6
	"Athens County, OH"	"39009"	"2014"	"2014"	"Unintentional"	"1"	36	64713	55.6
	"Athens County, OH"	"39009"	"2015"	"2015"	"Unintentional"	"1"	33	65886	50.1
	"Athens County, OH"	"39009"	"2016"	"2016"	"Unintentional"	"1"	28	66186	42.3
	"Athens County, OH"	"39009"	"2016"	"2016"	"Suicide"	"2"	10	66186	Unreliable
	"Athens County, OH"	"39009"	"2017"	"2017"	"Unintentional"	"1"	19	66597	Unreliable
	"Athens County, OH"	"39009"	"2018"	"2018"	"Unintentional"	"1"	32	65818	48.6
	"Auglaize County, OH"	"39011"	"1999"	"1999"	"Unintentional"	"1"	24	46663	51.4
	"Auglaize County, OH"	"39011"	"2000"	"2000"	"Unintentional"	"1"	20	46611	42.9
	"Auglaize County, OH"	"39011"	"2001"	"2001"	"Unintentional"	"1"	24	46137	52.0
	"Auglaize County, OH"	"39011"	"2002"	"2002"	"Unintentional"	"1"	18	45943	Unreliable
	"Auglaize County, OH"	"39011"	"2003"	"2003"	"Unintentional"	"1"	14	45872	Unreliable
	"Auglaize County, OH"	"39011"	"2004"	"2004"	"Unintentional"	"1"	14	45932	Unreliable
	"Auglaize County, OH"	"39011"	"2005"	"2005"	"Unintentional"	"1"	19	46166	Unreliable
	"Auglaize County, OH"	"39011"	"2006"	"2006"	"Unintentional"	"1"	21	46034	45.6
	"Auglaize County, OH"	"39011"	"2007"	"2007"	"Unintentional"	"1"	19	45977	Unreliable
	"Auglaize County, OH"	"39011"	"2007"	"2007"	"Suicide"	"2"	10	45977	Unreliable
	"Auglaize County, OH"	"39011"	"2008"	"2008"	"Unintentional"	"1"	16	46167	Unreliable
	"Auglaize County, OH"	"39011"	"2009"	"2009"	"Unintentional"	"1"	22	45996	47.8
	"Auglaize County, OH"	"39011"	"2010"	"2010"	"Unintentional"	"1"	24	45949	52.2
	"Auglaize County, OH"	"39011"	"2011"	"2011"	"Unintentional"	"1"	19	45838	Unreliable
	"Auglaize County, OH"	"39011"	"2012"	"2012"	"Unintentional"	"1"	24	45831	52.4
	"Auglaize County, OH"	"39011"	"2013"	"2013"	"Unintentional"	"1"	20	45920	43.6
	"Auglaize County, OH"	"39011"	"2014"	"2014"	"Unintentional"	"1"	18	45841	Unreliable
	"Auglaize County, OH"	"39011"	"2015"	"2015"	"Unintentional"	"1"	24	45876	52.3
	"Auglaize County, OH"	"39011"	"2016"	"2016"	"Unintentional"	"1"	18	45894	Unreliable
	"Auglaize County, OH"	"39011"	"2017"	"2017"	"Unintentional"	"1"	16	45778	Unreliable
	"Auglaize County, OH"	"39011"	"2018"	"2018"	"Unintentional"	"1"	17	45804	Unreliable
	"Belmont County, OH"	"39013"	"1999"	"1999"	"Unintentional"	"1"	24	70587	34.0
	"Belmont County, OH"	"39013"	"2000"	"2000"	"Unintentional"	"1"	19	70226	Unreliable
	"Belmont County, OH"	"39013"	"2000"	"2000"	"Suicide"	"2"	10	70226	Unreliable
	"Belmont County, OH"	"39013"	"2001"	"2001"	"Unintentional"	"1"	38	69901	54.4
	"Belmont County, OH"	"39013"	"2001"	"2001"	"Suicide"	"2"	11	69901	Unreliable
	"Belmont County, OH"	"39013"	"2002"	"2002"	"Unintentional"	"1"	38	70293	54.1
	"Belmont County, OH"	"39013"	"2002"	"2002"	"Suicide"	"2"	11	70293	Unreliable
	"Belmont County, OH"	"39013"	"2003"	"2003"	"Unintentional"	"1"	40	70219	57.0
	"Belmont County, OH"	"39013"	"2003"	"2003"	"Suicide"	"2"	11	70219	Unreliable
	"Belmont County, OH"	"39013"	"2004"	"2004"	"Unintentional"	"1"	22	70241	31.3
	"Belmont County, OH"	"39013"	"2005"	"2005"	"Unintentional"	"1"	33	70203	47.0
	"Belmont County, OH"	"39013"	"2005"	"2005"	"Suicide"	"2"	10	70203	Unreliable
	"Belmont County, OH"	"39013"	"2006"	"2006"	"Unintentional"	"1"	30	70469	42.6
	"Belmont County, OH"	"39013"	"2007"	"2007"	"Unintentional"	"1"	20	70430	28.4
	"Belmont County, OH"	"39013"	"2008"	"2008"	"Unintentional"	"1"	42	70356	59.7
	"Belmont County, OH"	"39013"	"2009"	"2009"	"Unintentional"	"1"	26	70439	36.9
	"Belmont County, OH"	"39013"	"2009"	"2009"	"Suicide"	"2"	14	70439	Unreliable
	"Belmont County, OH"	"39013"	"2010"	"2010"	"Unintentional"	"1"	34	70400	48.3
	"Belmont County, OH"	"39013"	"2010"	"2010"	"Suicide"	"2"	15	70400	Unreliable
	"Belmont County, OH"	"39013"	"2011"	"2011"	"Unintentional"	"1"	31	70151	44.2
	"Belmont County, OH"	"39013"	"2012"	"2012"	"Unintentional"	"1"	38	69671	54.5
	"Belmont County, OH"	"39013"	"2012"	"2012"	"Suicide"	"2"	13	69671	Unreliable
	"Belmont County, OH"	"39013"	"2013"	"2013"	"Unintentional"	"1"	43	69571	61.8
	"Belmont County, OH"	"39013"	"2013"	"2013"	"Suicide"	"2"	13	69571	Unreliable
	"Belmont County, OH"	"39013"	"2014"	"2014"	"Unintentional"	"1"	28	69461	40.3
	"Belmont County, OH"	"39013"	"2014"	"2014"	"Suicide"	"2"	13	69461	Unreliable
	"Belmont County, OH"	"39013"	"2015"	"2015"	"Unintentional"	"1"	41	69154	59.3
	"Belmont County, OH"	"39013"	"2016"	"2016"	"Unintentional"	"1"	45	68673	65.5
	"Belmont County, OH"	"39013"	"2016"	"2016"	"Suicide"	"2"	10	68673	Unreliable
	"Belmont County, OH"	"39013"	"2017"	"2017"	"Unintentional"	"1"	50	68029	73.5
	"Belmont County, OH"	"39013"	"2017"	"2017"	"Suicide"	"2"	12	68029	Unreliable
	"Belmont County, OH"	"39013"	"2018"	"2018"	"Unintentional"	"1"	44	67505	65.2
	"Belmont County, OH"	"39013"	"2018"	"2018"	"Suicide"	"2"	18	67505	Unreliable
	"Brown County, OH"	"39015"	"1999"	"1999"	"Unintentional"	"1"	23	41544	55.4
	"Brown County, OH"	"39015"	"2000"	"2000"	"Unintentional"	"1"	22	42285	52.0
	"Brown County, OH"	"39015"	"2001"	"2001"	"Unintentional"	"1"	14	42839	Unreliable
	"Brown County, OH"	"39015"	"2002"	"2002"	"Unintentional"	"1"	23	43368	53.0
	"Brown County, OH"	"39015"	"2003"	"2003"	"Unintentional"	"1"	24	43794	54.8
	"Brown County, OH"	"39015"	"2004"	"2004"	"Unintentional"	"1"	23	43995	52.3
	"Brown County, OH"	"39015"	"2005"	"2005"	"Unintentional"	"1"	20	44161	45.3
	"Brown County, OH"	"39015"	"2006"	"2006"	"Unintentional"	"1"	31	44334	69.9
	"Brown County, OH"	"39015"	"2006"	"2006"	"Suicide"	"2"	10	44334	Unreliable
	"Brown County, OH"	"39015"	"2007"	"2007"	"Unintentional"	"1"	29	44490	65.2
	"Brown County, OH"	"39015"	"2007"	"2007"	"Suicide"	"2"	10	44490	Unreliable
	"Brown County, OH"	"39015"	"2008"	"2008"	"Unintentional"	"1"	28	44668	62.7
	"Brown County, OH"	"39015"	"2009"	"2009"	"Unintentional"	"1"	25	44740	55.9
	"Brown County, OH"	"39015"	"2010"	"2010"	"Unintentional"	"1"	30	44846	66.9
	"Brown County, OH"	"39015"	"2011"	"2011"	"Unintentional"	"1"	30	44687	67.1
	"Brown County, OH"	"39015"	"2011"	"2011"	"Suicide"	"2"	10	44687	Unreliable
	"Brown County, OH"	"39015"	"2012"	"2012"	"Unintentional"	"1"	32	44381	72.1
	"Brown County, OH"	"39015"	"2013"	"2013"	"Unintentional"	"1"	28	44264	63.3
	"Brown County, OH"	"39015"	"2013"	"2013"	"Suicide"	"2"	10	44264	Unreliable
	"Brown County, OH"	"39015"	"2014"	"2014"	"Unintentional"	"1"	40	44116	90.7
	"Brown County, OH"	"39015"	"2015"	"2015"	"Unintentional"	"1"	45	43839	102.6
	"Brown County, OH"	"39015"	"2016"	"2016"	"Unintentional"	"1"	38	43759	86.8
	"Brown County, OH"	"39015"	"2016"	"2016"	"Suicide"	"2"	11	43759	Unreliable
	"Brown County, OH"	"39015"	"2017"	"2017"	"Unintentional"	"1"	41	43576	94.1
	"Brown County, OH"	"39015"	"2018"	"2018"	"Unintentional"	"1"	47	43602	107.8
	"Brown County, OH"	"39015"	"2018"	"2018"	"Suicide"	"2"	10	43602	Unreliable
	"Butler County, OH"	"39017"	"1999"	"1999"	"Unintentional"	"1"	79	330751	23.9
	"Butler County, OH"	"39017"	"1999"	"1999"	"Suicide"	"2"	34	330751	10.3
	"Butler County, OH"	"39017"	"2000"	"2000"	"Unintentional"	"1"	100	332807	30.0
	"Butler County, OH"	"39017"	"2000"	"2000"	"Suicide"	"2"	23	332807	6.9
	"Butler County, OH"	"39017"	"2000"	"2000"	"Homicide"	"3"	12	332807	Unreliable
	"Butler County, OH"	"39017"	"2001"	"2001"	"Unintentional"	"1"	103	336679	30.6
	"Butler County, OH"	"39017"	"2001"	"2001"	"Suicide"	"2"	39	336679	11.6
	"Butler County, OH"	"39017"	"2001"	"2001"	"Homicide"	"3"	11	336679	Unreliable
	"Butler County, OH"	"39017"	"2002"	"2002"	"Unintentional"	"1"	92	339514	27.1
	"Butler County, OH"	"39017"	"2002"	"2002"	"Suicide"	"2"	43	339514	12.7
	"Butler County, OH"	"39017"	"2003"	"2003"	"Unintentional"	"1"	106	343022	30.9
	"Butler County, OH"	"39017"	"2003"	"2003"	"Suicide"	"2"	43	343022	12.5
	"Butler County, OH"	"39017"	"2003"	"2003"	"Homicide"	"3"	12	343022	Unreliable
	"Butler County, OH"	"39017"	"2004"	"2004"	"Unintentional"	"1"	122	346655	35.2
