"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adair County, OK"	"40001"	"1999"	"1999"	"Unintentional"	"1"	16	20904	Unreliable
	"Adair County, OK"	"40001"	"2000"	"2000"	"Unintentional"	"1"	18	21038	Unreliable
	"Adair County, OK"	"40001"	"2001"	"2001"	"Unintentional"	"1"	11	21101	Unreliable
	"Adair County, OK"	"40001"	"2002"	"2002"	"Unintentional"	"1"	20	21271	94.0
	"Adair County, OK"	"40001"	"2003"	"2003"	"Unintentional"	"1"	11	21445	Unreliable
	"Adair County, OK"	"40001"	"2004"	"2004"	"Unintentional"	"1"	12	21589	Unreliable
	"Adair County, OK"	"40001"	"2005"	"2005"	"Unintentional"	"1"	21	21887	95.9
	"Adair County, OK"	"40001"	"2007"	"2007"	"Unintentional"	"1"	11	22345	Unreliable
	"Adair County, OK"	"40001"	"2008"	"2008"	"Unintentional"	"1"	13	22346	Unreliable
	"Adair County, OK"	"40001"	"2009"	"2009"	"Unintentional"	"1"	16	22477	Unreliable
	"Adair County, OK"	"40001"	"2010"	"2010"	"Unintentional"	"1"	15	22683	Unreliable
	"Adair County, OK"	"40001"	"2011"	"2011"	"Unintentional"	"1"	17	22612	Unreliable
	"Adair County, OK"	"40001"	"2012"	"2012"	"Unintentional"	"1"	16	22286	Unreliable
	"Adair County, OK"	"40001"	"2013"	"2013"	"Unintentional"	"1"	20	22194	90.1
	"Adair County, OK"	"40001"	"2014"	"2014"	"Unintentional"	"1"	14	22186	Unreliable
	"Adair County, OK"	"40001"	"2015"	"2015"	"Unintentional"	"1"	11	22004	Unreliable
	"Adair County, OK"	"40001"	"2016"	"2016"	"Unintentional"	"1"	10	22098	Unreliable
	"Adair County, OK"	"40001"	"2017"	"2017"	"Unintentional"	"1"	20	21909	91.3
	"Adair County, OK"	"40001"	"2018"	"2018"	"Unintentional"	"1"	19	22082	Unreliable
	"Alfalfa County, OK"	"40003"	"2011"	"2011"	"Unintentional"	"1"	10	5662	Unreliable
	"Alfalfa County, OK"	"40003"	"2018"	"2018"	"Unintentional"	"1"	10	5754	Unreliable
	"Atoka County, OK"	"40005"	"2001"	"2001"	"Unintentional"	"1"	14	13816	Unreliable
	"Atoka County, OK"	"40005"	"2002"	"2002"	"Unintentional"	"1"	15	13836	Unreliable
	"Atoka County, OK"	"40005"	"2004"	"2004"	"Unintentional"	"1"	11	14046	Unreliable
	"Atoka County, OK"	"40005"	"2006"	"2006"	"Unintentional"	"1"	11	14013	Unreliable
	"Atoka County, OK"	"40005"	"2008"	"2008"	"Unintentional"	"1"	10	14220	Unreliable
	"Atoka County, OK"	"40005"	"2009"	"2009"	"Unintentional"	"1"	15	14155	Unreliable
	"Atoka County, OK"	"40005"	"2013"	"2013"	"Unintentional"	"1"	13	13898	Unreliable
	"Atoka County, OK"	"40005"	"2015"	"2015"	"Unintentional"	"1"	11	13793	Unreliable
	"Atoka County, OK"	"40005"	"2016"	"2016"	"Unintentional"	"1"	13	13810	Unreliable
	"Beckham County, OK"	"40009"	"1999"	"1999"	"Unintentional"	"1"	13	19957	Unreliable
	"Beckham County, OK"	"40009"	"2000"	"2000"	"Unintentional"	"1"	11	19799	Unreliable
	"Beckham County, OK"	"40009"	"2001"	"2001"	"Unintentional"	"1"	15	19937	Unreliable
	"Beckham County, OK"	"40009"	"2002"	"2002"	"Unintentional"	"1"	10	20142	Unreliable
	"Beckham County, OK"	"40009"	"2003"	"2003"	"Unintentional"	"1"	15	19663	Unreliable
	"Beckham County, OK"	"40009"	"2004"	"2004"	"Unintentional"	"1"	11	18580	Unreliable
	"Beckham County, OK"	"40009"	"2005"	"2005"	"Unintentional"	"1"	21	19151	109.7
	"Beckham County, OK"	"40009"	"2006"	"2006"	"Unintentional"	"1"	19	20040	Unreliable
	"Beckham County, OK"	"40009"	"2007"	"2007"	"Unintentional"	"1"	22	21855	100.7
	"Beckham County, OK"	"40009"	"2008"	"2008"	"Unintentional"	"1"	25	22817	109.6
	"Beckham County, OK"	"40009"	"2009"	"2009"	"Unintentional"	"1"	15	22369	Unreliable
	"Beckham County, OK"	"40009"	"2010"	"2010"	"Unintentional"	"1"	15	22119	Unreliable
	"Beckham County, OK"	"40009"	"2011"	"2011"	"Unintentional"	"1"	15	22288	Unreliable
	"Beckham County, OK"	"40009"	"2011"	"2011"	"Suicide"	"2"	10	22288	Unreliable
	"Beckham County, OK"	"40009"	"2012"	"2012"	"Unintentional"	"1"	12	23081	Unreliable
	"Beckham County, OK"	"40009"	"2013"	"2013"	"Unintentional"	"1"	12	23637	Unreliable
	"Beckham County, OK"	"40009"	"2014"	"2014"	"Unintentional"	"1"	16	23691	Unreliable
	"Beckham County, OK"	"40009"	"2015"	"2015"	"Unintentional"	"1"	13	23768	Unreliable
	"Beckham County, OK"	"40009"	"2016"	"2016"	"Unintentional"	"1"	28	22519	124.3
	"Beckham County, OK"	"40009"	"2017"	"2017"	"Unintentional"	"1"	23	21793	105.5
	"Beckham County, OK"	"40009"	"2018"	"2018"	"Unintentional"	"1"	20	21709	92.1
	"Blaine County, OK"	"40011"	"1999"	"1999"	"Unintentional"	"1"	13	11882	Unreliable
	"Blaine County, OK"	"40011"	"2002"	"2002"	"Unintentional"	"1"	14	11574	Unreliable
	"Blaine County, OK"	"40011"	"2005"	"2005"	"Unintentional"	"1"	10	12264	Unreliable
	"Blaine County, OK"	"40011"	"2006"	"2006"	"Unintentional"	"1"	14	11965	Unreliable
	"Blaine County, OK"	"40011"	"2010"	"2010"	"Unintentional"	"1"	10	11943	Unreliable
	"Blaine County, OK"	"40011"	"2012"	"2012"	"Unintentional"	"1"	11	9785	Unreliable
	"Blaine County, OK"	"40011"	"2016"	"2016"	"Unintentional"	"1"	11	9643	Unreliable
	"Blaine County, OK"	"40011"	"2017"	"2017"	"Unintentional"	"1"	12	9498	Unreliable
	"Blaine County, OK"	"40011"	"2018"	"2018"	"Unintentional"	"1"	13	9485	Unreliable
	"Bryan County, OK"	"40013"	"1999"	"1999"	"Unintentional"	"1"	23	36182	63.6
	"Bryan County, OK"	"40013"	"2000"	"2000"	"Unintentional"	"1"	25	36534	68.4
	"Bryan County, OK"	"40013"	"2001"	"2001"	"Unintentional"	"1"	26	36577	71.1
	"Bryan County, OK"	"40013"	"2002"	"2002"	"Unintentional"	"1"	29	37003	78.4
	"Bryan County, OK"	"40013"	"2002"	"2002"	"Suicide"	"2"	11	37003	Unreliable
	"Bryan County, OK"	"40013"	"2003"	"2003"	"Unintentional"	"1"	16	37260	Unreliable
	"Bryan County, OK"	"40013"	"2004"	"2004"	"Unintentional"	"1"	28	37887	73.9
	"Bryan County, OK"	"40013"	"2005"	"2005"	"Unintentional"	"1"	30	38309	78.3
	"Bryan County, OK"	"40013"	"2005"	"2005"	"Suicide"	"2"	10	38309	Unreliable
	"Bryan County, OK"	"40013"	"2006"	"2006"	"Unintentional"	"1"	28	39739	70.5
	"Bryan County, OK"	"40013"	"2007"	"2007"	"Unintentional"	"1"	29	40350	71.9
	"Bryan County, OK"	"40013"	"2008"	"2008"	"Unintentional"	"1"	28	41453	67.5
	"Bryan County, OK"	"40013"	"2009"	"2009"	"Unintentional"	"1"	26	41859	62.1
	"Bryan County, OK"	"40013"	"2010"	"2010"	"Unintentional"	"1"	26	42416	61.3
	"Bryan County, OK"	"40013"	"2011"	"2011"	"Unintentional"	"1"	27	43089	62.7
	"Bryan County, OK"	"40013"	"2012"	"2012"	"Unintentional"	"1"	37	43399	85.3
	"Bryan County, OK"	"40013"	"2013"	"2013"	"Unintentional"	"1"	29	44244	65.5
	"Bryan County, OK"	"40013"	"2014"	"2014"	"Unintentional"	"1"	38	44486	85.4
	"Bryan County, OK"	"40013"	"2015"	"2015"	"Unintentional"	"1"	38	44884	84.7
	"Bryan County, OK"	"40013"	"2015"	"2015"	"Suicide"	"2"	11	44884	Unreliable
	"Bryan County, OK"	"40013"	"2016"	"2016"	"Unintentional"	"1"	42	45573	92.2
	"Bryan County, OK"	"40013"	"2017"	"2017"	"Unintentional"	"1"	30	46319	64.8
	"Bryan County, OK"	"40013"	"2017"	"2017"	"Suicide"	"2"	12	46319	Unreliable
	"Bryan County, OK"	"40013"	"2018"	"2018"	"Unintentional"	"1"	28	47192	59.3
	"Caddo County, OK"	"40015"	"1999"	"1999"	"Unintentional"	"1"	21	30257	69.4
	"Caddo County, OK"	"40015"	"2000"	"2000"	"Unintentional"	"1"	16	30150	Unreliable
	"Caddo County, OK"	"40015"	"2001"	"2001"	"Unintentional"	"1"	31	29677	104.5
	"Caddo County, OK"	"40015"	"2002"	"2002"	"Unintentional"	"1"	19	29532	Unreliable
	"Caddo County, OK"	"40015"	"2003"	"2003"	"Unintentional"	"1"	17	29550	Unreliable
	"Caddo County, OK"	"40015"	"2004"	"2004"	"Unintentional"	"1"	17	29470	Unreliable
	"Caddo County, OK"	"40015"	"2005"	"2005"	"Unintentional"	"1"	18	29202	Unreliable
	"Caddo County, OK"	"40015"	"2006"	"2006"	"Unintentional"	"1"	27	29087	92.8
	"Caddo County, OK"	"40015"	"2007"	"2007"	"Unintentional"	"1"	40	27932	143.2
	"Caddo County, OK"	"40015"	"2008"	"2008"	"Unintentional"	"1"	31	28612	108.3
	"Caddo County, OK"	"40015"	"2009"	"2009"	"Unintentional"	"1"	25	29459	84.9
	"Caddo County, OK"	"40015"	"2010"	"2010"	"Unintentional"	"1"	21	29600	70.9
	"Caddo County, OK"	"40015"	"2011"	"2011"	"Unintentional"	"1"	35	29537	118.5
	"Caddo County, OK"	"40015"	"2012"	"2012"	"Unintentional"	"1"	23	29678	77.5
	"Caddo County, OK"	"40015"	"2013"	"2013"	"Unintentional"	"1"	28	29594	94.6
	"Caddo County, OK"	"40015"	"2014"	"2014"	"Unintentional"	"1"	25	29317	85.3
	"Caddo County, OK"	"40015"	"2015"	"2015"	"Unintentional"	"1"	31	29343	105.6
	"Caddo County, OK"	"40015"	"2016"	"2016"	"Unintentional"	"1"	21	29557	71.0
	"Caddo County, OK"	"40015"	"2016"	"2016"	"Suicide"	"2"	10	29557	Unreliable
	"Caddo County, OK"	"40015"	"2017"	"2017"	"Unintentional"	"1"	28	29173	96.0
	"Caddo County, OK"	"40015"	"2018"	"2018"	"Unintentional"	"1"	26	28977	89.7
	"Canadian County, OK"	"40017"	"1999"	"1999"	"Unintentional"	"1"	29	86306	33.6
	"Canadian County, OK"	"40017"	"1999"	"1999"	"Suicide"	"2"	17	86306	Unreliable
	"Canadian County, OK"	"40017"	"2000"	"2000"	"Unintentional"	"1"	24	87697	27.4
	"Canadian County, OK"	"40017"	"2000"	"2000"	"Suicide"	"2"	13	87697	Unreliable
	"Canadian County, OK"	"40017"	"2001"	"2001"	"Unintentional"	"1"	42	89931	46.7
	"Canadian County, OK"	"40017"	"2001"	"2001"	"Suicide"	"2"	14	89931	Unreliable
	"Canadian County, OK"	"40017"	"2002"	"2002"	"Unintentional"	"1"	25	91507	27.3
	"Canadian County, OK"	"40017"	"2003"	"2003"	"Unintentional"	"1"	41	93449	43.9
	"Canadian County, OK"	"40017"	"2003"	"2003"	"Suicide"	"2"	10	93449	Unreliable
	"Canadian County, OK"	"40017"	"2004"	"2004"	"Unintentional"	"1"	43	96101	44.7
	"Canadian County, OK"	"40017"	"2004"	"2004"	"Suicide"	"2"	15	96101	Unreliable
	"Canadian County, OK"	"40017"	"2005"	"2005"	"Unintentional"	"1"	41	99176	41.3
	"Canadian County, OK"	"40017"	"2005"	"2005"	"Suicide"	"2"	13	99176	Unreliable
	"Canadian County, OK"	"40017"	"2006"	"2006"	"Unintentional"	"1"	35	102876	34.0
	"Canadian County, OK"	"40017"	"2006"	"2006"	"Suicide"	"2"	14	102876	Unreliable
	"Canadian County, OK"	"40017"	"2007"	"2007"	"Unintentional"	"1"	53	106804	49.6
	"Canadian County, OK"	"40017"	"2007"	"2007"	"Suicide"	"2"	15	106804	Unreliable
	"Canadian County, OK"	"40017"	"2008"	"2008"	"Unintentional"	"1"	38	109969	34.6
	"Canadian County, OK"	"40017"	"2008"	"2008"	"Suicide"	"2"	15	109969	Unreliable
	"Canadian County, OK"	"40017"	"2009"	"2009"	"Unintentional"	"1"	44	113186	38.9
	"Canadian County, OK"	"40017"	"2009"	"2009"	"Suicide"	"2"	17	113186	Unreliable
	"Canadian County, OK"	"40017"	"2010"	"2010"	"Unintentional"	"1"	61	115541	52.8
	"Canadian County, OK"	"40017"	"2010"	"2010"	"Suicide"	"2"	12	115541	Unreliable
	"Canadian County, OK"	"40017"	"2011"	"2011"	"Unintentional"	"1"	55	119492	46.0
	"Canadian County, OK"	"40017"	"2011"	"2011"	"Suicide"	"2"	27	119492	22.6
	"Canadian County, OK"	"40017"	"2012"	"2012"	"Unintentional"	"1"	56	122560	45.7
	"Canadian County, OK"	"40017"	"2012"	"2012"	"Suicide"	"2"	23	122560	18.8
	"Canadian County, OK"	"40017"	"2013"	"2013"	"Unintentional"	"1"	54	126123	42.8
	"Canadian County, OK"	"40017"	"2013"	"2013"	"Suicide"	"2"	14	126123	Unreliable
	"Canadian County, OK"	"40017"	"2014"	"2014"	"Unintentional"	"1"	69	129582	53.2
	"Canadian County, OK"	"40017"	"2014"	"2014"	"Suicide"	"2"	20	129582	15.4
