"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Baker County, OR"	"41001"	"1999"	"1999"	"Unintentional"	"1"	11	16755	Unreliable
	"Baker County, OR"	"41001"	"2001"	"2001"	"Unintentional"	"1"	13	16618	Unreliable
	"Baker County, OR"	"41001"	"2002"	"2002"	"Unintentional"	"1"	10	16376	Unreliable
	"Baker County, OR"	"41001"	"2004"	"2004"	"Unintentional"	"1"	12	16272	Unreliable
	"Baker County, OR"	"41001"	"2005"	"2005"	"Unintentional"	"1"	14	16086	Unreliable
	"Baker County, OR"	"41001"	"2006"	"2006"	"Unintentional"	"1"	13	16094	Unreliable
	"Baker County, OR"	"41001"	"2008"	"2008"	"Unintentional"	"1"	17	16195	Unreliable
	"Baker County, OR"	"41001"	"2009"	"2009"	"Unintentional"	"1"	15	16225	Unreliable
	"Baker County, OR"	"41001"	"2011"	"2011"	"Unintentional"	"1"	16	15984	Unreliable
	"Baker County, OR"	"41001"	"2012"	"2012"	"Unintentional"	"1"	12	15909	Unreliable
	"Baker County, OR"	"41001"	"2013"	"2013"	"Unintentional"	"1"	15	16018	Unreliable
	"Baker County, OR"	"41001"	"2015"	"2015"	"Unintentional"	"1"	13	16005	Unreliable
	"Baker County, OR"	"41001"	"2016"	"2016"	"Unintentional"	"1"	11	16059	Unreliable
	"Baker County, OR"	"41001"	"2017"	"2017"	"Unintentional"	"1"	17	16054	Unreliable
	"Baker County, OR"	"41001"	"2018"	"2018"	"Unintentional"	"1"	19	16006	Unreliable
	"Benton County, OR"	"41003"	"1999"	"1999"	"Unintentional"	"1"	16	78254	Unreliable
	"Benton County, OR"	"41003"	"2000"	"2000"	"Unintentional"	"1"	16	78153	Unreliable
	"Benton County, OR"	"41003"	"2001"	"2001"	"Unintentional"	"1"	17	78491	Unreliable
	"Benton County, OR"	"41003"	"2002"	"2002"	"Unintentional"	"1"	28	80203	34.9
	"Benton County, OR"	"41003"	"2002"	"2002"	"Suicide"	"2"	13	80203	Unreliable
	"Benton County, OR"	"41003"	"2003"	"2003"	"Unintentional"	"1"	26	80322	32.4
	"Benton County, OR"	"41003"	"2004"	"2004"	"Unintentional"	"1"	24	80149	29.9
	"Benton County, OR"	"41003"	"2005"	"2005"	"Unintentional"	"1"	21	80943	25.9
	"Benton County, OR"	"41003"	"2005"	"2005"	"Suicide"	"2"	14	80943	Unreliable
	"Benton County, OR"	"41003"	"2006"	"2006"	"Unintentional"	"1"	21	81957	25.6
	"Benton County, OR"	"41003"	"2006"	"2006"	"Suicide"	"2"	10	81957	Unreliable
	"Benton County, OR"	"41003"	"2007"	"2007"	"Unintentional"	"1"	25	83718	29.9
	"Benton County, OR"	"41003"	"2007"	"2007"	"Suicide"	"2"	15	83718	Unreliable
	"Benton County, OR"	"41003"	"2008"	"2008"	"Unintentional"	"1"	20	84150	23.8
	"Benton County, OR"	"41003"	"2009"	"2009"	"Unintentional"	"1"	20	85390	23.4
	"Benton County, OR"	"41003"	"2009"	"2009"	"Suicide"	"2"	11	85390	Unreliable
	"Benton County, OR"	"41003"	"2010"	"2010"	"Unintentional"	"1"	16	85579	Unreliable
	"Benton County, OR"	"41003"	"2010"	"2010"	"Suicide"	"2"	10	85579	Unreliable
	"Benton County, OR"	"41003"	"2011"	"2011"	"Unintentional"	"1"	27	85928	31.4
	"Benton County, OR"	"41003"	"2011"	"2011"	"Suicide"	"2"	13	85928	Unreliable
	"Benton County, OR"	"41003"	"2012"	"2012"	"Unintentional"	"1"	32	86430	37.0
	"Benton County, OR"	"41003"	"2012"	"2012"	"Suicide"	"2"	13	86430	Unreliable
	"Benton County, OR"	"41003"	"2013"	"2013"	"Unintentional"	"1"	22	86591	25.4
	"Benton County, OR"	"41003"	"2013"	"2013"	"Suicide"	"2"	12	86591	Unreliable
	"Benton County, OR"	"41003"	"2014"	"2014"	"Unintentional"	"1"	33	86316	38.2
	"Benton County, OR"	"41003"	"2014"	"2014"	"Suicide"	"2"	11	86316	Unreliable
	"Benton County, OR"	"41003"	"2015"	"2015"	"Unintentional"	"1"	32	87572	36.5
	"Benton County, OR"	"41003"	"2015"	"2015"	"Suicide"	"2"	10	87572	Unreliable
	"Benton County, OR"	"41003"	"2016"	"2016"	"Unintentional"	"1"	37	89385	41.4
	"Benton County, OR"	"41003"	"2016"	"2016"	"Suicide"	"2"	13	89385	Unreliable
	"Benton County, OR"	"41003"	"2017"	"2017"	"Unintentional"	"1"	33	90951	36.3
	"Benton County, OR"	"41003"	"2017"	"2017"	"Suicide"	"2"	18	90951	Unreliable
	"Benton County, OR"	"41003"	"2018"	"2018"	"Unintentional"	"1"	28	92101	30.4
	"Benton County, OR"	"41003"	"2018"	"2018"	"Suicide"	"2"	18	92101	Unreliable
	"Clackamas County, OR"	"41005"	"1999"	"1999"	"Unintentional"	"1"	101	335891	30.1
	"Clackamas County, OR"	"41005"	"1999"	"1999"	"Suicide"	"2"	33	335891	9.8
	"Clackamas County, OR"	"41005"	"2000"	"2000"	"Unintentional"	"1"	90	338391	26.6
	"Clackamas County, OR"	"41005"	"2000"	"2000"	"Suicide"	"2"	37	338391	10.9
