"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, PA"	"42001"	"1999"	"1999"	"Unintentional"	"1"	46	90363	50.9
	"Adams County, PA"	"42001"	"2000"	"2000"	"Unintentional"	"1"	30	91292	32.9
	"Adams County, PA"	"42001"	"2000"	"2000"	"Suicide"	"2"	13	91292	Unreliable
	"Adams County, PA"	"42001"	"2001"	"2001"	"Unintentional"	"1"	26	92591	28.1
	"Adams County, PA"	"42001"	"2001"	"2001"	"Suicide"	"2"	10	92591	Unreliable
	"Adams County, PA"	"42001"	"2002"	"2002"	"Unintentional"	"1"	34	93934	36.2
	"Adams County, PA"	"42001"	"2002"	"2002"	"Suicide"	"2"	10	93934	Unreliable
	"Adams County, PA"	"42001"	"2003"	"2003"	"Unintentional"	"1"	45	95503	47.1
	"Adams County, PA"	"42001"	"2004"	"2004"	"Unintentional"	"1"	37	97300	38.0
	"Adams County, PA"	"42001"	"2005"	"2005"	"Unintentional"	"1"	56	98606	56.8
	"Adams County, PA"	"42001"	"2005"	"2005"	"Suicide"	"2"	14	98606	Unreliable
	"Adams County, PA"	"42001"	"2006"	"2006"	"Unintentional"	"1"	37	99899	37.0
	"Adams County, PA"	"42001"	"2007"	"2007"	"Unintentional"	"1"	40	100502	39.8
	"Adams County, PA"	"42001"	"2008"	"2008"	"Unintentional"	"1"	41	101056	40.6
	"Adams County, PA"	"42001"	"2008"	"2008"	"Suicide"	"2"	14	101056	Unreliable
	"Adams County, PA"	"42001"	"2009"	"2009"	"Unintentional"	"1"	44	101252	43.5
	"Adams County, PA"	"42001"	"2009"	"2009"	"Suicide"	"2"	14	101252	Unreliable
	"Adams County, PA"	"42001"	"2010"	"2010"	"Unintentional"	"1"	52	101407	51.3
	"Adams County, PA"	"42001"	"2010"	"2010"	"Suicide"	"2"	14	101407	Unreliable
	"Adams County, PA"	"42001"	"2011"	"2011"	"Unintentional"	"1"	44	101434	43.4
	"Adams County, PA"	"42001"	"2011"	"2011"	"Suicide"	"2"	20	101434	19.7
	"Adams County, PA"	"42001"	"2012"	"2012"	"Unintentional"	"1"	39	101482	38.4
	"Adams County, PA"	"42001"	"2012"	"2012"	"Suicide"	"2"	17	101482	Unreliable
	"Adams County, PA"	"42001"	"2013"	"2013"	"Unintentional"	"1"	31	101546	30.5
