"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Abbeville County, SC"	"45001"	"1999"	"1999"	"Unintentional"	"1"	13	25921	Unreliable
	"Abbeville County, SC"	"45001"	"2003"	"2003"	"Unintentional"	"1"	19	26306	Unreliable
	"Abbeville County, SC"	"45001"	"2004"	"2004"	"Unintentional"	"1"	13	26235	Unreliable
	"Abbeville County, SC"	"45001"	"2005"	"2005"	"Unintentional"	"1"	11	25995	Unreliable
	"Abbeville County, SC"	"45001"	"2005"	"2005"	"Suicide"	"2"	10	25995	Unreliable
	"Abbeville County, SC"	"45001"	"2006"	"2006"	"Unintentional"	"1"	12	25821	Unreliable
	"Abbeville County, SC"	"45001"	"2007"	"2007"	"Unintentional"	"1"	15	25745	Unreliable
	"Abbeville County, SC"	"45001"	"2009"	"2009"	"Unintentional"	"1"	12	25614	Unreliable
	"Abbeville County, SC"	"45001"	"2010"	"2010"	"Unintentional"	"1"	12	25417	Unreliable
	"Abbeville County, SC"	"45001"	"2011"	"2011"	"Unintentional"	"1"	13	25161	Unreliable
	"Abbeville County, SC"	"45001"	"2012"	"2012"	"Unintentional"	"1"	11	25101	Unreliable
	"Abbeville County, SC"	"45001"	"2013"	"2013"	"Unintentional"	"1"	14	25007	Unreliable
	"Abbeville County, SC"	"45001"	"2014"	"2014"	"Unintentional"	"1"	16	24965	Unreliable
	"Abbeville County, SC"	"45001"	"2015"	"2015"	"Unintentional"	"1"	13	24932	Unreliable
	"Abbeville County, SC"	"45001"	"2017"	"2017"	"Unintentional"	"1"	20	24722	80.9
	"Abbeville County, SC"	"45001"	"2018"	"2018"	"Unintentional"	"1"	21	24541	85.6
	"Aiken County, SC"	"45003"	"1999"	"1999"	"Unintentional"	"1"	60	141379	42.4
	"Aiken County, SC"	"45003"	"1999"	"1999"	"Suicide"	"2"	19	141379	Unreliable
