"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Beadle County, SD"	"46005"	"2013"	"2013"	"Unintentional"	"1"	12	18080	Unreliable
	"Beadle County, SD"	"46005"	"2015"	"2015"	"Unintentional"	"1"	12	18372	Unreliable
	"Beadle County, SD"	"46005"	"2017"	"2017"	"Unintentional"	"1"	12	18157	Unreliable
	"Brookings County, SD"	"46011"	"1999"	"1999"	"Unintentional"	"1"	10	27921	Unreliable
	"Brookings County, SD"	"46011"	"2001"	"2001"	"Unintentional"	"1"	15	28565	Unreliable
	"Brookings County, SD"	"46011"	"2002"	"2002"	"Unintentional"	"1"	13	28913	Unreliable
	"Brookings County, SD"	"46011"	"2006"	"2006"	"Unintentional"	"1"	12	30323	Unreliable
	"Brookings County, SD"	"46011"	"2007"	"2007"	"Unintentional"	"1"	10	30831	Unreliable
	"Brookings County, SD"	"46011"	"2008"	"2008"	"Unintentional"	"1"	14	31363	Unreliable
	"Brookings County, SD"	"46011"	"2013"	"2013"	"Unintentional"	"1"	11	32968	Unreliable
	"Brookings County, SD"	"46011"	"2014"	"2014"	"Unintentional"	"1"	12	33314	Unreliable
	"Brookings County, SD"	"46011"	"2016"	"2016"	"Unintentional"	"1"	17	34135	Unreliable
	"Brookings County, SD"	"46011"	"2017"	"2017"	"Unintentional"	"1"	12	34255	Unreliable
	"Brookings County, SD"	"46011"	"2018"	"2018"	"Unintentional"	"1"	15	35232	Unreliable
	"Brown County, SD"	"46013"	"1999"	"1999"	"Unintentional"	"1"	15	35705	Unreliable
	"Brown County, SD"	"46013"	"2001"	"2001"	"Unintentional"	"1"	15	35303	Unreliable
	"Brown County, SD"	"46013"	"2002"	"2002"	"Unintentional"	"1"	14	35187	Unreliable
	"Brown County, SD"	"46013"	"2003"	"2003"	"Unintentional"	"1"	17	35223	Unreliable
	"Brown County, SD"	"46013"	"2004"	"2004"	"Unintentional"	"1"	12	35329	Unreliable
	"Brown County, SD"	"46013"	"2005"	"2005"	"Unintentional"	"1"	10	35441	Unreliable
	"Brown County, SD"	"46013"	"2006"	"2006"	"Unintentional"	"1"	14	35561	Unreliable
	"Brown County, SD"	"46013"	"2008"	"2008"	"Unintentional"	"1"	12	35865	Unreliable
	"Brown County, SD"	"46013"	"2009"	"2009"	"Unintentional"	"1"	11	36181	Unreliable
