"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Anderson County, TN"	"47001"	"1999"	"1999"	"Unintentional"	"1"	36	71454	50.4
	"Anderson County, TN"	"47001"	"2000"	"2000"	"Unintentional"	"1"	34	71330	47.7
	"Anderson County, TN"	"47001"	"2001"	"2001"	"Unintentional"	"1"	30	71461	42.0
	"Anderson County, TN"	"47001"	"2001"	"2001"	"Suicide"	"2"	14	71461	Unreliable
	"Anderson County, TN"	"47001"	"2002"	"2002"	"Unintentional"	"1"	41	71515	57.3
	"Anderson County, TN"	"47001"	"2002"	"2002"	"Suicide"	"2"	11	71515	Unreliable
	"Anderson County, TN"	"47001"	"2003"	"2003"	"Unintentional"	"1"	39	71608	54.5
	"Anderson County, TN"	"47001"	"2004"	"2004"	"Unintentional"	"1"	39	71587	54.5
	"Anderson County, TN"	"47001"	"2005"	"2005"	"Unintentional"	"1"	49	72040	68.0
	"Anderson County, TN"	"47001"	"2005"	"2005"	"Suicide"	"2"	15	72040	Unreliable
	"Anderson County, TN"	"47001"	"2006"	"2006"	"Unintentional"	"1"	49	73117	67.0
	"Anderson County, TN"	"47001"	"2006"	"2006"	"Suicide"	"2"	16	73117	Unreliable
	"Anderson County, TN"	"47001"	"2007"	"2007"	"Unintentional"	"1"	45	73580	61.2
	"Anderson County, TN"	"47001"	"2007"	"2007"	"Suicide"	"2"	19	73580	Unreliable
	"Anderson County, TN"	"47001"	"2008"	"2008"	"Unintentional"	"1"	39	74397	52.4
	"Anderson County, TN"	"47001"	"2008"	"2008"	"Suicide"	"2"	16	74397	Unreliable
	"Anderson County, TN"	"47001"	"2009"	"2009"	"Unintentional"	"1"	47	75031	62.6
	"Anderson County, TN"	"47001"	"2009"	"2009"	"Suicide"	"2"	12	75031	Unreliable
	"Anderson County, TN"	"47001"	"2010"	"2010"	"Unintentional"	"1"	50	75129	66.6
	"Anderson County, TN"	"47001"	"2010"	"2010"	"Suicide"	"2"	19	75129	Unreliable
	"Anderson County, TN"	"47001"	"2011"	"2011"	"Unintentional"	"1"	41	75233	54.5
	"Anderson County, TN"	"47001"	"2011"	"2011"	"Suicide"	"2"	14	75233	Unreliable
	"Anderson County, TN"	"47001"	"2012"	"2012"	"Unintentional"	"1"	52	75416	69.0
	"Anderson County, TN"	"47001"	"2013"	"2013"	"Unintentional"	"1"	60	75542	79.4
	"Anderson County, TN"	"47001"	"2013"	"2013"	"Suicide"	"2"	20	75542	26.5
	"Anderson County, TN"	"47001"	"2014"	"2014"	"Unintentional"	"1"	61	75528	80.8
	"Anderson County, TN"	"47001"	"2015"	"2015"	"Unintentional"	"1"	44	75749	58.1
	"Anderson County, TN"	"47001"	"2015"	"2015"	"Suicide"	"2"	16	75749	Unreliable
	"Anderson County, TN"	"47001"	"2016"	"2016"	"Unintentional"	"1"	70	75936	92.2
	"Anderson County, TN"	"47001"	"2016"	"2016"	"Suicide"	"2"	17	75936	Unreliable
	"Anderson County, TN"	"47001"	"2017"	"2017"	"Unintentional"	"1"	77	76257	101.0
	"Anderson County, TN"	"47001"	"2017"	"2017"	"Suicide"	"2"	11	76257	Unreliable
	"Anderson County, TN"	"47001"	"2018"	"2018"	"Unintentional"	"1"	61	76482	79.8
	"Anderson County, TN"	"47001"	"2018"	"2018"	"Suicide"	"2"	13	76482	Unreliable
	"Bedford County, TN"	"47003"	"1999"	"1999"	"Unintentional"	"1"	25	36931	67.7
	"Bedford County, TN"	"47003"	"2000"	"2000"	"Unintentional"	"1"	31	37586	82.5
	"Bedford County, TN"	"47003"	"2001"	"2001"	"Unintentional"	"1"	20	38414	52.1
	"Bedford County, TN"	"47003"	"2002"	"2002"	"Unintentional"	"1"	21	38960	53.9
	"Bedford County, TN"	"47003"	"2002"	"2002"	"Suicide"	"2"	12	38960	Unreliable
	"Bedford County, TN"	"47003"	"2003"	"2003"	"Unintentional"	"1"	21	39697	52.9
	"Bedford County, TN"	"47003"	"2004"	"2004"	"Unintentional"	"1"	16	40558	Unreliable
	"Bedford County, TN"	"47003"	"2005"	"2005"	"Unintentional"	"1"	21	41616	50.5
	"Bedford County, TN"	"47003"	"2006"	"2006"	"Unintentional"	"1"	26	42780	60.8
	"Bedford County, TN"	"47003"	"2007"	"2007"	"Unintentional"	"1"	20	43678	45.8
	"Bedford County, TN"	"47003"	"2007"	"2007"	"Suicide"	"2"	10	43678	Unreliable
	"Bedford County, TN"	"47003"	"2008"	"2008"	"Unintentional"	"1"	33	44395	74.3
	"Bedford County, TN"	"47003"	"2009"	"2009"	"Unintentional"	"1"	32	44845	71.4
	"Bedford County, TN"	"47003"	"2010"	"2010"	"Unintentional"	"1"	26	45058	57.7
	"Bedford County, TN"	"47003"	"2011"	"2011"	"Unintentional"	"1"	22	45509	48.3
	"Bedford County, TN"	"47003"	"2011"	"2011"	"Suicide"	"2"	16	45509	Unreliable
	"Bedford County, TN"	"47003"	"2012"	"2012"	"Unintentional"	"1"	22	45573	48.3
	"Bedford County, TN"	"47003"	"2012"	"2012"	"Suicide"	"2"	10	45573	Unreliable
	"Bedford County, TN"	"47003"	"2013"	"2013"	"Unintentional"	"1"	38	45901	82.8
	"Bedford County, TN"	"47003"	"2014"	"2014"	"Unintentional"	"1"	37	46627	79.4
	"Bedford County, TN"	"47003"	"2015"	"2015"	"Unintentional"	"1"	33	47183	69.9
	"Bedford County, TN"	"47003"	"2016"	"2016"	"Unintentional"	"1"	29	47484	61.1
	"Bedford County, TN"	"47003"	"2017"	"2017"	"Unintentional"	"1"	20	48117	41.6
	"Bedford County, TN"	"47003"	"2017"	"2017"	"Suicide"	"2"	11	48117	Unreliable
	"Bedford County, TN"	"47003"	"2018"	"2018"	"Unintentional"	"1"	37	49038	75.5
