"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Anderson County, TX"	"48001"	"1999"	"1999"	"Unintentional"	"1"	38	54876	69.2
	"Anderson County, TX"	"48001"	"1999"	"1999"	"Suicide"	"2"	10	54876	Unreliable
	"Anderson County, TX"	"48001"	"2000"	"2000"	"Unintentional"	"1"	23	55109	41.7
	"Anderson County, TX"	"48001"	"2000"	"2000"	"Suicide"	"2"	11	55109	Unreliable
	"Anderson County, TX"	"48001"	"2001"	"2001"	"Unintentional"	"1"	31	54263	57.1
	"Anderson County, TX"	"48001"	"2002"	"2002"	"Unintentional"	"1"	45	54740	82.2
	"Anderson County, TX"	"48001"	"2002"	"2002"	"Suicide"	"2"	12	54740	Unreliable
	"Anderson County, TX"	"48001"	"2003"	"2003"	"Unintentional"	"1"	28	56068	49.9
	"Anderson County, TX"	"48001"	"2004"	"2004"	"Unintentional"	"1"	35	56245	62.2
	"Anderson County, TX"	"48001"	"2005"	"2005"	"Unintentional"	"1"	40	56873	70.3
	"Anderson County, TX"	"48001"	"2006"	"2006"	"Unintentional"	"1"	44	57386	76.7
	"Anderson County, TX"	"48001"	"2006"	"2006"	"Suicide"	"2"	15	57386	Unreliable
	"Anderson County, TX"	"48001"	"2007"	"2007"	"Unintentional"	"1"	29	57870	50.1
	"Anderson County, TX"	"48001"	"2007"	"2007"	"Suicide"	"2"	17	57870	Unreliable
	"Anderson County, TX"	"48001"	"2008"	"2008"	"Unintentional"	"1"	43	57963	74.2
	"Anderson County, TX"	"48001"	"2008"	"2008"	"Suicide"	"2"	12	57963	Unreliable
	"Anderson County, TX"	"48001"	"2009"	"2009"	"Unintentional"	"1"	35	58410	59.9
	"Anderson County, TX"	"48001"	"2009"	"2009"	"Suicide"	"2"	12	58410	Unreliable
	"Anderson County, TX"	"48001"	"2010"	"2010"	"Unintentional"	"1"	25	58458	42.8
	"Anderson County, TX"	"48001"	"2010"	"2010"	"Suicide"	"2"	14	58458	Unreliable
	"Anderson County, TX"	"48001"	"2011"	"2011"	"Unintentional"	"1"	28	58308	48.0
	"Anderson County, TX"	"48001"	"2011"	"2011"	"Suicide"	"2"	11	58308	Unreliable
	"Anderson County, TX"	"48001"	"2012"	"2012"	"Unintentional"	"1"	28	58190	48.1
	"Anderson County, TX"	"48001"	"2012"	"2012"	"Suicide"	"2"	13	58190	Unreliable
	"Anderson County, TX"	"48001"	"2013"	"2013"	"Unintentional"	"1"	31	57938	53.5
	"Anderson County, TX"	"48001"	"2014"	"2014"	"Unintentional"	"1"	26	57627	45.1
	"Anderson County, TX"	"48001"	"2015"	"2015"	"Unintentional"	"1"	19	57580	Unreliable
	"Anderson County, TX"	"48001"	"2015"	"2015"	"Suicide"	"2"	15	57580	Unreliable
	"Anderson County, TX"	"48001"	"2016"	"2016"	"Unintentional"	"1"	35	57734	60.6
	"Anderson County, TX"	"48001"	"2016"	"2016"	"Suicide"	"2"	16	57734	Unreliable
	"Anderson County, TX"	"48001"	"2017"	"2017"	"Unintentional"	"1"	29	57741	50.2
	"Anderson County, TX"	"48001"	"2017"	"2017"	"Suicide"	"2"	18	57741	Unreliable
	"Anderson County, TX"	"48001"	"2018"	"2018"	"Unintentional"	"1"	29	58057	50.0
	"Anderson County, TX"	"48001"	"2018"	"2018"	"Suicide"	"2"	22	58057	37.9
	"Andrews County, TX"	"48003"	"2008"	"2008"	"Unintentional"	"1"	12	14099	Unreliable
	"Andrews County, TX"	"48003"	"2009"	"2009"	"Unintentional"	"1"	11	14601	Unreliable
	"Andrews County, TX"	"48003"	"2010"	"2010"	"Unintentional"	"1"	12	14786	Unreliable
	"Andrews County, TX"	"48003"	"2011"	"2011"	"Unintentional"	"1"	15	15445	Unreliable
	"Andrews County, TX"	"48003"	"2012"	"2012"	"Unintentional"	"1"	14	16117	Unreliable
	"Andrews County, TX"	"48003"	"2015"	"2015"	"Unintentional"	"1"	17	18105	Unreliable
	"Andrews County, TX"	"48003"	"2017"	"2017"	"Unintentional"	"1"	13	17722	Unreliable
	"Angelina County, TX"	"48005"	"1999"	"1999"	"Unintentional"	"1"	29	79611	36.4
	"Angelina County, TX"	"48005"	"2000"	"2000"	"Unintentional"	"1"	43	80130	53.7
	"Angelina County, TX"	"48005"	"2000"	"2000"	"Suicide"	"2"	10	80130	Unreliable
	"Angelina County, TX"	"48005"	"2001"	"2001"	"Unintentional"	"1"	49	80273	61.0
	"Angelina County, TX"	"48005"	"2001"	"2001"	"Suicide"	"2"	11	80273	Unreliable
	"Angelina County, TX"	"48005"	"2001"	"2001"	"Homicide"	"3"	12	80273	Unreliable
	"Angelina County, TX"	"48005"	"2002"	"2002"	"Unintentional"	"1"	43	80803	53.2
	"Angelina County, TX"	"48005"	"2002"	"2002"	"Suicide"	"2"	10	80803	Unreliable
	"Angelina County, TX"	"48005"	"2003"	"2003"	"Unintentional"	"1"	36	81510	44.2
	"Angelina County, TX"	"48005"	"2003"	"2003"	"Suicide"	"2"	11	81510	Unreliable
	"Angelina County, TX"	"48005"	"2004"	"2004"	"Unintentional"	"1"	46	82070	56.0
	"Angelina County, TX"	"48005"	"2005"	"2005"	"Unintentional"	"1"	38	82553	46.0
	"Angelina County, TX"	"48005"	"2006"	"2006"	"Unintentional"	"1"	32	83810	38.2
	"Angelina County, TX"	"48005"	"2007"	"2007"	"Unintentional"	"1"	45	84518	53.2
	"Angelina County, TX"	"48005"	"2007"	"2007"	"Suicide"	"2"	11	84518	Unreliable
	"Angelina County, TX"	"48005"	"2008"	"2008"	"Unintentional"	"1"	36	84961	42.4
	"Angelina County, TX"	"48005"	"2008"	"2008"	"Suicide"	"2"	12	84961	Unreliable
	"Angelina County, TX"	"48005"	"2009"	"2009"	"Unintentional"	"1"	35	86029	40.7
	"Angelina County, TX"	"48005"	"2009"	"2009"	"Suicide"	"2"	13	86029	Unreliable
	"Angelina County, TX"	"48005"	"2010"	"2010"	"Unintentional"	"1"	39	86771	44.9
	"Angelina County, TX"	"48005"	"2010"	"2010"	"Suicide"	"2"	19	86771	Unreliable
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Unintentional"	"1"	43	87669	49.0
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Suicide"	"2"	17	87669	Unreliable
	"Angelina County, TX"	"48005"	"2012"	"2012"	"Unintentional"	"1"	40	87597	45.7
	"Angelina County, TX"	"48005"	"2012"	"2012"	"Suicide"	"2"	11	87597	Unreliable
	"Angelina County, TX"	"48005"	"2013"	"2013"	"Unintentional"	"1"	48	87441	54.9
	"Angelina County, TX"	"48005"	"2014"	"2014"	"Unintentional"	"1"	39	87750	44.4
	"Angelina County, TX"	"48005"	"2014"	"2014"	"Suicide"	"2"	12	87750	Unreliable
	"Angelina County, TX"	"48005"	"2015"	"2015"	"Unintentional"	"1"	37	88255	41.9
	"Angelina County, TX"	"48005"	"2015"	"2015"	"Suicide"	"2"	17	88255	Unreliable
	"Angelina County, TX"	"48005"	"2016"	"2016"	"Unintentional"	"1"	41	87791	46.7
	"Angelina County, TX"	"48005"	"2017"	"2017"	"Unintentional"	"1"	48	87805	54.7
	"Angelina County, TX"	"48005"	"2017"	"2017"	"Suicide"	"2"	12	87805	Unreliable
	"Angelina County, TX"	"48005"	"2018"	"2018"	"Unintentional"	"1"	41	87092	47.1
	"Angelina County, TX"	"48005"	"2018"	"2018"	"Suicide"	"2"	15	87092	Unreliable
	"Archer County, TX"	"48009"	"2001"	"2001"	"Unintentional"	"1"	12	8849	Unreliable
	"Bee County, TX"	"48025"	"2000"	"2000"	"Unintentional"	"1"	18	32359	Unreliable
	"Bee County, TX"	"48025"	"2002"	"2002"	"Unintentional"	"1"	14	31804	Unreliable
	"Bee County, TX"	"48025"	"2003"	"2003"	"Unintentional"	"1"	12	32620	Unreliable
	"Bee County, TX"	"48025"	"2005"	"2005"	"Unintentional"	"1"	15	32101	Unreliable
	"Bee County, TX"	"48025"	"2006"	"2006"	"Unintentional"	"1"	12	31977	Unreliable
	"Bee County, TX"	"48025"	"2007"	"2007"	"Unintentional"	"1"	13	31936	Unreliable
	"Bee County, TX"	"48025"	"2008"	"2008"	"Unintentional"	"1"	18	31814	Unreliable
	"Bee County, TX"	"48025"	"2010"	"2010"	"Unintentional"	"1"	16	31861	Unreliable
	"Bee County, TX"	"48025"	"2012"	"2012"	"Unintentional"	"1"	19	32527	Unreliable
	"Bee County, TX"	"48025"	"2014"	"2014"	"Unintentional"	"1"	15	32863	Unreliable
	"Bee County, TX"	"48025"	"2015"	"2015"	"Unintentional"	"1"	11	32874	Unreliable
	"Bee County, TX"	"48025"	"2016"	"2016"	"Unintentional"	"1"	15	32750	Unreliable
