"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Box Elder County, UT"	"49003"	"1999"	"1999"	"Unintentional"	"1"	17	42378	Unreliable
	"Box Elder County, UT"	"49003"	"2000"	"2000"	"Unintentional"	"1"	17	42745	Unreliable
	"Box Elder County, UT"	"49003"	"2001"	"2001"	"Unintentional"	"1"	21	43362	48.4
	"Box Elder County, UT"	"49003"	"2002"	"2002"	"Unintentional"	"1"	14	44038	Unreliable
	"Box Elder County, UT"	"49003"	"2003"	"2003"	"Unintentional"	"1"	15	44548	Unreliable
	"Box Elder County, UT"	"49003"	"2003"	"2003"	"Suicide"	"2"	11	44548	Unreliable
	"Box Elder County, UT"	"49003"	"2004"	"2004"	"Unintentional"	"1"	16	44666	Unreliable
	"Box Elder County, UT"	"49003"	"2005"	"2005"	"Unintentional"	"1"	24	45090	53.2
	"Box Elder County, UT"	"49003"	"2005"	"2005"	"Suicide"	"2"	10	45090	Unreliable
	"Box Elder County, UT"	"49003"	"2006"	"2006"	"Unintentional"	"1"	15	45948	Unreliable
	"Box Elder County, UT"	"49003"	"2007"	"2007"	"Unintentional"	"1"	14	47193	Unreliable
	"Box Elder County, UT"	"49003"	"2008"	"2008"	"Unintentional"	"1"	14	48437	Unreliable
	"Box Elder County, UT"	"49003"	"2009"	"2009"	"Unintentional"	"1"	20	49372	40.5
	"Box Elder County, UT"	"49003"	"2009"	"2009"	"Suicide"	"2"	10	49372	Unreliable
	"Box Elder County, UT"	"49003"	"2010"	"2010"	"Unintentional"	"1"	20	49975	40.0
	"Box Elder County, UT"	"49003"	"2010"	"2010"	"Suicide"	"2"	11	49975	Unreliable
	"Box Elder County, UT"	"49003"	"2011"	"2011"	"Unintentional"	"1"	25	50290	49.7
	"Box Elder County, UT"	"49003"	"2011"	"2011"	"Suicide"	"2"	12	50290	Unreliable
	"Box Elder County, UT"	"49003"	"2012"	"2012"	"Unintentional"	"1"	21	50171	41.9
	"Box Elder County, UT"	"49003"	"2013"	"2013"	"Unintentional"	"1"	19	50794	Unreliable
	"Box Elder County, UT"	"49003"	"2014"	"2014"	"Unintentional"	"1"	24	51518	46.6
	"Box Elder County, UT"	"49003"	"2014"	"2014"	"Suicide"	"2"	14	51518	Unreliable
	"Box Elder County, UT"	"49003"	"2015"	"2015"	"Unintentional"	"1"	25	52097	48.0
	"Box Elder County, UT"	"49003"	"2015"	"2015"	"Suicide"	"2"	13	52097	Unreliable
	"Box Elder County, UT"	"49003"	"2016"	"2016"	"Unintentional"	"1"	29	53139	54.6
	"Box Elder County, UT"	"49003"	"2016"	"2016"	"Suicide"	"2"	13	53139	Unreliable
	"Box Elder County, UT"	"49003"	"2017"	"2017"	"Unintentional"	"1"	32	54079	59.2
	"Box Elder County, UT"	"49003"	"2017"	"2017"	"Suicide"	"2"	10	54079	Unreliable
	"Box Elder County, UT"	"49003"	"2018"	"2018"	"Unintentional"	"1"	32	54950	58.2
	"Box Elder County, UT"	"49003"	"2018"	"2018"	"Suicide"	"2"	13	54950	Unreliable
	"Cache County, UT"	"49005"	"1999"	"1999"	"Unintentional"	"1"	23	90299	25.5
	"Cache County, UT"	"49005"	"1999"	"1999"	"Suicide"	"2"	10	90299	Unreliable
	"Cache County, UT"	"49005"	"2000"	"2000"	"Unintentional"	"1"	26	91391	28.4
	"Cache County, UT"	"49005"	"2001"	"2001"	"Unintentional"	"1"	22	92831	23.7
	"Cache County, UT"	"49005"	"2001"	"2001"	"Suicide"	"2"	11	92831	Unreliable
	"Cache County, UT"	"49005"	"2002"	"2002"	"Unintentional"	"1"	24	95493	25.1
	"Cache County, UT"	"49005"	"2002"	"2002"	"Suicide"	"2"	17	95493	Unreliable
	"Cache County, UT"	"49005"	"2003"	"2003"	"Unintentional"	"1"	22	97101	22.7
	"Cache County, UT"	"49005"	"2004"	"2004"	"Unintentional"	"1"	25	98854	25.3
	"Cache County, UT"	"49005"	"2004"	"2004"	"Suicide"	"2"	12	98854	Unreliable
	"Cache County, UT"	"49005"	"2005"	"2005"	"Unintentional"	"1"	33	100501	32.8
	"Cache County, UT"	"49005"	"2006"	"2006"	"Unintentional"	"1"	29	101236	28.6
	"Cache County, UT"	"49005"	"2006"	"2006"	"Suicide"	"2"	12	101236	Unreliable
	"Cache County, UT"	"49005"	"2007"	"2007"	"Unintentional"	"1"	18	103624	Unreliable
	"Cache County, UT"	"49005"	"2008"	"2008"	"Unintentional"	"1"	26	106824	24.3
	"Cache County, UT"	"49005"	"2009"	"2009"	"Unintentional"	"1"	32	110291	29.0
	"Cache County, UT"	"49005"	"2009"	"2009"	"Suicide"	"2"	11	110291	Unreliable
	"Cache County, UT"	"49005"	"2010"	"2010"	"Unintentional"	"1"	28	112656	24.9
	"Cache County, UT"	"49005"	"2010"	"2010"	"Suicide"	"2"	13	112656	Unreliable
	"Cache County, UT"	"49005"	"2011"	"2011"	"Unintentional"	"1"	25	114699	21.8
	"Cache County, UT"	"49005"	"2011"	"2011"	"Suicide"	"2"	16	114699	Unreliable
	"Cache County, UT"	"49005"	"2012"	"2012"	"Unintentional"	"1"	21	115520	18.2
	"Cache County, UT"	"49005"	"2012"	"2012"	"Suicide"	"2"	17	115520	Unreliable
	"Cache County, UT"	"49005"	"2013"	"2013"	"Unintentional"	"1"	49	116909	41.9
	"Cache County, UT"	"49005"	"2013"	"2013"	"Suicide"	"2"	15	116909	Unreliable
	"Cache County, UT"	"49005"	"2014"	"2014"	"Unintentional"	"1"	41	118343	34.6
	"Cache County, UT"	"49005"	"2014"	"2014"	"Suicide"	"2"	18	118343	Unreliable
	"Cache County, UT"	"49005"	"2015"	"2015"	"Unintentional"	"1"	34	120783	28.1
	"Cache County, UT"	"49005"	"2015"	"2015"	"Suicide"	"2"	14	120783	Unreliable
	"Cache County, UT"	"49005"	"2016"	"2016"	"Unintentional"	"1"	47	122753	38.3
	"Cache County, UT"	"49005"	"2016"	"2016"	"Suicide"	"2"	21	122753	17.1
	"Cache County, UT"	"49005"	"2017"	"2017"	"Unintentional"	"1"	50	124438	40.2
	"Cache County, UT"	"49005"	"2017"	"2017"	"Suicide"	"2"	11	124438	Unreliable
	"Cache County, UT"	"49005"	"2018"	"2018"	"Unintentional"	"1"	40	127068	31.5
	"Cache County, UT"	"49005"	"2018"	"2018"	"Suicide"	"2"	24	127068	18.9
	"Carbon County, UT"	"49007"	"1999"	"1999"	"Unintentional"	"1"	10	20574	Unreliable
	"Carbon County, UT"	"49007"	"2000"	"2000"	"Unintentional"	"1"	10	20422	Unreliable
	"Carbon County, UT"	"49007"	"2005"	"2005"	"Unintentional"	"1"	12	19870	Unreliable
	"Carbon County, UT"	"49007"	"2007"	"2007"	"Unintentional"	"1"	19	20554	Unreliable
	"Carbon County, UT"	"49007"	"2008"	"2008"	"Unintentional"	"1"	16	20596	Unreliable
	"Carbon County, UT"	"49007"	"2010"	"2010"	"Unintentional"	"1"	17	21403	Unreliable
	"Carbon County, UT"	"49007"	"2011"	"2011"	"Unintentional"	"1"	21	21318	98.5
	"Carbon County, UT"	"49007"	"2012"	"2012"	"Unintentional"	"1"	10	21246	Unreliable
	"Carbon County, UT"	"49007"	"2013"	"2013"	"Unintentional"	"1"	19	20988	Unreliable
	"Carbon County, UT"	"49007"	"2013"	"2013"	"Suicide"	"2"	13	20988	Unreliable
	"Carbon County, UT"	"49007"	"2014"	"2014"	"Unintentional"	"1"	13	20660	Unreliable
	"Carbon County, UT"	"49007"	"2015"	"2015"	"Unintentional"	"1"	19	20479	Unreliable
	"Carbon County, UT"	"49007"	"2016"	"2016"	"Unintentional"	"1"	18	20399	Unreliable
	"Carbon County, UT"	"49007"	"2017"	"2017"	"Unintentional"	"1"	12	20295	Unreliable
	"Carbon County, UT"	"49007"	"2018"	"2018"	"Unintentional"	"1"	14	20269	Unreliable
	"Davis County, UT"	"49011"	"1999"	"1999"	"Unintentional"	"1"	49	235912	20.8
	"Davis County, UT"	"49011"	"1999"	"1999"	"Suicide"	"2"	24	235912	10.2
	"Davis County, UT"	"49011"	"1999"	"1999"	"Undetermined "	"4"	11	235912	Unreliable
	"Davis County, UT"	"49011"	"2000"	"2000"	"Unintentional"	"1"	46	238994	19.2
	"Davis County, UT"	"49011"	"2000"	"2000"	"Suicide"	"2"	37	238994	15.5
	"Davis County, UT"	"49011"	"2000"	"2000"	"Undetermined "	"4"	17	238994	Unreliable
	"Davis County, UT"	"49011"	"2001"	"2001"	"Unintentional"	"1"	58	244687	23.7
	"Davis County, UT"	"49011"	"2001"	"2001"	"Suicide"	"2"	30	244687	12.3
	"Davis County, UT"	"49011"	"2002"	"2002"	"Unintentional"	"1"	59	249676	23.6
	"Davis County, UT"	"49011"	"2002"	"2002"	"Suicide"	"2"	35	249676	14.0
	"Davis County, UT"	"49011"	"2002"	"2002"	"Undetermined "	"4"	20	249676	8.0
	"Davis County, UT"	"49011"	"2003"	"2003"	"Unintentional"	"1"	51	255582	20.0
	"Davis County, UT"	"49011"	"2003"	"2003"	"Suicide"	"2"	26	255582	10.2
	"Davis County, UT"	"49011"	"2003"	"2003"	"Undetermined "	"4"	22	255582	8.6
	"Davis County, UT"	"49011"	"2004"	"2004"	"Unintentional"	"1"	56	262189	21.4
	"Davis County, UT"	"49011"	"2004"	"2004"	"Suicide"	"2"	39	262189	14.9
	"Davis County, UT"	"49011"	"2004"	"2004"	"Undetermined "	"4"	18	262189	Unreliable
	"Davis County, UT"	"49011"	"2005"	"2005"	"Unintentional"	"1"	62	269208	23.0
	"Davis County, UT"	"49011"	"2005"	"2005"	"Suicide"	"2"	31	269208	11.5
	"Davis County, UT"	"49011"	"2005"	"2005"	"Undetermined "	"4"	23	269208	8.5
	"Davis County, UT"	"49011"	"2006"	"2006"	"Unintentional"	"1"	52	278800	18.7
	"Davis County, UT"	"49011"	"2006"	"2006"	"Suicide"	"2"	32	278800	11.5
	"Davis County, UT"	"49011"	"2006"	"2006"	"Undetermined "	"4"	30	278800	10.8
	"Davis County, UT"	"49011"	"2007"	"2007"	"Unintentional"	"1"	67	288236	23.2
	"Davis County, UT"	"49011"	"2007"	"2007"	"Suicide"	"2"	41	288236	14.2
	"Davis County, UT"	"49011"	"2007"	"2007"	"Undetermined "	"4"	30	288236	10.4
	"Davis County, UT"	"49011"	"2008"	"2008"	"Unintentional"	"1"	81	295801	27.4
	"Davis County, UT"	"49011"	"2008"	"2008"	"Suicide"	"2"	40	295801	13.5
	"Davis County, UT"	"49011"	"2008"	"2008"	"Undetermined "	"4"	29	295801	9.8
	"Davis County, UT"	"49011"	"2009"	"2009"	"Unintentional"	"1"	77	301965	25.5
	"Davis County, UT"	"49011"	"2009"	"2009"	"Suicide"	"2"	58	301965	19.2
	"Davis County, UT"	"49011"	"2009"	"2009"	"Undetermined "	"4"	19	301965	Unreliable
	"Davis County, UT"	"49011"	"2010"	"2010"	"Unintentional"	"1"	73	306479	23.8
	"Davis County, UT"	"49011"	"2010"	"2010"	"Suicide"	"2"	45	306479	14.7
	"Davis County, UT"	"49011"	"2010"	"2010"	"Undetermined "	"4"	13	306479	Unreliable
	"Davis County, UT"	"49011"	"2011"	"2011"	"Unintentional"	"1"	91	311811	29.2
	"Davis County, UT"	"49011"	"2011"	"2011"	"Suicide"	"2"	30	311811	9.6
	"Davis County, UT"	"49011"	"2012"	"2012"	"Unintentional"	"1"	109	315809	34.5
	"Davis County, UT"	"49011"	"2012"	"2012"	"Suicide"	"2"	51	315809	16.1
	"Davis County, UT"	"49011"	"2012"	"2012"	"Undetermined "	"4"	16	315809	Unreliable
	"Davis County, UT"	"49011"	"2013"	"2013"	"Unintentional"	"1"	103	322094	32.0
	"Davis County, UT"	"49011"	"2013"	"2013"	"Suicide"	"2"	50	322094	15.5
	"Davis County, UT"	"49011"	"2013"	"2013"	"Undetermined "	"4"	14	322094	Unreliable
	"Davis County, UT"	"49011"	"2014"	"2014"	"Unintentional"	"1"	115	329692	34.9
	"Davis County, UT"	"49011"	"2014"	"2014"	"Suicide"	"2"	48	329692	14.6
	"Davis County, UT"	"49011"	"2014"	"2014"	"Undetermined "	"4"	11	329692	Unreliable
	"Davis County, UT"	"49011"	"2015"	"2015"	"Unintentional"	"1"	104	336043	30.9
	"Davis County, UT"	"49011"	"2015"	"2015"	"Suicide"	"2"	45	336043	13.4
	"Davis County, UT"	"49011"	"2015"	"2015"	"Undetermined "	"4"	13	336043	Unreliable
	"Davis County, UT"	"49011"	"2016"	"2016"	"Unintentional"	"1"	131	342281	38.3
	"Davis County, UT"	"49011"	"2016"	"2016"	"Suicide"	"2"	57	342281	16.7
	"Davis County, UT"	"49011"	"2016"	"2016"	"Undetermined "	"4"	15	342281	Unreliable
	"Davis County, UT"	"49011"	"2017"	"2017"	"Unintentional"	"1"	100	347637	28.8
	"Davis County, UT"	"49011"	"2017"	"2017"	"Suicide"	"2"	74	347637	21.3
	"Davis County, UT"	"49011"	"2017"	"2017"	"Undetermined "	"4"	10	347637	Unreliable
	"Davis County, UT"	"49011"	"2018"	"2018"	"Unintentional"	"1"	101	351713	28.7
	"Davis County, UT"	"49011"	"2018"	"2018"	"Suicide"	"2"	68	351713	19.3
	"Duchesne County, UT"	"49013"	"2001"	"2001"	"Unintentional"	"1"	12	14652	Unreliable
	"Duchesne County, UT"	"49013"	"2002"	"2002"	"Unintentional"	"1"	16	14969	Unreliable
