"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Addison County, VT"	"50001"	"1999"	"1999"	"Unintentional"	"1"	20	35687	56.0
	"Addison County, VT"	"50001"	"2000"	"2000"	"Unintentional"	"1"	13	35974	Unreliable
	"Addison County, VT"	"50001"	"2001"	"2001"	"Unintentional"	"1"	18	36055	Unreliable
	"Addison County, VT"	"50001"	"2002"	"2002"	"Unintentional"	"1"	13	36320	Unreliable
	"Addison County, VT"	"50001"	"2003"	"2003"	"Unintentional"	"1"	14	36432	Unreliable
	"Addison County, VT"	"50001"	"2004"	"2004"	"Unintentional"	"1"	18	36580	Unreliable
	"Addison County, VT"	"50001"	"2005"	"2005"	"Unintentional"	"1"	13	36611	Unreliable
	"Addison County, VT"	"50001"	"2006"	"2006"	"Unintentional"	"1"	19	36758	Unreliable
	"Addison County, VT"	"50001"	"2007"	"2007"	"Unintentional"	"1"	14	36886	Unreliable
	"Addison County, VT"	"50001"	"2008"	"2008"	"Unintentional"	"1"	19	36905	Unreliable
	"Addison County, VT"	"50001"	"2009"	"2009"	"Unintentional"	"1"	18	36847	Unreliable
	"Addison County, VT"	"50001"	"2010"	"2010"	"Unintentional"	"1"	18	36821	Unreliable
	"Addison County, VT"	"50001"	"2011"	"2011"	"Unintentional"	"1"	17	36742	Unreliable
	"Addison County, VT"	"50001"	"2012"	"2012"	"Unintentional"	"1"	19	36745	Unreliable
	"Addison County, VT"	"50001"	"2013"	"2013"	"Unintentional"	"1"	21	36791	57.1
	"Addison County, VT"	"50001"	"2014"	"2014"	"Unintentional"	"1"	16	37009	Unreliable
	"Addison County, VT"	"50001"	"2015"	"2015"	"Unintentional"	"1"	16	37035	Unreliable
	"Addison County, VT"	"50001"	"2016"	"2016"	"Unintentional"	"1"	20	36959	54.1
	"Addison County, VT"	"50001"	"2017"	"2017"	"Unintentional"	"1"	17	36776	Unreliable
	"Addison County, VT"	"50001"	"2018"	"2018"	"Unintentional"	"1"	18	36973	Unreliable
	"Bennington County, VT"	"50003"	"1999"	"1999"	"Unintentional"	"1"	13	36927	Unreliable
	"Bennington County, VT"	"50003"	"2000"	"2000"	"Unintentional"	"1"	23	36994	62.2
	"Bennington County, VT"	"50003"	"2001"	"2001"	"Unintentional"	"1"	21	36974	56.8
	"Bennington County, VT"	"50003"	"2003"	"2003"	"Unintentional"	"1"	15	37083	Unreliable
	"Bennington County, VT"	"50003"	"2004"	"2004"	"Unintentional"	"1"	18	37062	Unreliable
	"Bennington County, VT"	"50003"	"2005"	"2005"	"Unintentional"	"1"	26	36960	70.3
	"Bennington County, VT"	"50003"	"2006"	"2006"	"Unintentional"	"1"	14	37127	Unreliable
	"Bennington County, VT"	"50003"	"2007"	"2007"	"Unintentional"	"1"	20	37077	53.9
	"Bennington County, VT"	"50003"	"2008"	"2008"	"Unintentional"	"1"	27	37168	72.6
	"Bennington County, VT"	"50003"	"2009"	"2009"	"Unintentional"	"1"	21	37151	56.5
	"Bennington County, VT"	"50003"	"2010"	"2010"	"Unintentional"	"1"	24	37125	64.6
	"Bennington County, VT"	"50003"	"2011"	"2011"	"Unintentional"	"1"	26	36970	70.3
	"Bennington County, VT"	"50003"	"2011"	"2011"	"Suicide"	"2"	14	36970	Unreliable
	"Bennington County, VT"	"50003"	"2012"	"2012"	"Unintentional"	"1"	19	36697	Unreliable
	"Bennington County, VT"	"50003"	"2013"	"2013"	"Unintentional"	"1"	24	36659	65.5
	"Bennington County, VT"	"50003"	"2014"	"2014"	"Unintentional"	"1"	24	36445	65.9
