"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Accomack County, VA"	"51001"	"1999"	"1999"	"Unintentional"	"1"	21	37614	55.8
	"Accomack County, VA"	"51001"	"2000"	"2000"	"Unintentional"	"1"	25	38305	65.3
	"Accomack County, VA"	"51001"	"2001"	"2001"	"Unintentional"	"1"	26	37742	68.9
	"Accomack County, VA"	"51001"	"2002"	"2002"	"Unintentional"	"1"	18	37308	Unreliable
	"Accomack County, VA"	"51001"	"2003"	"2003"	"Unintentional"	"1"	32	36742	87.1
	"Accomack County, VA"	"51001"	"2004"	"2004"	"Unintentional"	"1"	23	36310	63.3
	"Accomack County, VA"	"51001"	"2005"	"2005"	"Unintentional"	"1"	27	35835	75.3
	"Accomack County, VA"	"51001"	"2006"	"2006"	"Unintentional"	"1"	23	35192	65.4
	"Accomack County, VA"	"51001"	"2007"	"2007"	"Unintentional"	"1"	32	34553	92.6
	"Accomack County, VA"	"51001"	"2008"	"2008"	"Unintentional"	"1"	16	33970	Unreliable
	"Accomack County, VA"	"51001"	"2009"	"2009"	"Unintentional"	"1"	20	33415	59.9
	"Accomack County, VA"	"51001"	"2010"	"2010"	"Unintentional"	"1"	24	33164	72.4
	"Accomack County, VA"	"51001"	"2011"	"2011"	"Unintentional"	"1"	20	33336	60.0
	"Accomack County, VA"	"51001"	"2012"	"2012"	"Unintentional"	"1"	15	33341	Unreliable
	"Accomack County, VA"	"51001"	"2013"	"2013"	"Unintentional"	"1"	12	33148	Unreliable
	"Accomack County, VA"	"51001"	"2014"	"2014"	"Unintentional"	"1"	15	33021	Unreliable
	"Accomack County, VA"	"51001"	"2015"	"2015"	"Unintentional"	"1"	27	32973	81.9
	"Accomack County, VA"	"51001"	"2015"	"2015"	"Suicide"	"2"	10	32973	Unreliable
	"Accomack County, VA"	"51001"	"2016"	"2016"	"Unintentional"	"1"	14	32947	Unreliable
	"Accomack County, VA"	"51001"	"2017"	"2017"	"Unintentional"	"1"	13	32545	Unreliable
	"Accomack County, VA"	"51001"	"2018"	"2018"	"Unintentional"	"1"	23	32412	71.0
	"Albemarle County, VA"	"51003"	"1999"	"1999"	"Unintentional"	"1"	21	78631	26.7
	"Albemarle County, VA"	"51003"	"2000"	"2000"	"Unintentional"	"1"	22	79236	27.8
	"Albemarle County, VA"	"51003"	"2000"	"2000"	"Suicide"	"2"	13	79236	Unreliable
	"Albemarle County, VA"	"51003"	"2001"	"2001"	"Suicide"	"2"	10	85002	Unreliable
	"Albemarle County, VA"	"51003"	"2002"	"2002"	"Unintentional"	"1"	25	86150	29.0
	"Albemarle County, VA"	"51003"	"2003"	"2003"	"Unintentional"	"1"	31	87620	35.4
	"Albemarle County, VA"	"51003"	"2003"	"2003"	"Suicide"	"2"	11	87620	Unreliable
	"Albemarle County, VA"	"51003"	"2004"	"2004"	"Unintentional"	"1"	27	89491	30.2
	"Albemarle County, VA"	"51003"	"2004"	"2004"	"Suicide"	"2"	13	89491	Unreliable
	"Albemarle County, VA"	"51003"	"2005"	"2005"	"Unintentional"	"1"	29	91676	31.6
	"Albemarle County, VA"	"51003"	"2006"	"2006"	"Unintentional"	"1"	30	93852	32.0
	"Albemarle County, VA"	"51003"	"2007"	"2007"	"Unintentional"	"1"	36	95009	37.9
	"Albemarle County, VA"	"51003"	"2007"	"2007"	"Suicide"	"2"	11	95009	Unreliable
	"Albemarle County, VA"	"51003"	"2008"	"2008"	"Unintentional"	"1"	41	97081	42.2
	"Albemarle County, VA"	"51003"	"2009"	"2009"	"Unintentional"	"1"	33	98071	33.6
	"Albemarle County, VA"	"51003"	"2009"	"2009"	"Suicide"	"2"	13	98071	Unreliable
	"Albemarle County, VA"	"51003"	"2010"	"2010"	"Unintentional"	"1"	37	98970	37.4
	"Albemarle County, VA"	"51003"	"2011"	"2011"	"Unintentional"	"1"	36	100553	35.8
	"Albemarle County, VA"	"51003"	"2011"	"2011"	"Suicide"	"2"	12	100553	Unreliable
	"Albemarle County, VA"	"51003"	"2012"	"2012"	"Unintentional"	"1"	27	102251	26.4
	"Albemarle County, VA"	"51003"	"2013"	"2013"	"Unintentional"	"1"	33	103000	32.0
	"Albemarle County, VA"	"51003"	"2013"	"2013"	"Suicide"	"2"	13	103000	Unreliable
