"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, WA"	"53001"	"2001"	"2001"	"Unintentional"	"1"	17	16259	Unreliable
	"Adams County, WA"	"53001"	"2002"	"2002"	"Unintentional"	"1"	11	16445	Unreliable
	"Adams County, WA"	"53001"	"2003"	"2003"	"Unintentional"	"1"	10	16612	Unreliable
	"Adams County, WA"	"53001"	"2008"	"2008"	"Unintentional"	"1"	11	17782	Unreliable
	"Adams County, WA"	"53001"	"2010"	"2010"	"Unintentional"	"1"	10	18728	Unreliable
	"Adams County, WA"	"53001"	"2016"	"2016"	"Unintentional"	"1"	11	19238	Unreliable
	"Asotin County, WA"	"53003"	"1999"	"1999"	"Unintentional"	"1"	13	20560	Unreliable
	"Asotin County, WA"	"53003"	"2000"	"2000"	"Unintentional"	"1"	11	20551	Unreliable
	"Asotin County, WA"	"53003"	"2002"	"2002"	"Unintentional"	"1"	13	20490	Unreliable
	"Asotin County, WA"	"53003"	"2003"	"2003"	"Unintentional"	"1"	11	20487	Unreliable
	"Asotin County, WA"	"53003"	"2006"	"2006"	"Unintentional"	"1"	14	21133	Unreliable
	"Asotin County, WA"	"53003"	"2007"	"2007"	"Unintentional"	"1"	12	21188	Unreliable
	"Asotin County, WA"	"53003"	"2009"	"2009"	"Unintentional"	"1"	15	21415	Unreliable
	"Asotin County, WA"	"53003"	"2010"	"2010"	"Unintentional"	"1"	12	21623	Unreliable
	"Asotin County, WA"	"53003"	"2011"	"2011"	"Unintentional"	"1"	14	21933	Unreliable
	"Asotin County, WA"	"53003"	"2012"	"2012"	"Unintentional"	"1"	16	21888	Unreliable
	"Asotin County, WA"	"53003"	"2013"	"2013"	"Unintentional"	"1"	10	22110	Unreliable
	"Asotin County, WA"	"53003"	"2014"	"2014"	"Unintentional"	"1"	12	22189	Unreliable
	"Asotin County, WA"	"53003"	"2016"	"2016"	"Unintentional"	"1"	10	22306	Unreliable
	"Asotin County, WA"	"53003"	"2017"	"2017"	"Unintentional"	"1"	14	22535	Unreliable
	"Asotin County, WA"	"53003"	"2018"	"2018"	"Unintentional"	"1"	15	22610	Unreliable
	"Benton County, WA"	"53005"	"1999"	"1999"	"Unintentional"	"1"	34	140629	24.2
	"Benton County, WA"	"53005"	"1999"	"1999"	"Suicide"	"2"	19	140629	Unreliable
	"Benton County, WA"	"53005"	"2000"	"2000"	"Unintentional"	"1"	54	142475	37.9
	"Benton County, WA"	"53005"	"2000"	"2000"	"Suicide"	"2"	14	142475	Unreliable
	"Benton County, WA"	"53005"	"2001"	"2001"	"Unintentional"	"1"	53	145909	36.3
	"Benton County, WA"	"53005"	"2001"	"2001"	"Suicide"	"2"	18	145909	Unreliable
	"Benton County, WA"	"53005"	"2002"	"2002"	"Unintentional"	"1"	52	150323	34.6
	"Benton County, WA"	"53005"	"2002"	"2002"	"Suicide"	"2"	15	150323	Unreliable
	"Benton County, WA"	"53005"	"2003"	"2003"	"Unintentional"	"1"	48	153596	31.3
	"Benton County, WA"	"53005"	"2003"	"2003"	"Suicide"	"2"	23	153596	15.0
	"Benton County, WA"	"53005"	"2004"	"2004"	"Unintentional"	"1"	59	155689	37.9
	"Benton County, WA"	"53005"	"2004"	"2004"	"Suicide"	"2"	23	155689	14.8
	"Benton County, WA"	"53005"	"2005"	"2005"	"Unintentional"	"1"	45	157726	28.5
	"Benton County, WA"	"53005"	"2005"	"2005"	"Suicide"	"2"	10	157726	Unreliable
	"Benton County, WA"	"53005"	"2005"	"2005"	"Homicide"	"3"	10	157726	Unreliable
	"Benton County, WA"	"53005"	"2006"	"2006"	"Unintentional"	"1"	67	159564	42.0
	"Benton County, WA"	"53005"	"2006"	"2006"	"Suicide"	"2"	19	159564	Unreliable
	"Benton County, WA"	"53005"	"2007"	"2007"	"Unintentional"	"1"	60	161669	37.1
	"Benton County, WA"	"53005"	"2007"	"2007"	"Suicide"	"2"	19	161669	Unreliable
	"Benton County, WA"	"53005"	"2008"	"2008"	"Unintentional"	"1"	43	166573	25.8
	"Benton County, WA"	"53005"	"2008"	"2008"	"Suicide"	"2"	22	166573	13.2
	"Benton County, WA"	"53005"	"2009"	"2009"	"Unintentional"	"1"	67	171122	39.2
	"Benton County, WA"	"53005"	"2009"	"2009"	"Suicide"	"2"	26	171122	15.2
	"Benton County, WA"	"53005"	"2010"	"2010"	"Unintentional"	"1"	56	175177	32.0
	"Benton County, WA"	"53005"	"2010"	"2010"	"Suicide"	"2"	17	175177	Unreliable
