"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Barbour County, WV"	"54001"	"2000"	"2000"	"Unintentional"	"1"	10	15557	Unreliable
	"Barbour County, WV"	"54001"	"2002"	"2002"	"Unintentional"	"1"	11	15569	Unreliable
	"Barbour County, WV"	"54001"	"2004"	"2004"	"Unintentional"	"1"	12	15629	Unreliable
	"Barbour County, WV"	"54001"	"2005"	"2005"	"Unintentional"	"1"	11	15722	Unreliable
	"Barbour County, WV"	"54001"	"2006"	"2006"	"Unintentional"	"1"	13	15922	Unreliable
	"Barbour County, WV"	"54001"	"2007"	"2007"	"Unintentional"	"1"	12	16036	Unreliable
	"Barbour County, WV"	"54001"	"2012"	"2012"	"Unintentional"	"1"	17	16493	Unreliable
	"Barbour County, WV"	"54001"	"2013"	"2013"	"Unintentional"	"1"	10	16770	Unreliable
	"Barbour County, WV"	"54001"	"2014"	"2014"	"Unintentional"	"1"	14	16766	Unreliable
	"Barbour County, WV"	"54001"	"2016"	"2016"	"Unintentional"	"1"	14	16831	Unreliable
	"Barbour County, WV"	"54001"	"2017"	"2017"	"Unintentional"	"1"	14	16497	Unreliable
	"Berkeley County, WV"	"54003"	"1999"	"1999"	"Unintentional"	"1"	24	74366	32.3
	"Berkeley County, WV"	"54003"	"2000"	"2000"	"Unintentional"	"1"	33	75905	43.5
	"Berkeley County, WV"	"54003"	"2001"	"2001"	"Unintentional"	"1"	39	78428	49.7
	"Berkeley County, WV"	"54003"	"2001"	"2001"	"Suicide"	"2"	18	78428	Unreliable
	"Berkeley County, WV"	"54003"	"2002"	"2002"	"Unintentional"	"1"	43	80875	53.2
	"Berkeley County, WV"	"54003"	"2002"	"2002"	"Suicide"	"2"	11	80875	Unreliable
	"Berkeley County, WV"	"54003"	"2003"	"2003"	"Unintentional"	"1"	48	84524	56.8
	"Berkeley County, WV"	"54003"	"2003"	"2003"	"Suicide"	"2"	13	84524	Unreliable
	"Berkeley County, WV"	"54003"	"2004"	"2004"	"Unintentional"	"1"	53	88258	60.1
	"Berkeley County, WV"	"54003"	"2004"	"2004"	"Suicide"	"2"	11	88258	Unreliable
	"Berkeley County, WV"	"54003"	"2005"	"2005"	"Unintentional"	"1"	38	92114	41.3
	"Berkeley County, WV"	"54003"	"2005"	"2005"	"Suicide"	"2"	13	92114	Unreliable
	"Berkeley County, WV"	"54003"	"2006"	"2006"	"Unintentional"	"1"	52	96318	54.0
	"Berkeley County, WV"	"54003"	"2006"	"2006"	"Suicide"	"2"	13	96318	Unreliable
	"Berkeley County, WV"	"54003"	"2007"	"2007"	"Unintentional"	"1"	42	99132	42.4
	"Berkeley County, WV"	"54003"	"2007"	"2007"	"Suicide"	"2"	12	99132	Unreliable
	"Berkeley County, WV"	"54003"	"2008"	"2008"	"Unintentional"	"1"	50	101629	49.2
	"Berkeley County, WV"	"54003"	"2009"	"2009"	"Unintentional"	"1"	51	102830	49.6
	"Berkeley County, WV"	"54003"	"2009"	"2009"	"Suicide"	"2"	10	102830	Unreliable
	"Berkeley County, WV"	"54003"	"2010"	"2010"	"Unintentional"	"1"	50	104169	48.0
	"Berkeley County, WV"	"54003"	"2010"	"2010"	"Suicide"	"2"	11	104169	Unreliable
	"Berkeley County, WV"	"54003"	"2011"	"2011"	"Unintentional"	"1"	62	105750	58.6
	"Berkeley County, WV"	"54003"	"2011"	"2011"	"Suicide"	"2"	21	105750	19.9
	"Berkeley County, WV"	"54003"	"2012"	"2012"	"Unintentional"	"1"	68	107098	63.5
	"Berkeley County, WV"	"54003"	"2012"	"2012"	"Suicide"	"2"	20	107098	18.7
	"Berkeley County, WV"	"54003"	"2013"	"2013"	"Unintentional"	"1"	91	108706	83.7
	"Berkeley County, WV"	"54003"	"2013"	"2013"	"Suicide"	"2"	17	108706	Unreliable
	"Berkeley County, WV"	"54003"	"2014"	"2014"	"Unintentional"	"1"	83	110497	75.1
	"Berkeley County, WV"	"54003"	"2014"	"2014"	"Suicide"	"2"	27	110497	24.4
	"Berkeley County, WV"	"54003"	"2015"	"2015"	"Unintentional"	"1"	80	111901	71.5
	"Berkeley County, WV"	"54003"	"2015"	"2015"	"Suicide"	"2"	18	111901	Unreliable
	"Berkeley County, WV"	"54003"	"2016"	"2016"	"Unintentional"	"1"	118	113525	103.9
	"Berkeley County, WV"	"54003"	"2016"	"2016"	"Suicide"	"2"	24	113525	21.1
	"Berkeley County, WV"	"54003"	"2017"	"2017"	"Unintentional"	"1"	142	114920	123.6
	"Berkeley County, WV"	"54003"	"2017"	"2017"	"Suicide"	"2"	23	114920	20.0
	"Berkeley County, WV"	"54003"	"2017"	"2017"	"Homicide"	"3"	11	114920	Unreliable
	"Berkeley County, WV"	"54003"	"2018"	"2018"	"Unintentional"	"1"	110	117123	93.9
	"Berkeley County, WV"	"54003"	"2018"	"2018"	"Suicide"	"2"	23	117123	19.6
	"Boone County, WV"	"54005"	"1999"	"1999"	"Unintentional"	"1"	16	25640	Unreliable
	"Boone County, WV"	"54005"	"2000"	"2000"	"Unintentional"	"1"	16	25535	Unreliable
	"Boone County, WV"	"54005"	"2001"	"2001"	"Unintentional"	"1"	12	25372	Unreliable
	"Boone County, WV"	"54005"	"2002"	"2002"	"Unintentional"	"1"	18	25505	Unreliable
	"Boone County, WV"	"54005"	"2003"	"2003"	"Unintentional"	"1"	25	25545	97.9
	"Boone County, WV"	"54005"	"2004"	"2004"	"Unintentional"	"1"	27	25455	106.1
	"Boone County, WV"	"54005"	"2005"	"2005"	"Unintentional"	"1"	18	25311	Unreliable
	"Boone County, WV"	"54005"	"2006"	"2006"	"Unintentional"	"1"	29	25101	115.5
	"Boone County, WV"	"54005"	"2007"	"2007"	"Unintentional"	"1"	27	25115	107.5
	"Boone County, WV"	"54005"	"2008"	"2008"	"Unintentional"	"1"	30	24794	121.0
	"Boone County, WV"	"54005"	"2009"	"2009"	"Unintentional"	"1"	17	24766	Unreliable
	"Boone County, WV"	"54005"	"2010"	"2010"	"Unintentional"	"1"	38	24629	154.3
	"Boone County, WV"	"54005"	"2011"	"2011"	"Unintentional"	"1"	35	24444	143.2
	"Boone County, WV"	"54005"	"2012"	"2012"	"Unintentional"	"1"	28	24478	114.4
	"Boone County, WV"	"54005"	"2013"	"2013"	"Unintentional"	"1"	28	24224	115.6
	"Boone County, WV"	"54005"	"2014"	"2014"	"Unintentional"	"1"	46	23714	194.0
	"Boone County, WV"	"54005"	"2015"	"2015"	"Unintentional"	"1"	21	23372	89.9
	"Boone County, WV"	"54005"	"2016"	"2016"	"Unintentional"	"1"	17	22816	Unreliable
	"Boone County, WV"	"54005"	"2017"	"2017"	"Unintentional"	"1"	30	22349	134.2
	"Boone County, WV"	"54005"	"2018"	"2018"	"Unintentional"	"1"	37	21951	168.6
	"Braxton County, WV"	"54007"	"2002"	"2002"	"Unintentional"	"1"	12	14667	Unreliable
	"Braxton County, WV"	"54007"	"2004"	"2004"	"Unintentional"	"1"	15	14696	Unreliable
	"Braxton County, WV"	"54007"	"2006"	"2006"	"Unintentional"	"1"	10	14585	Unreliable
	"Braxton County, WV"	"54007"	"2008"	"2008"	"Unintentional"	"1"	13	14587	Unreliable
	"Braxton County, WV"	"54007"	"2010"	"2010"	"Unintentional"	"1"	10	14523	Unreliable
	"Braxton County, WV"	"54007"	"2011"	"2011"	"Unintentional"	"1"	14	14485	Unreliable
	"Braxton County, WV"	"54007"	"2012"	"2012"	"Unintentional"	"1"	13	14468	Unreliable
	"Braxton County, WV"	"54007"	"2014"	"2014"	"Unintentional"	"1"	12	14463	Unreliable
	"Braxton County, WV"	"54007"	"2015"	"2015"	"Unintentional"	"1"	13	14415	Unreliable
	"Braxton County, WV"	"54007"	"2016"	"2016"	"Unintentional"	"1"	13	14471	Unreliable
	"Braxton County, WV"	"54007"	"2018"	"2018"	"Unintentional"	"1"	23	14089	163.2
	"Brooke County, WV"	"54009"	"2003"	"2003"	"Unintentional"	"1"	13	25094	Unreliable
	"Brooke County, WV"	"54009"	"2004"	"2004"	"Unintentional"	"1"	15	24867	Unreliable
	"Brooke County, WV"	"54009"	"2007"	"2007"	"Unintentional"	"1"	18	24235	Unreliable
	"Brooke County, WV"	"54009"	"2008"	"2008"	"Unintentional"	"1"	16	24168	Unreliable
	"Brooke County, WV"	"54009"	"2009"	"2009"	"Unintentional"	"1"	17	24153	Unreliable
	"Brooke County, WV"	"54009"	"2010"	"2010"	"Unintentional"	"1"	20	24069	83.1
	"Brooke County, WV"	"54009"	"2011"	"2011"	"Unintentional"	"1"	22	23844	92.3
	"Brooke County, WV"	"54009"	"2012"	"2012"	"Unintentional"	"1"	14	23853	Unreliable
	"Brooke County, WV"	"54009"	"2013"	"2013"	"Unintentional"	"1"	16	23737	Unreliable
	"Brooke County, WV"	"54009"	"2014"	"2014"	"Unintentional"	"1"	21	23530	89.2
	"Brooke County, WV"	"54009"	"2015"	"2015"	"Unintentional"	"1"	16	23350	Unreliable
	"Brooke County, WV"	"54009"	"2016"	"2016"	"Unintentional"	"1"	19	22977	Unreliable
	"Brooke County, WV"	"54009"	"2017"	"2017"	"Unintentional"	"1"	18	22443	Unreliable
	"Brooke County, WV"	"54009"	"2018"	"2018"	"Unintentional"	"1"	17	22203	Unreliable
	"Cabell County, WV"	"54011"	"1999"	"1999"	"Unintentional"	"1"	41	96987	42.3
	"Cabell County, WV"	"54011"	"2000"	"2000"	"Unintentional"	"1"	45	96784	46.5
	"Cabell County, WV"	"54011"	"2000"	"2000"	"Suicide"	"2"	13	96784	Unreliable
	"Cabell County, WV"	"54011"	"2001"	"2001"	"Unintentional"	"1"	38	96035	39.6
	"Cabell County, WV"	"54011"	"2001"	"2001"	"Suicide"	"2"	12	96035	Unreliable
	"Cabell County, WV"	"54011"	"2002"	"2002"	"Unintentional"	"1"	50	95741	52.2
	"Cabell County, WV"	"54011"	"2002"	"2002"	"Suicide"	"2"	15	95741	Unreliable
	"Cabell County, WV"	"54011"	"2003"	"2003"	"Unintentional"	"1"	61	95554	63.8
	"Cabell County, WV"	"54011"	"2003"	"2003"	"Suicide"	"2"	11	95554	Unreliable
	"Cabell County, WV"	"54011"	"2004"	"2004"	"Unintentional"	"1"	63	95239	66.1
	"Cabell County, WV"	"54011"	"2004"	"2004"	"Suicide"	"2"	14	95239	Unreliable
	"Cabell County, WV"	"54011"	"2005"	"2005"	"Unintentional"	"1"	47	94821	49.6
	"Cabell County, WV"	"54011"	"2005"	"2005"	"Suicide"	"2"	15	94821	Unreliable
	"Cabell County, WV"	"54011"	"2006"	"2006"	"Unintentional"	"1"	66	94943	69.5
	"Cabell County, WV"	"54011"	"2006"	"2006"	"Suicide"	"2"	10	94943	Unreliable
	"Cabell County, WV"	"54011"	"2007"	"2007"	"Unintentional"	"1"	109	95059	114.7
	"Cabell County, WV"	"54011"	"2007"	"2007"	"Suicide"	"2"	13	95059	Unreliable
	"Cabell County, WV"	"54011"	"2008"	"2008"	"Unintentional"	"1"	62	95209	65.1
	"Cabell County, WV"	"54011"	"2008"	"2008"	"Suicide"	"2"	15	95209	Unreliable
	"Cabell County, WV"	"54011"	"2009"	"2009"	"Unintentional"	"1"	41	96040	42.7
	"Cabell County, WV"	"54011"	"2009"	"2009"	"Suicide"	"2"	10	96040	Unreliable
	"Cabell County, WV"	"54011"	"2010"	"2010"	"Unintentional"	"1"	67	96319	69.6
	"Cabell County, WV"	"54011"	"2010"	"2010"	"Suicide"	"2"	14	96319	Unreliable
	"Cabell County, WV"	"54011"	"2011"	"2011"	"Unintentional"	"1"	77	96653	79.7
	"Cabell County, WV"	"54011"	"2011"	"2011"	"Suicide"	"2"	16	96653	Unreliable
	"Cabell County, WV"	"54011"	"2012"	"2012"	"Unintentional"	"1"	63	96974	65.0
	"Cabell County, WV"	"54011"	"2012"	"2012"	"Suicide"	"2"	12	96974	Unreliable
	"Cabell County, WV"	"54011"	"2013"	"2013"	"Unintentional"	"1"	93	97133	95.7
	"Cabell County, WV"	"54011"	"2014"	"2014"	"Unintentional"	"1"	85	97109	87.5
	"Cabell County, WV"	"54011"	"2014"	"2014"	"Suicide"	"2"	19	97109	Unreliable
	"Cabell County, WV"	"54011"	"2015"	"2015"	"Unintentional"	"1"	122	96844	126.0
	"Cabell County, WV"	"54011"	"2015"	"2015"	"Suicide"	"2"	21	96844	21.7
	"Cabell County, WV"	"54011"	"2016"	"2016"	"Unintentional"	"1"	145	95987	151.1
	"Cabell County, WV"	"54011"	"2016"	"2016"	"Suicide"	"2"	21	95987	21.9
	"Cabell County, WV"	"54011"	"2016"	"2016"	"Homicide"	"3"	12	95987	Unreliable
	"Cabell County, WV"	"54011"	"2017"	"2017"	"Unintentional"	"1"	202	94958	212.7
	"Cabell County, WV"	"54011"	"2017"	"2017"	"Suicide"	"2"	20	94958	21.1
	"Cabell County, WV"	"54011"	"2017"	"2017"	"Homicide"	"3"	17	94958	Unreliable
	"Cabell County, WV"	"54011"	"2018"	"2018"	"Unintentional"	"1"	165	93224	177.0
	"Cabell County, WV"	"54011"	"2018"	"2018"	"Suicide"	"2"	13	93224	Unreliable
	"Calhoun County, WV"	"54013"	"2003"	"2003"	"Unintentional"	"1"	13	7409	Unreliable
	"Clay County, WV"	"54015"	"2004"	"2004"	"Unintentional"	"1"	11	10055	Unreliable
	"Clay County, WV"	"54015"	"2007"	"2007"	"Unintentional"	"1"	11	9696	Unreliable
	"Clay County, WV"	"54015"	"2018"	"2018"	"Unintentional"	"1"	13	8632	Unreliable
	"Doddridge County, WV"	"54017"	"2000"	"2000"	"Unintentional"	"1"	10	7403	Unreliable
	"Fayette County, WV"	"54019"	"1999"	"1999"	"Unintentional"	"1"	19	47817	Unreliable
	"Fayette County, WV"	"54019"	"1999"	"1999"	"Suicide"	"2"	10	47817	Unreliable
	"Fayette County, WV"	"54019"	"2000"	"2000"	"Unintentional"	"1"	28	47579	58.8
	"Fayette County, WV"	"54019"	"2001"	"2001"	"Unintentional"	"1"	28	47067	59.5
	"Fayette County, WV"	"54019"	"2002"	"2002"	"Unintentional"	"1"	27	46935	57.5
	"Fayette County, WV"	"54019"	"2003"	"2003"	"Unintentional"	"1"	18	47054	Unreliable
	"Fayette County, WV"	"54019"	"2004"	"2004"	"Unintentional"	"1"	23	46717	49.2
	"Fayette County, WV"	"54019"	"2004"	"2004"	"Suicide"	"2"	10	46717	Unreliable
	"Fayette County, WV"	"54019"	"2005"	"2005"	"Unintentional"	"1"	28	46229	60.6
	"Fayette County, WV"	"54019"	"2006"	"2006"	"Unintentional"	"1"	41	46200	88.7
	"Fayette County, WV"	"54019"	"2007"	"2007"	"Unintentional"	"1"	37	46243	80.0
	"Fayette County, WV"	"54019"	"2007"	"2007"	"Suicide"	"2"	10	46243	Unreliable
	"Fayette County, WV"	"54019"	"2008"	"2008"	"Unintentional"	"1"	40	46171	86.6
	"Fayette County, WV"	"54019"	"2009"	"2009"	"Unintentional"	"1"	33	46034	71.7
	"Fayette County, WV"	"54019"	"2010"	"2010"	"Unintentional"	"1"	35	46039	76.0
	"Fayette County, WV"	"54019"	"2010"	"2010"	"Suicide"	"2"	14	46039	Unreliable
	"Fayette County, WV"	"54019"	"2011"	"2011"	"Unintentional"	"1"	38	45699	83.2
	"Fayette County, WV"	"54019"	"2012"	"2012"	"Unintentional"	"1"	52	45869	113.4
	"Fayette County, WV"	"54019"	"2013"	"2013"	"Unintentional"	"1"	47	45599	103.1
