"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Adams County, WI"	"55001"	"1999"	"1999"	"Unintentional"	"1"	13	18462	Unreliable
	"Adams County, WI"	"55001"	"2000"	"2000"	"Unintentional"	"1"	19	18643	Unreliable
	"Adams County, WI"	"55001"	"2001"	"2001"	"Unintentional"	"1"	12	20337	Unreliable
	"Adams County, WI"	"55001"	"2002"	"2002"	"Unintentional"	"1"	13	20578	Unreliable
	"Adams County, WI"	"55001"	"2003"	"2003"	"Unintentional"	"1"	13	20644	Unreliable
	"Adams County, WI"	"55001"	"2004"	"2004"	"Unintentional"	"1"	12	20774	Unreliable
	"Adams County, WI"	"55001"	"2005"	"2005"	"Unintentional"	"1"	14	21211	Unreliable
	"Adams County, WI"	"55001"	"2006"	"2006"	"Unintentional"	"1"	10	21185	Unreliable
	"Adams County, WI"	"55001"	"2008"	"2008"	"Unintentional"	"1"	13	21101	Unreliable
	"Adams County, WI"	"55001"	"2009"	"2009"	"Unintentional"	"1"	13	20930	Unreliable
	"Adams County, WI"	"55001"	"2011"	"2011"	"Unintentional"	"1"	12	20733	Unreliable
	"Adams County, WI"	"55001"	"2012"	"2012"	"Unintentional"	"1"	19	20679	Unreliable
	"Adams County, WI"	"55001"	"2013"	"2013"	"Unintentional"	"1"	19	20480	Unreliable
	"Adams County, WI"	"55001"	"2014"	"2014"	"Unintentional"	"1"	28	20215	138.5
	"Adams County, WI"	"55001"	"2015"	"2015"	"Unintentional"	"1"	11	20148	Unreliable
	"Adams County, WI"	"55001"	"2015"	"2015"	"Suicide"	"2"	10	20148	Unreliable
	"Adams County, WI"	"55001"	"2016"	"2016"	"Unintentional"	"1"	16	20069	Unreliable
	"Adams County, WI"	"55001"	"2017"	"2017"	"Unintentional"	"1"	24	19973	120.2
	"Adams County, WI"	"55001"	"2018"	"2018"	"Unintentional"	"1"	20	20348	98.3
	"Ashland County, WI"	"55003"	"2000"	"2000"	"Unintentional"	"1"	11	16866	Unreliable
	"Ashland County, WI"	"55003"	"2001"	"2001"	"Unintentional"	"1"	10	16773	Unreliable
	"Ashland County, WI"	"55003"	"2005"	"2005"	"Unintentional"	"1"	10	16407	Unreliable
	"Ashland County, WI"	"55003"	"2008"	"2008"	"Unintentional"	"1"	12	16145	Unreliable
	"Ashland County, WI"	"55003"	"2014"	"2014"	"Unintentional"	"1"	10	16103	Unreliable
	"Ashland County, WI"	"55003"	"2016"	"2016"	"Unintentional"	"1"	14	15714	Unreliable
	"Ashland County, WI"	"55003"	"2017"	"2017"	"Unintentional"	"1"	11	15500	Unreliable
	"Ashland County, WI"	"55003"	"2018"	"2018"	"Unintentional"	"1"	13	15600	Unreliable
	"Barron County, WI"	"55005"	"1999"	"1999"	"Unintentional"	"1"	33	44705	73.8
	"Barron County, WI"	"55005"	"2000"	"2000"	"Unintentional"	"1"	20	44963	44.5
	"Barron County, WI"	"55005"	"2001"	"2001"	"Unintentional"	"1"	19	45225	Unreliable
	"Barron County, WI"	"55005"	"2002"	"2002"	"Unintentional"	"1"	21	45515	46.1
	"Barron County, WI"	"55005"	"2003"	"2003"	"Unintentional"	"1"	23	45601	50.4
	"Barron County, WI"	"55005"	"2004"	"2004"	"Unintentional"	"1"	23	45804	50.2
	"Barron County, WI"	"55005"	"2005"	"2005"	"Unintentional"	"1"	23	45808	50.2
	"Barron County, WI"	"55005"	"2006"	"2006"	"Unintentional"	"1"	21	45968	45.7
