"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Albany County, WY"	"56001"	"1999"	"1999"	"Unintentional"	"1"	16	32192	Unreliable
	"Albany County, WY"	"56001"	"2000"	"2000"	"Unintentional"	"1"	11	32014	Unreliable
	"Albany County, WY"	"56001"	"2001"	"2001"	"Unintentional"	"1"	13	32419	Unreliable
	"Albany County, WY"	"56001"	"2002"	"2002"	"Unintentional"	"1"	14	32675	Unreliable
	"Albany County, WY"	"56001"	"2003"	"2003"	"Unintentional"	"1"	13	33098	Unreliable
	"Albany County, WY"	"56001"	"2004"	"2004"	"Unintentional"	"1"	12	33580	Unreliable
	"Albany County, WY"	"56001"	"2005"	"2005"	"Unintentional"	"1"	11	33631	Unreliable
	"Albany County, WY"	"56001"	"2006"	"2006"	"Unintentional"	"1"	15	33950	Unreliable
	"Albany County, WY"	"56001"	"2008"	"2008"	"Unintentional"	"1"	14	34643	Unreliable
	"Albany County, WY"	"56001"	"2009"	"2009"	"Unintentional"	"1"	12	35743	Unreliable
	"Albany County, WY"	"56001"	"2010"	"2010"	"Unintentional"	"1"	12	36299	Unreliable
	"Albany County, WY"	"56001"	"2011"	"2011"	"Unintentional"	"1"	14	36889	Unreliable
	"Albany County, WY"	"56001"	"2012"	"2012"	"Unintentional"	"1"	16	37276	Unreliable
	"Albany County, WY"	"56001"	"2013"	"2013"	"Unintentional"	"1"	18	37422	Unreliable
	"Albany County, WY"	"56001"	"2014"	"2014"	"Unintentional"	"1"	20	37811	52.9
	"Albany County, WY"	"56001"	"2015"	"2015"	"Unintentional"	"1"	15	37956	Unreliable
	"Albany County, WY"	"56001"	"2016"	"2016"	"Unintentional"	"1"	13	38256	Unreliable
	"Albany County, WY"	"56001"	"2016"	"2016"	"Suicide"	"2"	10	38256	Unreliable
	"Albany County, WY"	"56001"	"2017"	"2017"	"Unintentional"	"1"	16	38332	Unreliable
	"Albany County, WY"	"56001"	"2018"	"2018"	"Unintentional"	"1"	15	38601	Unreliable
